MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType
316001265,2020-01-01T00:00:14,48.88132,-123.5739,0.0,341.7,105.0,QUINITSA,IMO7710965,CZ8734,60.0
316001265,2020-01-01T00:01:23,48.88132,-123.5739,0.0,321.0,107.0,QUINITSA,IMO7710965,CZ8734,60.0
316001265,2020-01-01T00:02:45,48.88132,-123.5739,0.0,348.1,107.0,QUINITSA,IMO7710965,CZ8734,60.0
316001265,2020-01-01T00:03:54,48.88132,-123.5739,0.0,352.9,107.0,QUINITSA,IMO7710965,CZ8734,60.0
316001265,2020-01-01T00:05:03,48.88133,-123.5739,0.0,119.9,107.0,QUINITSA,IMO7710965,CZ8734,60.0
316001265,2020-01-01T00:06:23,48.88133,-123.5739,0.0,277.0,107.0,QUINITSA,IMO7710965,CZ8734,60.0
316001265,2020-01-01T00:07:45,48.88133,-123.5739,0.0,105.3,107.0,QUINITSA,IMO7710965,CZ8734,60.0
316001265,2020-01-01T00:09:03,48.88133,-123.5739,0.0,278.9,108.0,QUINITSA,IMO7710965,CZ8734,60.0
316001265,2020-01-01T00:10:13,48.88133,-123.5739,0.0,4.9,108.0,QUINITSA,IMO7710965,CZ8734,60.0
316001265,2020-01-01T00:11:23,48.88132,-123.5739,0.0,56.0,108.0,QUINITSA,IMO7710965,CZ8734,60.0
316001265,2020-01-01T00:12:33,48.88132,-123.5739,0.0,49.2,107.0,QUINITSA,IMO7710965,CZ8734,60.0
316001265,2020-01-01T00:14:17,48.8813,-123.57399,2.3,263.9,280.0,QUINITSA,IMO7710965,CZ8734,60.0
316001265,2020-01-01T00:15:34,48.88137,-123.57786,8.6,267.2,267.0,QUINITSA,IMO7710965,CZ8734,60.0
316001265,2020-01-01T00:16:47,48.88107,-123.58233,8.7,257.2,254.0,QUINITSA,IMO7710965,CZ8734,60.0
316001265,2020-01-01T00:18:04,48.88022,-123.58686,8.7,252.9,251.0,QUINITSA,IMO7710965,CZ8734,60.0
316001265,2020-01-01T00:19:05,48.87944,-123.59042,8.7,247.3,245.0,QUINITSA,IMO7710965,CZ8734,60.0
316001265,2020-01-01T00:20:15,48.87835,-123.59449,9.0,248.3,245.0,QUINITSA,IMO7710965,CZ8734,60.0
316001265,2020-01-01T00:22:13,48.87651,-123.60129,8.9,248.4,245.0,QUINITSA,IMO7710965,CZ8734,60.0
316001265,2020-01-01T00:23:24,48.87549,-123.60544,8.8,250.7,246.0,QUINITSA,IMO7710965,CZ8734,60.0
316001265,2020-01-01T00:24:45,48.87435,-123.61015,8.7,249.1,241.0,QUINITSA,IMO7710965,CZ8734,60.0
316001265,2020-01-01T00:25:54,48.87321,-123.61403,8.7,245.0,240.0,QUINITSA,IMO7710965,CZ8734,60.0
316001265,2020-01-01T00:27:40,48.87149,-123.61986,8.2,247.2,236.0,QUINITSA,IMO7710965,CZ8734,60.0
316001265,2020-01-01T00:29:04,48.87011,-123.62445,8.8,245.5,241.0,QUINITSA,IMO7710965,CZ8734,60.0
316001265,2020-01-01T00:30:14,48.86888,-123.62832,8.7,243.0,240.0,QUINITSA,IMO7710965,CZ8734,60.0
316001265,2020-01-01T00:32:54,48.8662,-123.6354,4.2,237.9,244.0,QUINITSA,IMO7710965,CZ8734,60.0
316001265,2020-01-01T00:34:03,48.86572,-123.6367,1.9,244.4,263.0,QUINITSA,IMO7710965,CZ8734,60.0
316001265,2020-01-01T00:35:14,48.86558,-123.63716,0.3,272.1,284.0,QUINITSA,IMO7710965,CZ8734,60.0
316001265,2020-01-01T00:36:35,48.86555,-123.63722,0.0,43.1,292.0,QUINITSA,IMO7710965,CZ8734,60.0
316001265,2020-01-01T00:37:54,48.86556,-123.63722,0.0,144.7,290.0,QUINITSA,IMO7710965,CZ8734,60.0
316001265,2020-01-01T00:39:04,48.86556,-123.63722,0.0,280.1,291.0,QUINITSA,IMO7710965,CZ8734,60.0
316001265,2020-01-01T00:41:54,48.86556,-123.63722,0.0,82.2,291.0,QUINITSA,IMO7710965,CZ8734,60.0
316001265,2020-01-01T00:44:14,48.86556,-123.63722,0.0,197.0,290.0,QUINITSA,IMO7710965,CZ8734,60.0
316001265,2020-01-01T00:46:05,48.86556,-123.63721,0.0,141.3,292.0,QUINITSA,IMO7710965,CZ8734,60.0
316001265,2020-01-01T00:47:14,48.86556,-123.63721,0.0,328.2,291.0,QUINITSA,IMO7710965,CZ8734,60.0
316001265,2020-01-01T00:49:33,48.86556,-123.63721,0.0,60.5,290.0,QUINITSA,IMO7710965,CZ8734,60.0
316001265,2020-01-01T00:51:33,48.86569,-123.63676,4.0,75.5,81.0,QUINITSA,IMO7710965,CZ8734,60.0
316001265,2020-01-01T00:53:33,48.86746,-123.63074,8.8,63.3,63.0,QUINITSA,IMO7710965,CZ8734,60.0
316001265,2020-01-01T00:55:05,48.86906,-123.62553,8.9,64.4,65.0,QUINITSA,IMO7710965,CZ8734,60.0
316001265,2020-01-01T00:56:14,48.87032,-123.62169,8.9,62.3,66.0,QUINITSA,IMO7710965,CZ8734,60.0
316001265,2020-01-01T00:59:24,48.87389,-123.611,8.9,66.7,72.0,QUINITSA,IMO7710965,CZ8734,60.0
316001265,2020-01-01T01:00:05,48.87453,-123.60864,8.7,68.4,72.0,QUINITSA,IMO7710965,CZ8734,60.0
316001265,2020-01-01T01:01:13,48.87555,-123.60476,8.8,67.3,71.0,QUINITSA,IMO7710965,CZ8734,60.0
316001265,2020-01-01T01:02:14,48.87647,-123.60134,8.7,68.3,71.0,QUINITSA,IMO7710965,CZ8734,60.0
316001265,2020-01-01T01:03:24,48.87751,-123.59731,8.6,68.9,71.0,QUINITSA,IMO7710965,CZ8734,60.0
316001265,2020-01-01T01:04:43,48.87867,-123.59286,8.6,68.0,70.0,QUINITSA,IMO7710965,CZ8734,60.0
316001265,2020-01-01T01:06:05,48.8799,-123.5883,8.5,68.1,71.0,QUINITSA,IMO7710965,CZ8734,60.0
316001265,2020-01-01T01:07:14,48.88069,-123.5843,8.6,76.2,78.0,QUINITSA,IMO7710965,CZ8734,60.0
316001265,2020-01-01T01:08:33,48.88131,-123.57957,8.8,85.8,89.0,QUINITSA,IMO7710965,CZ8734,60.0
316001265,2020-01-01T01:09:44,48.88138,-123.57666,4.3,89.6,93.0,QUINITSA,IMO7710965,CZ8734,60.0
316001265,2020-01-01T01:11:13,48.88133,-123.57445,1.9,93.1,98.0,QUINITSA,IMO7710965,CZ8734,60.0
316001265,2020-01-01T01:12:53,48.8813,-123.57391,0.2,49.2,101.0,QUINITSA,IMO7710965,CZ8734,60.0
316001265,2020-01-01T01:14:03,48.88133,-123.5739,0.0,221.9,107.0,QUINITSA,IMO7710965,CZ8734,60.0
316001265,2020-01-01T01:15:13,48.88133,-123.5739,0.0,24.9,106.0,QUINITSA,IMO7710965,CZ8734,60.0
316001265,2020-01-01T01:16:23,48.88133,-123.5739,0.0,4.2,106.0,QUINITSA,IMO7710965,CZ8734,60.0
316001265,2020-01-01T01:18:03,48.88133,-123.5739,0.0,146.3,107.0,QUINITSA,IMO7710965,CZ8734,60.0
316001265,2020-01-01T01:20:03,48.88133,-123.5739,0.0,289.6,106.0,QUINITSA,IMO7710965,CZ8734,60.0
316001265,2020-01-01T01:21:14,48.88133,-123.5739,0.0,256.2,106.0,QUINITSA,IMO7710965,CZ8734,60.0
316001265,2020-01-01T01:23:03,48.88133,-123.5739,0.0,85.1,108.0,QUINITSA,IMO7710965,CZ8734,60.0
316001265,2020-01-01T01:24:13,48.88133,-123.5739,0.0,256.5,108.0,QUINITSA,IMO7710965,CZ8734,60.0
316001265,2020-01-01T01:26:24,48.88133,-123.5739,0.0,232.2,106.0,QUINITSA,IMO7710965,CZ8734,60.0
316001265,2020-01-01T01:27:44,48.88133,-123.5739,0.0,206.6,106.0,QUINITSA,IMO7710965,CZ8734,60.0
316001265,2020-01-01T01:30:04,48.88135,-123.57695,8.6,272.5,271.0,QUINITSA,IMO7710965,CZ8734,60.0
316001265,2020-01-01T01:31:17,48.88101,-123.58137,8.7,251.4,248.0,QUINITSA,IMO7710965,CZ8734,60.0
316001265,2020-01-01T01:32:53,48.87967,-123.58691,8.9,252.4,250.0,QUINITSA,IMO7710965,CZ8734,60.0
316001265,2020-01-01T01:35:34,48.87753,-123.59658,8.8,248.7,246.0,QUINITSA,IMO7710965,CZ8734,60.0
316001265,2020-01-01T01:38:34,48.87497,-123.60714,8.9,249.1,245.0,QUINITSA,IMO7710965,CZ8734,60.0
316001265,2020-01-01T01:40:04,48.87363,-123.61249,9.0,249.2,245.0,QUINITSA,IMO7710965,CZ8734,60.0
316001265,2020-01-01T01:41:24,48.87244,-123.6172,8.8,247.9,243.0,QUINITSA,IMO7710965,CZ8734,60.0
316001265,2020-01-01T01:43:33,48.87029,-123.6246,8.9,244.2,242.0,QUINITSA,IMO7710965,CZ8734,60.0
316001265,2020-01-01T01:45:44,48.86767,-123.63166,8.7,237.2,238.0,QUINITSA,IMO7710965,CZ8734,60.0
316001265,2020-01-01T01:48:33,48.8657,-123.63665,2.1,253.4,264.0,QUINITSA,IMO7710965,CZ8734,60.0
316001265,2020-01-01T01:51:53,48.86556,-123.63722,0.0,342.1,290.0,QUINITSA,IMO7710965,CZ8734,60.0
316001265,2020-01-01T01:53:14,48.86556,-123.63722,0.0,306.8,290.0,QUINITSA,IMO7710965,CZ8734,60.0
316001265,2020-01-01T01:54:33,48.86556,-123.63722,0.0,111.7,291.0,QUINITSA,IMO7710965,CZ8734,60.0
316001265,2020-01-01T01:55:34,48.86556,-123.63722,0.0,355.3,290.0,QUINITSA,IMO7710965,CZ8734,60.0
316001265,2020-01-01T01:57:14,48.86556,-123.63722,0.0,253.1,290.0,QUINITSA,IMO7710965,CZ8734,60.0
316001265,2020-01-01T01:58:34,48.86556,-123.63722,0.0,175.1,289.0,QUINITSA,IMO7710965,CZ8734,60.0
316001265,2020-01-01T01:59:44,48.86556,-123.63722,0.0,137.0,289.0,QUINITSA,IMO7710965,CZ8734,60.0
316001265,2020-01-01T02:00:14,48.86556,-123.63722,0.0,163.5,290.0,QUINITSA,IMO7710965,CZ8734,60.0
316001265,2020-01-01T02:01:15,48.86556,-123.63722,0.0,137.6,290.0,QUINITSA,IMO7710965,CZ8734,60.0
316001265,2020-01-01T02:02:33,48.86556,-123.63722,0.0,152.6,290.0,QUINITSA,IMO7710965,CZ8734,60.0
316001265,2020-01-01T02:03:44,48.86556,-123.63722,0.0,88.4,289.0,QUINITSA,IMO7710965,CZ8734,60.0
316001265,2020-01-01T02:04:47,48.86556,-123.63721,0.0,130.5,109.0,QUINITSA,IMO7710965,CZ8734,60.0
316001265,2020-01-01T02:05:51,48.8656,-123.63716,1.5,53.3,101.0,QUINITSA,IMO7710965,CZ8734,60.0
316001265,2020-01-01T02:07:33,48.86704,-123.63296,8.9,63.9,63.0,QUINITSA,IMO7710965,CZ8734,60.0
316001265,2020-01-01T02:08:34,48.86815,-123.62966,8.9,63.6,63.0,QUINITSA,IMO7710965,CZ8734,60.0
316001265,2020-01-01T02:09:45,48.8695,-123.62563,8.9,63.3,65.0,QUINITSA,IMO7710965,CZ8734,60.0
316001265,2020-01-01T02:11:04,48.87098,-123.62124,8.9,62.4,65.0,QUINITSA,IMO7710965,CZ8734,60.0
316001265,2020-01-01T02:12:15,48.87232,-123.61732,9.0,66.0,71.0,QUINITSA,IMO7710965,CZ8734,60.0
316001265,2020-01-01T02:13:23,48.87341,-123.61342,8.7,66.0,69.0,QUINITSA,IMO7710965,CZ8734,60.0
316001265,2020-01-01T02:14:34,48.87468,-123.60949,8.7,61.0,65.0,QUINITSA,IMO7710965,CZ8734,60.0
316001265,2020-01-01T02:15:44,48.8759,-123.60562,8.8,68.5,71.0,QUINITSA,IMO7710965,CZ8734,60.0
316001265,2020-01-01T02:17:25,48.87747,-123.59984,8.8,67.4,68.0,QUINITSA,IMO7710965,CZ8734,60.0
316001265,2020-01-01T02:18:34,48.87858,-123.59594,8.4,63.4,69.0,QUINITSA,IMO7710965,CZ8734,60.0
