MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType
367550070,2020-01-01T00:01:24,29.0013,-89.78935,3.1,232.9,511.0,QUOC THAI,IMO8984226,WDG5769,30.0
367550070,2020-01-01T00:06:25,28.99869,-89.79323,3.1,232.5,511.0,QUOC THAI,IMO8984226,WDG5769,30.0
367550070,2020-01-01T00:16:24,28.99343,-89.80088,3.0,231.2,511.0,QUOC THAI,IMO8984226,WDG5769,30.0
367550070,2020-01-01T00:17:55,28.99262,-89.80199,3.0,230.8,511.0,QUOC THAI,IMO8984226,WDG5769,30.0
367550070,2020-01-01T00:30:54,28.99097,-89.81441,3.2,281.5,511.0,QUOC THAI,IMO8984226,WDG5769,30.0
367550070,2020-01-01T00:40:55,28.9933,-89.82438,3.3,298.6,511.0,QUOC THAI,IMO8984226,WDG5769,30.0
367550070,2020-01-01T00:44:54,28.99627,-89.82682,3.5,353.5,511.0,QUOC THAI,IMO8984226,WDG5769,30.0
367550070,2020-01-01T00:46:24,28.99773,-89.82664,3.5,17.3,511.0,QUOC THAI,IMO8984226,WDG5769,30.0
367550070,2020-01-01T00:48:54,28.99975,-89.82506,3.5,51.4,511.0,QUOC THAI,IMO8984226,WDG5769,30.0
367550070,2020-01-01T00:51:25,29.00117,-89.82291,3.3,51.4,511.0,QUOC THAI,IMO8984226,WDG5769,30.0
367550070,2020-01-01T00:52:55,29.00203,-89.82168,3.3,51.1,511.0,QUOC THAI,IMO8984226,WDG5769,30.0
367550070,2020-01-01T00:54:24,29.00281,-89.82036,3.3,60.9,511.0,QUOC THAI,IMO8984226,WDG5769,30.0
367550070,2020-01-01T00:57:24,29.00395,-89.81749,3.2,65.5,511.0,QUOC THAI,IMO8984226,WDG5769,30.0
367550070,2020-01-01T00:58:55,29.00456,-89.8161,3.3,62.1,511.0,QUOC THAI,IMO8984226,WDG5769,30.0
367550070,2020-01-01T01:00:25,29.00518,-89.8147,3.2,64.8,511.0,QUOC THAI,IMO8984226,WDG5769,30.0
367550070,2020-01-01T01:01:54,29.00577,-89.81328,3.3,62.9,511.0,QUOC THAI,IMO8984226,WDG5769,30.0
367550070,2020-01-01T01:03:25,29.00641,-89.81185,3.3,61.8,511.0,QUOC THAI,IMO8984226,WDG5769,30.0
367550070,2020-01-01T01:04:54,29.00705,-89.81044,3.3,64.0,511.0,QUOC THAI,IMO8984226,WDG5769,30.0
367550070,2020-01-01T01:07:24,29.00805,-89.80806,3.3,65.4,511.0,QUOC THAI,IMO8984226,WDG5769,30.0
367550070,2020-01-01T01:08:55,29.00864,-89.80661,3.3,64.0,511.0,QUOC THAI,IMO8984226,WDG5769,30.0
367550070,2020-01-01T01:10:24,29.00925,-89.80518,3.3,63.5,511.0,QUOC THAI,IMO8984226,WDG5769,30.0
367550070,2020-01-01T01:11:54,29.00987,-89.80379,3.3,64.6,511.0,QUOC THAI,IMO8984226,WDG5769,30.0
367550070,2020-01-01T01:13:24,29.01047,-89.80236,3.3,64.9,511.0,QUOC THAI,IMO8984226,WDG5769,30.0
367550070,2020-01-01T01:14:25,29.01085,-89.80141,3.3,65.4,511.0,QUOC THAI,IMO8984226,WDG5769,30.0
367550070,2020-01-01T01:15:54,29.0114,-89.79997,3.3,66.6,511.0,QUOC THAI,IMO8984226,WDG5769,30.0
367550070,2020-01-01T01:17:24,29.01198,-89.79852,3.3,64.0,511.0,QUOC THAI,IMO8984226,WDG5769,30.0
367550070,2020-01-01T01:20:24,29.01327,-89.79568,3.3,63.3,511.0,QUOC THAI,IMO8984226,WDG5769,30.0
367550070,2020-01-01T01:22:54,29.01418,-89.79324,3.2,68.1,511.0,QUOC THAI,IMO8984226,WDG5769,30.0
