MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType
367562310,2020-01-01T00:59:04,26.11994,-81.79417,1.0,360.0,511.0,RIFF RAFF,,WDG6944,37.0
367562310,2020-01-01T01:00:34,26.11992,-81.79412,0.3,360.0,511.0,RIFF RAFF,,WDG6944,37.0
367562310,2020-01-01T06:52:16,26.11998,-81.79417,0.3,360.0,511.0,RIFF RAFF,,WDG6944,37.0
367562310,2020-01-01T07:55:52,26.11993,-81.79418,0.1,360.0,511.0,RIFF RAFF,,WDG6944,37.0
367562310,2020-01-01T08:27:26,26.11988,-81.79421,0.3,360.0,511.0,RIFF RAFF,,WDG6944,37.0
367562310,2020-01-01T08:46:10,26.11994,-81.79418,0.2,360.0,511.0,RIFF RAFF,,WDG6944,37.0
367562310,2020-01-01T08:50:12,26.11996,-81.79418,0.2,360.0,511.0,RIFF RAFF,,WDG6944,37.0
367562310,2020-01-01T09:04:47,26.11998,-81.79419,0.3,360.0,511.0,RIFF RAFF,,WDG6944,37.0
367562310,2020-01-01T09:10:24,26.12004,-81.79419,0.1,360.0,511.0,RIFF RAFF,,WDG6944,37.0
367562310,2020-01-01T09:22:47,26.12024,-81.79436,0.7,360.0,511.0,RIFF RAFF,,WDG6944,37.0
367562310,2020-01-01T09:25:17,26.12004,-81.79415,0.4,360.0,511.0,RIFF RAFF,,WDG6944,37.0
367562310,2020-01-01T09:28:50,26.11995,-81.79419,0.8,360.0,511.0,RIFF RAFF,,WDG6944,37.0
367562310,2020-01-01T09:31:58,26.11993,-81.79418,0.2,360.0,511.0,RIFF RAFF,,WDG6944,37.0
367562310,2020-01-01T09:34:38,26.11999,-81.79416,0.4,360.0,511.0,RIFF RAFF,,WDG6944,37.0
367562310,2020-01-01T09:40:31,26.11997,-81.7942,0.1,360.0,511.0,RIFF RAFF,,WDG6944,37.0
367562310,2020-01-01T09:48:29,26.11995,-81.79409,0.2,360.0,511.0,RIFF RAFF,,WDG6944,37.0
367562310,2020-01-01T09:56:08,26.11996,-81.79415,0.3,360.0,511.0,RIFF RAFF,,WDG6944,37.0
367562310,2020-01-01T10:05:06,26.11995,-81.79417,0.1,360.0,511.0,RIFF RAFF,,WDG6944,37.0
367562310,2020-01-01T10:07:39,26.11993,-81.7941,0.6,360.0,511.0,RIFF RAFF,,WDG6944,37.0
367562310,2020-01-01T11:08:47,26.11991,-81.79409,0.3,360.0,511.0,RIFF RAFF,,WDG6944,37.0
367562310,2020-01-01T11:39:21,26.11989,-81.79419,0.1,360.0,511.0,RIFF RAFF,,WDG6944,37.0
367562310,2020-01-01T11:42:38,26.11993,-81.79415,0.6,360.0,511.0,RIFF RAFF,,WDG6944,37.0
