MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType
367645970,2020-01-01T00:00:13,29.39983,-94.75292,0.1,17.4,252.0,ROBERT ANTHONY,,WDH7216,31.0
367645970,2020-01-01T00:01:21,29.39983,-94.75293,0.1,219.0,243.0,ROBERT ANTHONY,,WDH7216,31.0
367645970,2020-01-01T00:02:32,29.39979,-94.75293,0.2,187.5,242.0,ROBERT ANTHONY,,WDH7216,31.0
367645970,2020-01-01T00:03:33,29.39974,-94.75295,0.2,193.6,242.0,ROBERT ANTHONY,,WDH7216,31.0
367645970,2020-01-01T00:04:42,29.39973,-94.75296,0.0,339.3,244.0,ROBERT ANTHONY,,WDH7216,31.0
367645970,2020-01-01T00:05:51,29.39973,-94.75296,0.0,214.9,243.0,ROBERT ANTHONY,,WDH7216,31.0
367645970,2020-01-01T00:07:02,29.39972,-94.75295,0.1,203.2,246.0,ROBERT ANTHONY,,WDH7216,31.0
367645970,2020-01-01T00:08:12,29.39972,-94.75295,0.0,168.1,243.0,ROBERT ANTHONY,,WDH7216,31.0
367645970,2020-01-01T00:09:22,29.39972,-94.75295,0.0,147.3,244.0,ROBERT ANTHONY,,WDH7216,31.0
367645970,2020-01-01T00:10:51,29.39971,-94.75297,0.1,198.8,249.0,ROBERT ANTHONY,,WDH7216,31.0
367645970,2020-01-01T00:12:02,29.3997,-94.75295,0.1,27.6,284.0,ROBERT ANTHONY,,WDH7216,31.0
367645970,2020-01-01T00:13:18,29.39941,-94.75334,3.2,234.1,242.0,ROBERT ANTHONY,,WDH7216,31.0
367645970,2020-01-01T00:14:35,29.39953,-94.75368,0.4,66.0,49.0,ROBERT ANTHONY,,WDH7216,31.0
367645970,2020-01-01T00:15:42,29.39957,-94.75355,0.3,109.7,56.0,ROBERT ANTHONY,,WDH7216,31.0
367645970,2020-01-01T00:16:51,29.39953,-94.75344,0.3,120.5,35.0,ROBERT ANTHONY,,WDH7216,31.0
367645970,2020-01-01T00:18:11,29.39951,-94.75342,0.1,270.7,34.0,ROBERT ANTHONY,,WDH7216,31.0
367645970,2020-01-01T00:20:11,29.39952,-94.75342,0.1,269.1,35.0,ROBERT ANTHONY,,WDH7216,31.0
367645970,2020-01-01T00:21:22,29.39951,-94.75346,0.1,220.4,36.0,ROBERT ANTHONY,,WDH7216,31.0
367645970,2020-01-01T00:22:31,29.39951,-94.75346,0.0,53.2,34.0,ROBERT ANTHONY,,WDH7216,31.0
367645970,2020-01-01T00:24:22,29.39954,-94.75343,0.0,175.4,34.0,ROBERT ANTHONY,,WDH7216,31.0
367645970,2020-01-01T00:25:31,29.39952,-94.75344,0.0,270.2,35.0,ROBERT ANTHONY,,WDH7216,31.0
367645970,2020-01-01T00:27:31,29.39951,-94.75344,0.0,186.8,34.0,ROBERT ANTHONY,,WDH7216,31.0
367645970,2020-01-01T00:29:22,29.39952,-94.75342,0.0,23.4,33.0,ROBERT ANTHONY,,WDH7216,31.0
367645970,2020-01-01T00:30:31,29.39953,-94.75343,0.0,288.4,34.0,ROBERT ANTHONY,,WDH7216,31.0
367645970,2020-01-01T00:32:12,29.39952,-94.75345,0.0,195.0,35.0,ROBERT ANTHONY,,WDH7216,31.0
367645970,2020-01-01T00:33:22,29.39952,-94.75344,0.1,52.8,34.0,ROBERT ANTHONY,,WDH7216,31.0
367645970,2020-01-01T00:35:01,29.39952,-94.75344,0.1,251.6,35.0,ROBERT ANTHONY,,WDH7216,31.0
367645970,2020-01-01T00:36:12,29.39952,-94.75342,0.1,71.4,33.0,ROBERT ANTHONY,,WDH7216,31.0
367645970,2020-01-01T00:38:42,29.39952,-94.75343,0.0,188.1,35.0,ROBERT ANTHONY,,WDH7216,31.0
367645970,2020-01-01T00:41:12,29.39952,-94.75342,0.0,86.6,34.0,ROBERT ANTHONY,,WDH7216,31.0
367645970,2020-01-01T00:43:12,29.39953,-94.75344,0.0,324.2,37.0,ROBERT ANTHONY,,WDH7216,31.0
367645970,2020-01-01T00:45:12,29.39952,-94.75342,0.0,349.0,34.0,ROBERT ANTHONY,,WDH7216,31.0
367645970,2020-01-01T00:47:41,29.39952,-94.75343,0.1,216.6,37.0,ROBERT ANTHONY,,WDH7216,31.0
367645970,2020-01-01T00:49:21,29.3995,-94.75345,0.1,267.4,34.0,ROBERT ANTHONY,,WDH7216,31.0
367645970,2020-01-01T00:52:01,29.39952,-94.75344,0.1,112.3,36.0,ROBERT ANTHONY,,WDH7216,31.0
367645970,2020-01-01T00:53:31,29.39952,-94.75344,0.2,265.3,37.0,ROBERT ANTHONY,,WDH7216,31.0
367645970,2020-01-01T00:54:41,29.3995,-94.75348,0.1,320.1,36.0,ROBERT ANTHONY,,WDH7216,31.0
367645970,2020-01-01T00:56:02,29.39953,-94.75348,0.1,31.1,36.0,ROBERT ANTHONY,,WDH7216,31.0
367645970,2020-01-01T00:57:21,29.39954,-94.75346,0.1,153.6,35.0,ROBERT ANTHONY,,WDH7216,31.0
367645970,2020-01-01T00:58:51,29.39953,-94.75345,0.1,310.7,38.0,ROBERT ANTHONY,,WDH7216,31.0
367645970,2020-01-01T01:00:12,29.39953,-94.75347,0.1,157.7,36.0,ROBERT ANTHONY,,WDH7216,31.0
367645970,2020-01-01T01:01:13,29.39952,-94.75343,0.1,100.1,34.0,ROBERT ANTHONY,,WDH7216,31.0
367645970,2020-01-01T01:02:23,29.39952,-94.75343,0.1,285.7,34.0,ROBERT ANTHONY,,WDH7216,31.0
367645970,2020-01-01T01:03:32,29.39952,-94.75344,0.1,222.1,35.0,ROBERT ANTHONY,,WDH7216,31.0
367645970,2020-01-01T01:04:41,29.39952,-94.75343,0.0,59.7,35.0,ROBERT ANTHONY,,WDH7216,31.0
367645970,2020-01-01T01:05:53,29.39952,-94.7534,0.1,158.4,32.0,ROBERT ANTHONY,,WDH7216,31.0
367645970,2020-01-01T01:07:03,29.39951,-94.75343,0.1,233.5,32.0,ROBERT ANTHONY,,WDH7216,31.0
367645970,2020-01-01T01:08:12,29.3995,-94.75344,0.1,268.1,32.0,ROBERT ANTHONY,,WDH7216,31.0
367645970,2020-01-01T01:09:22,29.39951,-94.75344,0.1,23.4,34.0,ROBERT ANTHONY,,WDH7216,31.0
367645970,2020-01-01T01:10:32,29.39951,-94.75343,0.1,186.3,34.0,ROBERT ANTHONY,,WDH7216,31.0
367645970,2020-01-01T01:11:51,29.39952,-94.75346,0.1,282.0,38.0,ROBERT ANTHONY,,WDH7216,31.0
367645970,2020-01-01T01:13:02,29.39952,-94.75345,0.0,96.1,37.0,ROBERT ANTHONY,,WDH7216,31.0
367645970,2020-01-01T01:14:32,29.39952,-94.75341,0.1,94.4,32.0,ROBERT ANTHONY,,WDH7216,31.0
367645970,2020-01-01T01:16:02,29.39953,-94.75343,0.0,246.9,34.0,ROBERT ANTHONY,,WDH7216,31.0
367645970,2020-01-01T01:17:32,29.39952,-94.75343,0.0,17.8,33.0,ROBERT ANTHONY,,WDH7216,31.0
367645970,2020-01-01T01:18:33,29.39953,-94.75341,0.0,47.1,33.0,ROBERT ANTHONY,,WDH7216,31.0
367645970,2020-01-01T01:19:42,29.39952,-94.75342,0.1,280.9,34.0,ROBERT ANTHONY,,WDH7216,31.0
367645970,2020-01-01T01:21:12,29.39951,-94.75343,0.1,228.1,33.0,ROBERT ANTHONY,,WDH7216,31.0
367645970,2020-01-01T01:22:31,29.3995,-94.75343,0.1,297.8,32.0,ROBERT ANTHONY,,WDH7216,31.0
367645970,2020-01-01T01:24:12,29.39953,-94.75344,0.2,165.0,35.0,ROBERT ANTHONY,,WDH7216,31.0
367645970,2020-01-01T01:25:22,29.39952,-94.75347,0.1,293.1,37.0,ROBERT ANTHONY,,WDH7216,31.0
367645970,2020-01-01T01:26:32,29.39952,-94.75348,0.1,38.1,37.0,ROBERT ANTHONY,,WDH7216,31.0
367645970,2020-01-01T01:28:02,29.39951,-94.75343,0.1,310.5,33.0,ROBERT ANTHONY,,WDH7216,31.0
367645970,2020-01-01T01:29:12,29.3995,-94.75342,0.1,187.8,33.0,ROBERT ANTHONY,,WDH7216,31.0
367645970,2020-01-01T01:30:31,29.39948,-94.75348,0.2,277.0,33.0,ROBERT ANTHONY,,WDH7216,31.0
367645970,2020-01-01T01:31:52,29.39951,-94.75353,0.1,338.3,40.0,ROBERT ANTHONY,,WDH7216,31.0
367645970,2020-01-01T01:33:12,29.39958,-94.75353,0.0,179.4,43.0,ROBERT ANTHONY,,WDH7216,31.0
367645970,2020-01-01T01:34:42,29.39954,-94.7535,0.1,134.5,38.0,ROBERT ANTHONY,,WDH7216,31.0
367645970,2020-01-01T01:36:11,29.39952,-94.75345,0.1,114.3,35.0,ROBERT ANTHONY,,WDH7216,31.0
367645970,2020-01-01T01:37:32,29.39952,-94.75341,0.1,337.0,34.0,ROBERT ANTHONY,,WDH7216,31.0
367645970,2020-01-01T01:38:41,29.39951,-94.75342,0.1,218.2,33.0,ROBERT ANTHONY,,WDH7216,31.0
367645970,2020-01-01T01:41:32,29.39952,-94.75341,0.0,81.9,34.0,ROBERT ANTHONY,,WDH7216,31.0
367645970,2020-01-01T01:43:11,29.39951,-94.75344,0.0,210.8,33.0,ROBERT ANTHONY,,WDH7216,31.0
367645970,2020-01-01T01:44:41,29.39952,-94.75342,0.1,12.8,33.0,ROBERT ANTHONY,,WDH7216,31.0
367645970,2020-01-01T01:45:51,29.39951,-94.75343,0.1,262.3,35.0,ROBERT ANTHONY,,WDH7216,31.0
367645970,2020-01-01T01:47:02,29.39952,-94.75347,0.0,298.7,37.0,ROBERT ANTHONY,,WDH7216,31.0
367645970,2020-01-01T01:48:51,29.39952,-94.75341,0.1,133.1,32.0,ROBERT ANTHONY,,WDH7216,31.0
367645970,2020-01-01T01:51:41,29.39952,-94.75342,0.0,42.7,34.0,ROBERT ANTHONY,,WDH7216,31.0
367645970,2020-01-01T01:54:41,29.39952,-94.75342,0.0,192.6,33.0,ROBERT ANTHONY,,WDH7216,31.0
367645970,2020-01-01T01:56:01,29.39951,-94.75343,0.0,297.9,34.0,ROBERT ANTHONY,,WDH7216,31.0
367645970,2020-01-01T01:57:21,29.39951,-94.75342,0.0,351.6,34.0,ROBERT ANTHONY,,WDH7216,31.0
367645970,2020-01-01T01:58:33,29.39952,-94.75342,0.1,261.8,35.0,ROBERT ANTHONY,,WDH7216,31.0
367645970,2020-01-01T01:59:41,29.39952,-94.75342,0.0,130.8,34.0,ROBERT ANTHONY,,WDH7216,31.0
367645970,2020-01-01T02:00:12,29.39952,-94.75342,0.0,105.0,34.0,ROBERT ANTHONY,,WDH7216,31.0
367645970,2020-01-01T02:01:22,29.39952,-94.75342,0.1,306.9,34.0,ROBERT ANTHONY,,WDH7216,31.0
367645970,2020-01-01T02:02:31,29.39953,-94.75344,0.0,255.8,34.0,ROBERT ANTHONY,,WDH7216,31.0
367645970,2020-01-01T02:03:42,29.39953,-94.75343,0.0,355.7,34.0,ROBERT ANTHONY,,WDH7216,31.0
367645970,2020-01-01T02:04:53,29.39952,-94.75342,0.0,110.5,33.0,ROBERT ANTHONY,,WDH7216,31.0
367645970,2020-01-01T02:06:02,29.39952,-94.75342,0.0,236.9,33.0,ROBERT ANTHONY,,WDH7216,31.0
367645970,2020-01-01T02:07:13,29.39952,-94.75342,0.0,242.8,33.0,ROBERT ANTHONY,,WDH7216,31.0
367645970,2020-01-01T02:08:22,29.39953,-94.75342,0.0,300.4,33.0,ROBERT ANTHONY,,WDH7216,31.0
367645970,2020-01-01T02:09:31,29.39952,-94.75342,0.0,5.6,33.0,ROBERT ANTHONY,,WDH7216,31.0
367645970,2020-01-01T02:10:51,29.39952,-94.75342,0.1,269.9,33.0,ROBERT ANTHONY,,WDH7216,31.0
367645970,2020-01-01T02:12:02,29.39953,-94.75342,0.1,120.9,34.0,ROBERT ANTHONY,,WDH7216,31.0
367645970,2020-01-01T02:13:11,29.3995,-94.75343,0.1,224.1,33.0,ROBERT ANTHONY,,WDH7216,31.0
367645970,2020-01-01T02:14:12,29.39949,-94.75347,0.1,281.5,33.0,ROBERT ANTHONY,,WDH7216,31.0
367645970,2020-01-01T02:15:22,29.39952,-94.75351,0.1,300.2,37.0,ROBERT ANTHONY,,WDH7216,31.0
367645970,2020-01-01T02:16:32,29.39954,-94.75351,0.0,3.7,39.0,ROBERT ANTHONY,,WDH7216,31.0
367645970,2020-01-01T02:17:51,29.39955,-94.7535,0.1,134.5,39.0,ROBERT ANTHONY,,WDH7216,31.0
367645970,2020-01-01T02:19:12,29.39952,-94.75346,0.1,146.8,37.0,ROBERT ANTHONY,,WDH7216,31.0
367645970,2020-01-01T02:20:21,29.39952,-94.75343,0.1,354.7,35.0,ROBERT ANTHONY,,WDH7216,31.0
367645970,2020-01-01T02:21:32,29.39953,-94.75342,0.1,88.4,36.0,ROBERT ANTHONY,,WDH7216,31.0
367645970,2020-01-01T02:22:41,29.3995,-94.75342,0.2,221.2,33.0,ROBERT ANTHONY,,WDH7216,31.0
367645970,2020-01-01T02:23:51,29.3995,-94.7535,0.2,286.6,36.0,ROBERT ANTHONY,,WDH7216,31.0
367645970,2020-01-01T02:25:03,29.39954,-94.75353,0.1,1.0,42.0,ROBERT ANTHONY,,WDH7216,31.0
367645970,2020-01-01T02:26:11,29.39957,-94.75352,0.1,184.3,42.0,ROBERT ANTHONY,,WDH7216,31.0
367645970,2020-01-01T02:28:42,29.3995,-94.75353,0.0,306.1,41.0,ROBERT ANTHONY,,WDH7216,31.0
367645970,2020-01-01T02:30:42,29.39955,-94.75349,0.2,92.4,42.0,ROBERT ANTHONY,,WDH7216,31.0
367645970,2020-01-01T02:32:11,29.3995,-94.75343,0.2,335.1,32.0,ROBERT ANTHONY,,WDH7216,31.0
367645970,2020-01-01T02:34:11,29.39952,-94.75345,0.0,225.5,37.0,ROBERT ANTHONY,,WDH7216,31.0
367645970,2020-01-01T02:36:52,29.39952,-94.75345,0.0,100.3,36.0,ROBERT ANTHONY,,WDH7216,31.0
367645970,2020-01-01T02:39:42,29.39952,-94.75343,0.1,273.8,35.0,ROBERT ANTHONY,,WDH7216,31.0
367645970,2020-01-01T02:41:42,29.39952,-94.75343,0.0,151.1,35.0,ROBERT ANTHONY,,WDH7216,31.0
367645970,2020-01-01T02:43:42,29.39952,-94.75343,0.0,273.7,34.0,ROBERT ANTHONY,,WDH7216,31.0
367645970,2020-01-01T02:45:01,29.39952,-94.75342,0.0,118.4,34.0,ROBERT ANTHONY,,WDH7216,31.0
367645970,2020-01-01T02:46:12,29.39952,-94.75343,0.1,294.7,34.0,ROBERT ANTHONY,,WDH7216,31.0
367645970,2020-01-01T02:47:41,29.39951,-94.75344,0.0,261.0,34.0,ROBERT ANTHONY,,WDH7216,31.0
367645970,2020-01-01T02:50:01,29.39952,-94.75345,0.2,227.3,39.0,ROBERT ANTHONY,,WDH7216,31.0
367645970,2020-01-01T02:51:12,29.3995,-94.75351,0.2,275.6,39.0,ROBERT ANTHONY,,WDH7216,31.0
367645970,2020-01-01T02:53:52,29.39957,-94.75359,0.1,2.6,44.0,ROBERT ANTHONY,,WDH7216,31.0
367645970,2020-01-01T02:55:21,29.39959,-94.75355,0.1,160.0,44.0,ROBERT ANTHONY,,WDH7216,31.0
