MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType
366989170,2020-01-01T00:41:24,36.75507,-89.12715,2.2,58.7,31.0,ROBERT H BROWN,,WDC2184,31.0
366989170,2020-01-01T00:42:42,36.75658,-89.12642,5.0,28.6,37.0,ROBERT H BROWN,,WDC2184,31.0
366989170,2020-01-01T00:48:44,36.76327,-89.12268,5.6,21.7,24.0,ROBERT H BROWN,,WDC2184,31.0
366989170,2020-01-01T00:50:03,36.76422,-89.12227,0.3,170.4,18.0,ROBERT H BROWN,,WDC2184,31.0
366989170,2020-01-01T00:51:16,36.7648,-89.12113,0.6,59.3,8.0,ROBERT H BROWN,,WDC2184,31.0
366989170,2020-01-01T00:52:22,36.76443,-89.12028,7.2,124.2,104.0,ROBERT H BROWN,,WDC2184,31.0
366989170,2020-01-01T00:53:29,36.76197,-89.11802,11.2,158.4,149.0,ROBERT H BROWN,,WDC2184,31.0
366989170,2020-01-01T00:55:10,36.75688,-89.11822,10.9,197.9,196.0,ROBERT H BROWN,,WDC2184,31.0
366989170,2020-01-01T00:56:43,36.75233,-89.12013,11.3,197.3,194.0,ROBERT H BROWN,,WDC2184,31.0
366989170,2020-01-01T00:57:46,36.75077,-89.12033,1.7,40.9,33.0,ROBERT H BROWN,,WDC2184,31.0
366989170,2020-01-01T00:58:56,36.75135,-89.12092,5.6,321.4,342.0,ROBERT H BROWN,,WDC2184,31.0
366989170,2020-01-01T01:00:30,36.7531,-89.1235,6.3,310.0,337.0,ROBERT H BROWN,,WDC2184,31.0
366989170,2020-01-01T01:01:44,36.75472,-89.12538,6.4,325.4,347.0,ROBERT H BROWN,,WDC2184,31.0
366989170,2020-01-01T01:04:40,36.75668,-89.12638,4.2,29.9,29.0,ROBERT H BROWN,,WDC2184,31.0
366989170,2020-01-01T01:05:53,36.75848,-89.12518,6.2,30.2,32.0,ROBERT H BROWN,,WDC2184,31.0
366989170,2020-01-01T01:07:03,36.76018,-89.12393,5.7,12.7,6.0,ROBERT H BROWN,,WDC2184,31.0
366989170,2020-01-01T01:08:12,36.76197,-89.123,6.8,33.1,33.0,ROBERT H BROWN,,WDC2184,31.0
366989170,2020-01-01T01:09:16,36.76358,-89.12163,6.4,32.0,25.0,ROBERT H BROWN,,WDC2184,31.0
366989170,2020-01-01T01:10:33,36.76557,-89.12077,5.8,14.4,14.0,ROBERT H BROWN,,WDC2184,31.0
366989170,2020-01-01T01:11:42,36.76728,-89.12017,5.0,18.1,12.0,ROBERT H BROWN,,WDC2184,31.0
366989170,2020-01-01T01:12:46,36.7684,-89.11993,4.2,350.3,354.0,ROBERT H BROWN,,WDC2184,31.0
366989170,2020-01-01T01:14:03,36.7701,-89.1202,5.1,354.7,357.0,ROBERT H BROWN,,WDC2184,31.0
366989170,2020-01-01T01:15:12,36.7718,-89.12033,4.9,356.4,354.0,ROBERT H BROWN,,WDC2184,31.0
366989170,2020-01-01T01:16:22,36.77318,-89.12052,4.1,346.6,345.0,ROBERT H BROWN,,WDC2184,31.0
366989170,2020-01-01T01:17:32,36.77442,-89.1211,4.1,337.8,335.0,ROBERT H BROWN,,WDC2184,31.0
366989170,2020-01-01T01:18:42,36.77547,-89.12197,2.5,320.0,320.0,ROBERT H BROWN,,WDC2184,31.0
