MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType
366346000,2020-01-01T00:46:39,27.31748,-90.75324,0.3,1.9,350.0,RUSSELL BOUZIGA,IMO9530022,WDG4758,90.0
366346000,2020-01-01T03:56:30,27.31522,-90.7533,0.5,179.8,353.0,RUSSELL BOUZIGA,IMO9530022,WDG4758,90.0
366346000,2020-01-01T03:57:38,27.31508,-90.75332,0.5,185.6,352.0,RUSSELL BOUZIGA,IMO9530022,WDG4758,90.0
366346000,2020-01-01T03:59:38,27.31482,-90.75335,0.5,175.1,353.0,RUSSELL BOUZIGA,IMO9530022,WDG4758,90.0
366346000,2020-01-01T05:08:49,27.31648,-90.75216,0.2,351.2,355.0,RUSSELL BOUZIGA,IMO9530022,WDG4758,90.0
366346000,2020-01-01T05:09:59,27.31648,-90.75215,0.2,350.4,355.0,RUSSELL BOUZIGA,IMO9530022,WDG4758,90.0
366346000,2020-01-01T05:26:48,27.31649,-90.75218,0.2,354.2,355.0,RUSSELL BOUZIGA,IMO9530022,WDG4758,90.0
366346000,2020-01-01T05:30:38,27.31648,-90.75217,0.1,348.5,355.0,RUSSELL BOUZIGA,IMO9530022,WDG4758,90.0
366346000,2020-01-01T05:31:59,27.31647,-90.75215,0.2,355.8,355.0,RUSSELL BOUZIGA,IMO9530022,WDG4758,90.0
366346000,2020-01-01T05:36:59,27.31649,-90.75211,0.2,349.0,355.0,RUSSELL BOUZIGA,IMO9530022,WDG4758,90.0
366346000,2020-01-01T05:39:39,27.31649,-90.75212,0.1,1.4,355.0,RUSSELL BOUZIGA,IMO9530022,WDG4758,90.0
366346000,2020-01-01T07:21:09,27.3165,-90.75216,0.3,350.4,355.0,RUSSELL BOUZIGA,IMO9530022,WDG4758,90.0
366346000,2020-01-01T07:32:59,27.31647,-90.75218,0.1,356.2,354.0,RUSSELL BOUZIGA,IMO9530022,WDG4758,90.0
366346000,2020-01-01T07:34:28,27.31648,-90.75217,0.1,343.9,355.0,RUSSELL BOUZIGA,IMO9530022,WDG4758,90.0
366346000,2020-01-01T07:35:49,27.31647,-90.75217,0.2,354.8,355.0,RUSSELL BOUZIGA,IMO9530022,WDG4758,90.0
366346000,2020-01-01T07:40:10,27.31641,-90.75214,0.3,190.0,354.0,RUSSELL BOUZIGA,IMO9530022,WDG4758,90.0
366346000,2020-01-01T07:42:10,27.31641,-90.75217,0.1,186.2,355.0,RUSSELL BOUZIGA,IMO9530022,WDG4758,90.0
366346000,2020-01-01T07:43:39,27.3164,-90.75218,0.2,177.7,355.0,RUSSELL BOUZIGA,IMO9530022,WDG4758,90.0
366346000,2020-01-01T07:44:48,27.31638,-90.75216,0.1,202.9,355.0,RUSSELL BOUZIGA,IMO9530022,WDG4758,90.0
366346000,2020-01-01T07:46:19,27.31641,-90.75217,0.2,203.0,355.0,RUSSELL BOUZIGA,IMO9530022,WDG4758,90.0
366346000,2020-01-01T07:49:48,27.3164,-90.75216,0.3,171.9,354.0,RUSSELL BOUZIGA,IMO9530022,WDG4758,90.0
366346000,2020-01-01T07:56:30,27.31641,-90.75216,0.2,191.6,355.0,RUSSELL BOUZIGA,IMO9530022,WDG4758,90.0
366346000,2020-01-01T07:57:49,27.31639,-90.752,0.2,179.9,355.0,RUSSELL BOUZIGA,IMO9530022,WDG4758,90.0
366346000,2020-01-01T07:59:49,27.3164,-90.75189,0.5,173.5,355.0,RUSSELL BOUZIGA,IMO9530022,WDG4758,90.0
366346000,2020-01-01T08:00:49,27.3164,-90.75195,0.2,186.2,355.0,RUSSELL BOUZIGA,IMO9530022,WDG4758,90.0
366346000,2020-01-01T16:04:19,27.31735,-90.75216,0.1,5.2,356.0,RUSSELL BOUZIGA,IMO9530022,WDG4758,90.0
366346000,2020-01-01T21:30:29,27.3361,-90.7497,9.3,23.4,21.0,RUSSELL BOUZIGA,IMO9530022,WDG4758,90.0
366346000,2020-01-01T22:38:39,27.52446,-90.67138,10.6,18.7,18.0,RUSSELL BOUZIGA,IMO9530022,WDG4758,90.0
366346000,2020-01-01T22:40:49,27.53057,-90.66905,10.5,18.9,18.0,RUSSELL BOUZIGA,IMO9530022,WDG4758,90.0
366346000,2020-01-01T22:45:38,27.54379,-90.66395,10.4,19.3,17.0,RUSSELL BOUZIGA,IMO9530022,WDG4758,90.0
366346000,2020-01-01T22:49:28,27.55429,-90.65999,10.3,18.3,17.0,RUSSELL BOUZIGA,IMO9530022,WDG4758,90.0
366346000,2020-01-01T22:54:39,27.56855,-90.65448,10.4,19.3,17.0,RUSSELL BOUZIGA,IMO9530022,WDG4758,90.0
366346000,2020-01-01T22:58:39,27.5795,-90.65012,10.4,19.1,17.0,RUSSELL BOUZIGA,IMO9530022,WDG4758,90.0
366346000,2020-01-01T23:00:20,27.5842,-90.6483,10.5,19.8,17.0,RUSSELL BOUZIGA,IMO9530022,WDG4758,90.0
366346000,2020-01-01T23:06:30,27.60121,-90.64128,10.6,20.2,18.0,RUSSELL BOUZIGA,IMO9530022,WDG4758,90.0
366346000,2020-01-01T23:10:50,27.61323,-90.63616,10.6,19.9,16.0,RUSSELL BOUZIGA,IMO9530022,WDG4758,90.0
366346000,2020-01-01T23:17:59,27.63351,-90.62841,10.6,19.1,16.0,RUSSELL BOUZIGA,IMO9530022,WDG4758,90.0
366346000,2020-01-01T23:19:39,27.63815,-90.6266,10.6,18.9,16.0,RUSSELL BOUZIGA,IMO9530022,WDG4758,90.0
366346000,2020-01-01T23:20:59,27.64194,-90.6251,10.6,18.9,16.0,RUSSELL BOUZIGA,IMO9530022,WDG4758,90.0
366346000,2020-01-01T23:22:10,27.64523,-90.62385,10.6,18.2,15.0,RUSSELL BOUZIGA,IMO9530022,WDG4758,90.0
366346000,2020-01-01T23:24:19,27.65133,-90.62168,10.7,17.3,15.0,RUSSELL BOUZIGA,IMO9530022,WDG4758,90.0
366346000,2020-01-01T23:29:10,27.66518,-90.61726,10.6,14.2,12.0,RUSSELL BOUZIGA,IMO9530022,WDG4758,90.0
366346000,2020-01-01T23:33:40,27.6781,-90.61334,10.6,14.3,12.0,RUSSELL BOUZIGA,IMO9530022,WDG4758,90.0
366346000,2020-01-01T23:44:58,27.71032,-90.603,10.6,16.7,12.0,RUSSELL BOUZIGA,IMO9530022,WDG4758,90.0
366346000,2020-01-01T23:57:50,27.74712,-90.59011,10.7,17.3,12.0,RUSSELL BOUZIGA,IMO9530022,WDG4758,90.0
