MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType
338145846,2020-01-01T00:00:40,37.78028,-122.30785,0.0,360.0,511.0,SAILDRONE SUPPORT,,,37.0
338145846,2020-01-01T00:03:40,37.78025,-122.30797,2.5,228.5,511.0,SAILDRONE SUPPORT,,,37.0
338145846,2020-01-01T00:05:11,37.77371,-122.30797,18.4,202.1,511.0,SAILDRONE SUPPORT,,,37.0
338145846,2020-01-01T00:06:40,37.7665,-122.30777,16.7,106.2,511.0,SAILDRONE SUPPORT,,,37.0
338145846,2020-01-01T00:08:11,37.76565,-122.29821,18.7,88.6,511.0,SAILDRONE SUPPORT,,,37.0
338145846,2020-01-01T00:09:12,37.76615,-122.29156,19.2,68.9,511.0,SAILDRONE SUPPORT,,,37.0
338145846,2020-01-01T00:10:42,37.7678,-122.28891,2.3,40.9,511.0,SAILDRONE SUPPORT,,,37.0
338145846,2020-01-01T00:12:11,37.76847,-122.28837,0.7,0.6,511.0,SAILDRONE SUPPORT,,,37.0
338145846,2020-01-01T00:13:12,37.76888,-122.28788,2.0,50.0,511.0,SAILDRONE SUPPORT,,,37.0
338145846,2020-01-01T00:14:41,37.76937,-122.28739,0.6,172.0,511.0,SAILDRONE SUPPORT,,,37.0
338145846,2020-01-01T00:17:40,37.76932,-122.28735,0.0,360.0,511.0,SAILDRONE SUPPORT,,,37.0
338145846,2020-01-01T00:24:02,37.7693,-122.28729,0.0,360.0,511.0,SAILDRONE SUPPORT,,,37.0
338145846,2020-01-01T00:54:53,37.76904,-122.28775,2.8,211.6,511.0,SAILDRONE SUPPORT,,,37.0
338145846,2020-01-01T00:57:58,37.76574,-122.29764,25.8,256.4,511.0,SAILDRONE SUPPORT,,,37.0
338145846,2020-01-01T00:59:00,37.76584,-122.30652,26.9,295.2,511.0,SAILDRONE SUPPORT,,,37.0
338145846,2020-01-01T01:00:29,37.76987,-122.31919,26.5,313.7,511.0,SAILDRONE SUPPORT,,,37.0
338145846,2020-01-01T01:01:58,37.77574,-122.33047,26.0,307.1,511.0,SAILDRONE SUPPORT,,,37.0
338145846,2020-01-01T01:02:59,37.78015,-122.33792,26.2,299.0,511.0,SAILDRONE SUPPORT,,,37.0
338145846,2020-01-01T01:04:29,37.78619,-122.34843,24.9,305.0,511.0,SAILDRONE SUPPORT,,,37.0
338145846,2020-01-01T01:06:00,37.79184,-122.3594,24.9,302.1,511.0,SAILDRONE SUPPORT,,,37.0
