MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType
366945650,2020-01-01T00:52:23,36.56291,-89.25082,9.1,268.0,296.0,SALLY ARCHER,,WDB7650,31.0
366945650,2020-01-01T01:13:12,36.59306,-89.29772,8.7,312.0,302.0,SALLY ARCHER,,WDB7650,31.0
366945650,2020-01-01T01:16:13,36.59781,-89.30455,8.6,308.0,291.0,SALLY ARCHER,,WDB7650,31.0
366945650,2020-01-01T01:17:24,36.59947,-89.30734,8.5,303.0,281.0,SALLY ARCHER,,WDB7650,31.0
366945650,2020-01-01T01:19:24,36.60158,-89.3124,8.1,291.3,265.0,SALLY ARCHER,,WDB7650,31.0
366945650,2020-01-01T01:20:44,36.60236,-89.31588,7.8,280.4,256.0,SALLY ARCHER,,WDB7650,31.0
366945650,2020-01-01T01:22:02,36.6026,-89.31935,7.6,270.0,251.0,SALLY ARCHER,,WDB7650,31.0
366945650,2020-01-01T01:31:43,36.59541,-89.34418,8.3,231.0,218.0,SALLY ARCHER,,WDB7650,31.0
366945650,2020-01-01T01:33:23,36.5929,-89.34771,8.0,227.0,218.0,SALLY ARCHER,,WDB7650,31.0
366945650,2020-01-01T01:34:33,36.59119,-89.35005,7.7,228.0,217.0,SALLY ARCHER,,WDB7650,31.0
366945650,2020-01-01T01:36:44,36.58816,-89.35399,6.7,224.0,213.0,SALLY ARCHER,,WDB7650,31.0
366945650,2020-01-01T01:38:14,36.58627,-89.35618,5.9,221.0,214.0,SALLY ARCHER,,WDB7650,31.0
366945650,2020-01-01T01:39:23,36.58487,-89.35767,5.7,221.0,216.0,SALLY ARCHER,,WDB7650,31.0
366945650,2020-01-01T01:40:44,36.58327,-89.35937,5.4,219.0,217.0,SALLY ARCHER,,WDB7650,31.0
366945650,2020-01-01T01:41:45,36.58221,-89.36051,5.0,221.0,219.0,SALLY ARCHER,,WDB7650,31.0
366945650,2020-01-01T01:43:23,36.58073,-89.36228,3.9,227.0,225.0,SALLY ARCHER,,WDB7650,31.0
366945650,2020-01-01T01:44:43,36.57988,-89.3635,3.2,231.0,233.0,SALLY ARCHER,,WDB7650,31.0
366945650,2020-01-01T01:51:02,36.57802,-89.37443,7.7,256.1,233.0,SALLY ARCHER,,WDB7650,31.0
366945650,2020-01-01T01:52:52,36.5767,-89.37904,7.7,243.0,223.0,SALLY ARCHER,,WDB7650,31.0
366945650,2020-01-01T01:54:02,36.57548,-89.38187,7.9,240.0,216.0,SALLY ARCHER,,WDB7650,31.0
