MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType
338200126,2020-01-01T00:00:00,32.7077,-117.2353,6.1,336.9,511.0,SALUTE,,,37.0
338200126,2020-01-01T00:01:29,32.70976,-117.2351,5.9,25.4,511.0,SALUTE,,,37.0
338200126,2020-01-01T00:02:32,32.71103,-117.23413,6.1,36.5,511.0,SALUTE,,,37.0
338200126,2020-01-01T00:04:02,32.71258,-117.23248,6.2,47.5,511.0,SALUTE,,,37.0
338200126,2020-01-01T00:05:03,32.7136,-117.23121,4.2,43.6,511.0,SALUTE,,,37.0
338200126,2020-01-01T00:06:30,32.715,-117.22961,4.7,41.9,511.0,SALUTE,,,37.0
338200126,2020-01-01T00:08:00,32.71649,-117.22792,3.2,29.6,511.0,SALUTE,,,37.0
338200126,2020-01-01T00:09:30,32.71766,-117.22726,2.8,324.2,511.0,SALUTE,,,37.0
338200126,2020-01-01T00:11:00,32.71803,-117.22794,0.3,307.9,511.0,SALUTE,,,37.0
338200126,2020-01-01T00:12:32,32.71796,-117.22804,0.0,222.1,511.0,SALUTE,,,37.0
