MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType
316033093,2020-01-01T00:02:38,49.31243,-123.09307,0.1,187.4,511.0,SAND DOLLAR,IMO0000000,,37.0
367565570,2020-01-01T00:02:56,47.67872,-122.40726,0.0,360.0,511.0,SAND DOLLAR,,WDG7268,37.0
316033093,2020-01-01T00:05:39,49.31242,-123.09308,0.0,187.4,511.0,SAND DOLLAR,IMO0000000,,37.0
367565570,2020-01-01T00:05:54,47.67873,-122.40726,0.0,360.0,511.0,SAND DOLLAR,,WDG7268,37.0
316033093,2020-01-01T00:08:39,49.31243,-123.09309,0.0,187.4,511.0,SAND DOLLAR,IMO0000000,,37.0
316033093,2020-01-01T00:14:36,49.31243,-123.09309,0.0,187.4,511.0,SAND DOLLAR,IMO0000000,,37.0
367565570,2020-01-01T00:14:55,47.67873,-122.40724,0.0,360.0,511.0,SAND DOLLAR,,WDG7268,37.0
316033093,2020-01-01T00:17:36,49.31243,-123.09307,0.0,187.4,511.0,SAND DOLLAR,IMO0000000,,37.0
367565570,2020-01-01T00:17:54,47.67872,-122.40725,0.0,360.0,511.0,SAND DOLLAR,,WDG7268,37.0
316033093,2020-01-01T00:20:37,49.31243,-123.09307,0.0,187.4,511.0,SAND DOLLAR,IMO0000000,,37.0
316033093,2020-01-01T00:23:36,49.31243,-123.09307,0.0,187.4,511.0,SAND DOLLAR,IMO0000000,,37.0
367565570,2020-01-01T00:23:55,47.67873,-122.40724,0.1,360.0,511.0,SAND DOLLAR,,WDG7268,37.0
316033093,2020-01-01T00:26:36,49.31244,-123.09307,0.0,187.4,511.0,SAND DOLLAR,IMO0000000,,37.0
367565570,2020-01-01T00:26:56,47.67873,-122.40725,0.1,360.0,511.0,SAND DOLLAR,,WDG7268,37.0
316033093,2020-01-01T00:29:37,49.31243,-123.09307,0.1,187.4,511.0,SAND DOLLAR,IMO0000000,,37.0
367565570,2020-01-01T00:29:55,47.67872,-122.40725,0.0,360.0,511.0,SAND DOLLAR,,WDG7268,37.0
316033093,2020-01-01T00:32:36,49.31242,-123.09308,0.0,187.4,511.0,SAND DOLLAR,IMO0000000,,37.0
367565570,2020-01-01T00:32:55,47.67873,-122.40724,0.0,360.0,511.0,SAND DOLLAR,,WDG7268,37.0
367565570,2020-01-01T00:35:55,47.67872,-122.40723,0.0,360.0,511.0,SAND DOLLAR,,WDG7268,37.0
367565570,2020-01-01T00:38:55,47.67872,-122.40724,0.0,360.0,511.0,SAND DOLLAR,,WDG7268,37.0
316033093,2020-01-01T00:44:36,49.31244,-123.09307,0.0,187.4,511.0,SAND DOLLAR,IMO0000000,,37.0
316033093,2020-01-01T00:47:38,49.31244,-123.09308,0.0,187.4,511.0,SAND DOLLAR,IMO0000000,,37.0
367565570,2020-01-01T00:47:55,47.67873,-122.40724,0.1,360.0,511.0,SAND DOLLAR,,WDG7268,37.0
367565570,2020-01-01T00:50:55,47.67872,-122.40723,0.1,360.0,511.0,SAND DOLLAR,,WDG7268,37.0
316033093,2020-01-01T00:53:38,49.31244,-123.09307,0.1,187.4,511.0,SAND DOLLAR,IMO0000000,,37.0
316033093,2020-01-01T00:56:36,49.31242,-123.09309,0.0,187.4,511.0,SAND DOLLAR,IMO0000000,,37.0
367565570,2020-01-01T00:56:56,47.67873,-122.40724,0.0,360.0,511.0,SAND DOLLAR,,WDG7268,37.0
316033093,2020-01-01T00:59:37,49.31244,-123.09308,0.1,187.4,511.0,SAND DOLLAR,IMO0000000,,37.0
367565570,2020-01-01T00:59:55,47.67874,-122.40724,0.1,360.0,511.0,SAND DOLLAR,,WDG7268,37.0
