MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType
366952360,2020-01-01T00:19:58,31.71628,-91.39013,8.3,214.6,218.0,SANDY POINT,IMO8991085,WDB8067,31.0
366952360,2020-01-01T00:47:59,31.66602,-91.40005,7.6,174.6,179.0,SANDY POINT,IMO8991085,WDB8067,31.0
366952360,2020-01-01T00:49:09,31.66344,-91.39997,8.2,178.6,180.0,SANDY POINT,IMO8991085,WDB8067,31.0
366952360,2020-01-01T00:51:27,31.65791,-91.39991,9.0,179.5,178.0,SANDY POINT,IMO8991085,WDB8067,31.0
366952360,2020-01-01T00:52:38,31.65495,-91.39984,8.9,178.1,179.0,SANDY POINT,IMO8991085,WDB8067,31.0
366952360,2020-01-01T00:54:38,31.6501,-91.39981,8.5,180.5,179.0,SANDY POINT,IMO8991085,WDB8067,31.0
366952360,2020-01-01T00:55:49,31.64738,-91.39975,8.2,178.2,179.0,SANDY POINT,IMO8991085,WDB8067,31.0
366952360,2020-01-01T00:56:58,31.64481,-91.39963,7.9,179.7,184.0,SANDY POINT,IMO8991085,WDB8067,31.0
366952360,2020-01-01T01:00:08,31.63796,-91.39974,7.8,182.8,189.0,SANDY POINT,IMO8991085,WDB8067,31.0
366952360,2020-01-01T01:01:19,31.6354,-91.39988,7.8,182.6,187.0,SANDY POINT,IMO8991085,WDB8067,31.0
366952360,2020-01-01T01:03:08,31.63139,-91.40016,8.1,185.1,190.0,SANDY POINT,IMO8991085,WDB8067,31.0
366952360,2020-01-01T01:04:28,31.62841,-91.4005,8.1,185.4,189.0,SANDY POINT,IMO8991085,WDB8067,31.0
366952360,2020-01-01T01:06:19,31.62424,-91.40111,8.1,187.2,189.0,SANDY POINT,IMO8991085,WDB8067,31.0
366952360,2020-01-01T01:07:47,31.62097,-91.40165,8.1,189.1,188.0,SANDY POINT,IMO8991085,WDB8067,31.0
366952360,2020-01-01T01:09:08,31.61795,-91.40221,8.2,188.8,187.0,SANDY POINT,IMO8991085,WDB8067,31.0
366952360,2020-01-01T01:11:27,31.61297,-91.40311,7.3,189.6,188.0,SANDY POINT,IMO8991085,WDB8067,31.0
366952360,2020-01-01T01:13:37,31.60878,-91.40394,6.9,188.1,183.0,SANDY POINT,IMO8991085,WDB8067,31.0
366952360,2020-01-01T01:15:17,31.60562,-91.40436,6.7,184.0,182.0,SANDY POINT,IMO8991085,WDB8067,31.0
366952360,2020-01-01T01:16:28,31.60338,-91.40453,6.8,183.1,183.0,SANDY POINT,IMO8991085,WDB8067,31.0
366952360,2020-01-01T01:17:37,31.60121,-91.40465,6.9,183.2,184.0,SANDY POINT,IMO8991085,WDB8067,31.0
366952360,2020-01-01T01:19:08,31.59829,-91.40485,6.9,182.2,183.0,SANDY POINT,IMO8991085,WDB8067,31.0
366952360,2020-01-01T01:20:37,31.59539,-91.40494,7.3,181.5,184.0,SANDY POINT,IMO8991085,WDB8067,31.0
366952360,2020-01-01T01:21:48,31.59292,-91.40501,7.7,181.5,186.0,SANDY POINT,IMO8991085,WDB8067,31.0
366952360,2020-01-01T01:23:38,31.58895,-91.40524,7.9,185.6,192.0,SANDY POINT,IMO8991085,WDB8067,31.0
366952360,2020-01-01T01:24:59,31.586,-91.40559,7.8,186.6,193.0,SANDY POINT,IMO8991085,WDB8067,31.0
366952360,2020-01-01T01:26:07,31.5835,-91.40598,8.1,188.2,197.0,SANDY POINT,IMO8991085,WDB8067,31.0
366952360,2020-01-01T01:27:18,31.58084,-91.40651,8.2,191.9,201.0,SANDY POINT,IMO8991085,WDB8067,31.0
366952360,2020-01-01T01:28:39,31.57781,-91.40735,8.3,193.6,204.0,SANDY POINT,IMO8991085,WDB8067,31.0
366952360,2020-01-01T01:29:57,31.57498,-91.4084,8.2,200.4,210.0,SANDY POINT,IMO8991085,WDB8067,31.0
366952360,2020-01-01T01:31:28,31.57176,-91.40989,8.2,204.9,216.0,SANDY POINT,IMO8991085,WDB8067,31.0
366952360,2020-01-01T01:32:48,31.56909,-91.41151,8.0,210.1,220.0,SANDY POINT,IMO8991085,WDB8067,31.0
366952360,2020-01-01T01:33:57,31.56689,-91.41306,8.0,212.7,223.0,SANDY POINT,IMO8991085,WDB8067,31.0
366952360,2020-01-01T01:35:01,31.56498,-91.41466,7.8,223.1,226.0,SANDY POINT,IMO8991085,WDB8067,31.0
366952360,2020-01-01T01:38:09,31.5599,-91.42022,7.3,221.3,230.0,SANDY POINT,IMO8991085,WDB8067,31.0
366952360,2020-01-01T01:39:38,31.55758,-91.42323,8.4,227.2,229.0,SANDY POINT,IMO8991085,WDB8067,31.0
366952360,2020-01-01T01:40:48,31.55577,-91.42565,8.5,228.5,229.0,SANDY POINT,IMO8991085,WDB8067,31.0
366952360,2020-01-01T01:41:50,31.55417,-91.42776,8.7,228.2,228.0,SANDY POINT,IMO8991085,WDB8067,31.0
366952360,2020-01-01T01:44:58,31.54927,-91.4343,8.3,231.1,233.0,SANDY POINT,IMO8991085,WDB8067,31.0
366952360,2020-01-01T01:47:58,31.54507,-91.44077,8.4,233.2,231.0,SANDY POINT,IMO8991085,WDB8067,31.0
366952360,2020-01-01T01:49:18,31.54324,-91.44362,8.3,236.8,236.0,SANDY POINT,IMO8991085,WDB8067,31.0
366952360,2020-01-01T01:51:49,31.54009,-91.44934,8.2,240.5,244.0,SANDY POINT,IMO8991085,WDB8067,31.0
366952360,2020-01-01T01:54:49,31.53693,-91.45654,8.3,247.4,250.0,SANDY POINT,IMO8991085,WDB8067,31.0
366952360,2020-01-01T01:56:54,31.53493,-91.46174,8.4,241.9,248.0,SANDY POINT,IMO8991085,WDB8067,31.0
366952360,2020-01-01T01:58:59,31.53307,-91.46695,8.4,248.5,249.0,SANDY POINT,IMO8991085,WDB8067,31.0
366952360,2020-01-01T02:00:00,31.53216,-91.46945,8.4,245.6,252.0,SANDY POINT,IMO8991085,WDB8067,31.0
366952360,2020-01-01T02:01:01,31.53133,-91.4721,8.4,250.8,246.0,SANDY POINT,IMO8991085,WDB8067,31.0
366952360,2020-01-01T02:02:08,31.53027,-91.47487,8.4,244.2,245.0,SANDY POINT,IMO8991085,WDB8067,31.0
366952360,2020-01-01T02:03:28,31.52897,-91.47819,8.5,244.8,244.0,SANDY POINT,IMO8991085,WDB8067,31.0
366952360,2020-01-01T02:04:38,31.52776,-91.4811,8.5,244.6,245.0,SANDY POINT,IMO8991085,WDB8067,31.0
366952360,2020-01-01T02:05:40,31.52673,-91.48356,8.5,243.3,246.0,SANDY POINT,IMO8991085,WDB8067,31.0
366952360,2020-01-01T02:06:48,31.52556,-91.48647,8.5,244.8,247.0,SANDY POINT,IMO8991085,WDB8067,31.0
366952360,2020-01-01T02:07:58,31.52439,-91.48941,8.5,246.5,249.0,SANDY POINT,IMO8991085,WDB8067,31.0
366952360,2020-01-01T02:09:08,31.5233,-91.49234,8.4,245.5,246.0,SANDY POINT,IMO8991085,WDB8067,31.0
366952360,2020-01-01T02:10:10,31.52236,-91.49484,8.5,247.0,245.0,SANDY POINT,IMO8991085,WDB8067,31.0
366952360,2020-01-01T02:11:18,31.52119,-91.4977,8.4,242.6,240.0,SANDY POINT,IMO8991085,WDB8067,31.0
366952360,2020-01-01T02:12:39,31.51964,-91.50093,8.4,241.1,241.0,SANDY POINT,IMO8991085,WDB8067,31.0
366952360,2020-01-01T02:13:40,31.5185,-91.50328,8.3,238.4,234.0,SANDY POINT,IMO8991085,WDB8067,31.0
366952360,2020-01-01T02:14:47,31.51703,-91.50579,8.3,236.4,236.0,SANDY POINT,IMO8991085,WDB8067,31.0
366952360,2020-01-01T02:15:52,31.51559,-91.50817,8.3,233.7,227.0,SANDY POINT,IMO8991085,WDB8067,31.0
366952360,2020-01-01T02:17:35,31.51292,-91.5114,8.0,216.6,198.0,SANDY POINT,IMO8991085,WDB8067,31.0
366952360,2020-01-01T02:18:58,31.5102,-91.51318,8.5,207.0,195.0,SANDY POINT,IMO8991085,WDB8067,31.0
366952360,2020-01-01T02:20:21,31.50711,-91.51448,8.5,191.4,189.0,SANDY POINT,IMO8991085,WDB8067,31.0
366952360,2020-01-01T02:21:50,31.50352,-91.51545,9.2,188.9,192.0,SANDY POINT,IMO8991085,WDB8067,31.0
366952360,2020-01-01T02:23:08,31.50013,-91.51626,9.9,192.0,191.0,SANDY POINT,IMO8991085,WDB8067,31.0
366952360,2020-01-01T02:24:18,31.49696,-91.51705,10.1,190.5,186.0,SANDY POINT,IMO8991085,WDB8067,31.0
366952360,2020-01-01T02:25:38,31.49316,-91.51784,10.4,192.1,188.0,SANDY POINT,IMO8991085,WDB8067,31.0
366952360,2020-01-01T02:26:41,31.49025,-91.51836,9.8,185.1,185.0,SANDY POINT,IMO8991085,WDB8067,31.0
366952360,2020-01-01T02:29:17,31.48294,-91.51916,10.3,185.4,186.0,SANDY POINT,IMO8991085,WDB8067,31.0
366952360,2020-01-01T02:30:48,31.47858,-91.5196,10.4,183.8,181.0,SANDY POINT,IMO8991085,WDB8067,31.0
366952360,2020-01-01T02:31:58,31.47518,-91.51973,10.4,180.9,178.0,SANDY POINT,IMO8991085,WDB8067,31.0
366952360,2020-01-01T02:33:07,31.47184,-91.51967,10.3,178.4,176.0,SANDY POINT,IMO8991085,WDB8067,31.0
366952360,2020-01-01T02:35:48,31.46416,-91.51945,10.1,178.6,178.0,SANDY POINT,IMO8991085,WDB8067,31.0
366952360,2020-01-01T02:37:09,31.4604,-91.51914,9.9,175.5,178.0,SANDY POINT,IMO8991085,WDB8067,31.0
366952360,2020-01-01T02:38:28,31.45681,-91.51874,9.9,173.0,173.0,SANDY POINT,IMO8991085,WDB8067,31.0
366952360,2020-01-01T02:39:39,31.45359,-91.51824,9.9,172.4,174.0,SANDY POINT,IMO8991085,WDB8067,31.0
366952360,2020-01-01T02:42:42,31.44547,-91.51647,9.7,160.8,167.0,SANDY POINT,IMO8991085,WDB8067,31.0
366952360,2020-01-01T02:45:38,31.43784,-91.51396,9.7,166.5,169.0,SANDY POINT,IMO8991085,WDB8067,31.0
366952360,2020-01-01T02:47:19,31.43361,-91.51217,9.6,160.4,162.0,SANDY POINT,IMO8991085,WDB8067,31.0
366952360,2020-01-01T02:48:28,31.43081,-91.51076,9.5,155.6,158.0,SANDY POINT,IMO8991085,WDB8067,31.0
366952360,2020-01-01T02:49:38,31.42801,-91.50919,9.4,149.0,148.0,SANDY POINT,IMO8991085,WDB8067,31.0
366952360,2020-01-01T02:50:59,31.425,-91.50697,9.5,146.5,146.0,SANDY POINT,IMO8991085,WDB8067,31.0
366952360,2020-01-01T02:52:18,31.4222,-91.50462,9.4,144.2,141.0,SANDY POINT,IMO8991085,WDB8067,31.0
366952360,2020-01-01T02:53:38,31.41952,-91.50201,9.3,135.7,132.0,SANDY POINT,IMO8991085,WDB8067,31.0
366952360,2020-01-01T02:54:49,31.41744,-91.4994,9.2,130.6,135.0,SANDY POINT,IMO8991085,WDB8067,31.0
366952360,2020-01-01T02:55:59,31.41537,-91.49687,9.2,131.5,129.0,SANDY POINT,IMO8991085,WDB8067,31.0
366952360,2020-01-01T02:59:08,31.40999,-91.48966,9.6,133.2,136.0,SANDY POINT,IMO8991085,WDB8067,31.0
366952360,2020-01-01T03:00:08,31.40814,-91.48743,9.5,133.9,135.0,SANDY POINT,IMO8991085,WDB8067,31.0
366952360,2020-01-01T03:01:27,31.40564,-91.48447,9.8,136.4,142.0,SANDY POINT,IMO8991085,WDB8067,31.0
366952360,2020-01-01T03:02:38,31.40318,-91.48191,10.1,137.1,136.0,SANDY POINT,IMO8991085,WDB8067,31.0
366952360,2020-01-01T03:03:48,31.40076,-91.47934,10.2,141.3,144.0,SANDY POINT,IMO8991085,WDB8067,31.0
366952360,2020-01-01T03:04:49,31.39854,-91.47727,10.2,137.6,135.0,SANDY POINT,IMO8991085,WDB8067,31.0
366952360,2020-01-01T03:05:52,31.39625,-91.47491,10.2,138.4,145.0,SANDY POINT,IMO8991085,WDB8067,31.0
366952360,2020-01-01T03:07:08,31.39337,-91.4724,10.1,143.3,143.0,SANDY POINT,IMO8991085,WDB8067,31.0
366952360,2020-01-01T03:08:11,31.39096,-91.47036,10.3,144.4,152.0,SANDY POINT,IMO8991085,WDB8067,31.0
366952360,2020-01-01T03:09:18,31.38827,-91.46853,9.7,154.6,163.0,SANDY POINT,IMO8991085,WDB8067,31.0
366952360,2020-01-01T03:10:39,31.38493,-91.46678,9.7,154.1,174.0,SANDY POINT,IMO8991085,WDB8067,31.0
366952360,2020-01-01T03:11:42,31.38234,-91.46592,9.0,172.9,193.0,SANDY POINT,IMO8991085,WDB8067,31.0
366952360,2020-01-01T03:12:59,31.37911,-91.46583,9.4,181.5,192.0,SANDY POINT,IMO8991085,WDB8067,31.0
366952360,2020-01-01T03:14:02,31.37638,-91.46597,9.0,193.1,212.0,SANDY POINT,IMO8991085,WDB8067,31.0
366952360,2020-01-01T03:15:21,31.37308,-91.46692,9.5,195.7,220.0,SANDY POINT,IMO8991085,WDB8067,31.0
366952360,2020-01-01T03:16:54,31.36938,-91.46896,9.8,207.1,224.0,SANDY POINT,IMO8991085,WDB8067,31.0
366952360,2020-01-01T03:18:45,31.3652,-91.47221,10.2,212.6,221.0,SANDY POINT,IMO8991085,WDB8067,31.0
366952360,2020-01-01T03:19:59,31.36247,-91.47467,10.0,222.5,230.0,SANDY POINT,IMO8991085,WDB8067,31.0
366952360,2020-01-01T03:21:18,31.35977,-91.47768,10.3,227.8,236.0,SANDY POINT,IMO8991085,WDB8067,31.0
366952360,2020-01-01T03:22:22,31.35783,-91.48034,9.9,238.2,237.0,SANDY POINT,IMO8991085,WDB8067,31.0
366952360,2020-01-01T03:23:24,31.35603,-91.48289,9.9,230.0,239.0,SANDY POINT,IMO8991085,WDB8067,31.0
366952360,2020-01-01T03:24:28,31.3543,-91.48567,10.1,236.9,242.0,SANDY POINT,IMO8991085,WDB8067,31.0
366952360,2020-01-01T03:25:38,31.35252,-91.48892,10.4,236.4,236.0,SANDY POINT,IMO8991085,WDB8067,31.0
366952360,2020-01-01T03:26:56,31.35045,-91.49271,10.9,237.6,228.0,SANDY POINT,IMO8991085,WDB8067,31.0
366952360,2020-01-01T03:29:01,31.34638,-91.4983,10.6,222.5,207.0,SANDY POINT,IMO8991085,WDB8067,31.0
366952360,2020-01-01T03:30:27,31.343,-91.50106,10.3,209.5,200.0,SANDY POINT,IMO8991085,WDB8067,31.0
366952360,2020-01-01T03:32:37,31.33763,-91.50418,9.2,196.9,192.0,SANDY POINT,IMO8991085,WDB8067,31.0
366952360,2020-01-01T03:33:59,31.33426,-91.5053,9.5,196.0,192.0,SANDY POINT,IMO8991085,WDB8067,31.0
366952360,2020-01-01T03:35:37,31.32995,-91.50629,9.9,190.2,194.0,SANDY POINT,IMO8991085,WDB8067,31.0
366952360,2020-01-01T03:37:48,31.32414,-91.50741,9.5,188.5,191.0,SANDY POINT,IMO8991085,WDB8067,31.0
366952360,2020-01-01T03:39:09,31.32059,-91.50801,9.7,191.5,193.0,SANDY POINT,IMO8991085,WDB8067,31.0
366952360,2020-01-01T03:42:10,31.31258,-91.50929,9.8,187.0,190.0,SANDY POINT,IMO8991085,WDB8067,31.0
366952360,2020-01-01T03:43:38,31.30859,-91.50989,9.7,187.3,190.0,SANDY POINT,IMO8991085,WDB8067,31.0
366952360,2020-01-01T03:44:49,31.30544,-91.51028,9.5,187.6,197.0,SANDY POINT,IMO8991085,WDB8067,31.0
