MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType
367754820,2020-01-01T00:47:28,48.42193,-123.36969,0.0,10.0,511.0,SAUDADE,,WDJ2054,36.0
368025730,2020-01-01T01:53:14,17.71624,-64.88528,0.0,252.8,511.0,SAUDADE,IMO0000000,WDJ9400,36.0
367754820,2020-01-01T02:14:28,48.42197,-123.36968,0.0,22.4,511.0,SAUDADE,,WDJ2054,36.0
367754820,2020-01-01T02:38:29,48.42193,-123.36971,0.0,276.7,511.0,SAUDADE,,WDJ2054,36.0
367754820,2020-01-01T02:44:28,48.42193,-123.3697,0.0,276.7,511.0,SAUDADE,,WDJ2054,36.0
367754820,2020-01-01T03:02:29,48.42194,-123.36967,0.0,30.6,511.0,SAUDADE,,WDJ2054,36.0
367754820,2020-01-01T03:08:29,48.42196,-123.36967,0.0,222.1,511.0,SAUDADE,,WDJ2054,36.0
367754820,2020-01-01T03:14:28,48.42194,-123.36967,0.0,23.5,511.0,SAUDADE,,WDJ2054,36.0
367754820,2020-01-01T03:17:28,48.42193,-123.36967,0.4,43.0,511.0,SAUDADE,,WDJ2054,36.0
367754820,2020-01-01T03:20:28,48.42192,-123.36971,0.2,38.3,511.0,SAUDADE,,WDJ2054,36.0
367754820,2020-01-01T03:23:28,48.42194,-123.36971,0.0,38.3,511.0,SAUDADE,,WDJ2054,36.0
367754820,2020-01-01T03:32:28,48.42194,-123.36969,0.0,38.3,511.0,SAUDADE,,WDJ2054,36.0
368025730,2020-01-01T03:35:14,17.71626,-64.88526,0.0,252.8,511.0,SAUDADE,IMO0000000,WDJ9400,36.0
367754820,2020-01-01T03:38:30,48.42194,-123.36968,0.6,38.3,511.0,SAUDADE,,WDJ2054,36.0
367754820,2020-01-01T03:44:29,48.42191,-123.36969,0.0,38.3,511.0,SAUDADE,,WDJ2054,36.0
368025730,2020-01-01T04:02:14,17.71626,-64.88521,0.0,252.8,511.0,SAUDADE,IMO0000000,WDJ9400,36.0
367754820,2020-01-01T04:02:28,48.42192,-123.36969,0.0,38.3,511.0,SAUDADE,,WDJ2054,36.0
368025730,2020-01-01T04:11:14,17.71626,-64.88518,0.0,252.8,511.0,SAUDADE,IMO0000000,WDJ9400,36.0
368025730,2020-01-01T04:14:14,17.71625,-64.88518,0.0,252.8,511.0,SAUDADE,IMO0000000,WDJ9400,36.0
368025730,2020-01-01T04:17:14,17.71625,-64.88518,0.0,252.8,511.0,SAUDADE,IMO0000000,WDJ9400,36.0
368025730,2020-01-01T04:20:15,17.71625,-64.88518,0.0,252.8,511.0,SAUDADE,IMO0000000,WDJ9400,36.0
368025730,2020-01-01T04:23:14,17.71625,-64.88518,0.0,252.8,511.0,SAUDADE,IMO0000000,WDJ9400,36.0
368025730,2020-01-01T04:26:15,17.71624,-64.88518,0.0,252.8,511.0,SAUDADE,IMO0000000,WDJ9400,36.0
368025730,2020-01-01T04:29:15,17.71624,-64.88519,0.0,252.8,511.0,SAUDADE,IMO0000000,WDJ9400,36.0
368025730,2020-01-01T04:32:14,17.71625,-64.88519,0.1,252.8,511.0,SAUDADE,IMO0000000,WDJ9400,36.0
368025730,2020-01-01T04:35:15,17.71624,-64.8852,0.1,252.8,511.0,SAUDADE,IMO0000000,WDJ9400,36.0
368025730,2020-01-01T04:41:14,17.71624,-64.88521,0.0,252.8,511.0,SAUDADE,IMO0000000,WDJ9400,36.0
368025730,2020-01-01T04:53:13,17.71627,-64.88523,0.1,252.8,511.0,SAUDADE,IMO0000000,WDJ9400,36.0
368025730,2020-01-01T05:38:16,17.71625,-64.88526,0.2,252.8,511.0,SAUDADE,IMO0000000,WDJ9400,36.0
368025730,2020-01-01T06:14:14,17.7162,-64.88526,0.3,252.8,511.0,SAUDADE,IMO0000000,WDJ9400,36.0
368025730,2020-01-01T06:26:14,17.71624,-64.88528,0.1,209.1,511.0,SAUDADE,IMO0000000,WDJ9400,36.0
367754820,2020-01-01T06:45:30,48.42195,-123.36972,0.0,324.5,511.0,SAUDADE,,WDJ2054,36.0
368025730,2020-01-01T06:50:14,17.71622,-64.88529,0.1,307.9,511.0,SAUDADE,IMO0000000,WDJ9400,36.0
368025730,2020-01-01T06:59:14,17.71622,-64.88529,0.1,307.9,511.0,SAUDADE,IMO0000000,WDJ9400,36.0
367754820,2020-01-01T07:03:32,48.42194,-123.36965,0.1,165.1,511.0,SAUDADE,,WDJ2054,36.0
367754820,2020-01-01T07:39:29,48.42194,-123.36965,0.0,17.3,511.0,SAUDADE,,WDJ2054,36.0
367754820,2020-01-01T07:51:29,48.42198,-123.36969,0.0,17.3,511.0,SAUDADE,,WDJ2054,36.0
367754820,2020-01-01T08:00:59,48.42196,-123.36971,0.0,349.4,511.0,SAUDADE,,WDJ2054,36.0
367754820,2020-01-01T08:27:29,48.42188,-123.36977,0.1,160.9,511.0,SAUDADE,,WDJ2054,36.0
367754820,2020-01-01T08:33:58,48.42189,-123.36973,0.0,170.3,511.0,SAUDADE,,WDJ2054,36.0
367754820,2020-01-01T08:34:59,48.42191,-123.36968,0.0,170.3,511.0,SAUDADE,,WDJ2054,36.0
368025730,2020-01-01T09:02:14,17.71615,-64.88519,0.2,307.9,511.0,SAUDADE,IMO0000000,WDJ9400,36.0
368025730,2020-01-01T09:05:14,17.71618,-64.88521,0.2,307.9,511.0,SAUDADE,IMO0000000,WDJ9400,36.0
367754820,2020-01-01T09:28:28,48.42192,-123.36967,0.0,118.8,511.0,SAUDADE,,WDJ2054,36.0
368025730,2020-01-01T09:35:15,17.71624,-64.88528,0.0,307.9,511.0,SAUDADE,IMO0000000,WDJ9400,36.0
367754820,2020-01-01T09:58:29,48.42192,-123.36971,0.0,118.8,511.0,SAUDADE,,WDJ2054,36.0
367754820,2020-01-01T10:37:28,48.42196,-123.36967,0.0,255.8,511.0,SAUDADE,,WDJ2054,36.0
367754820,2020-01-01T10:40:28,48.42196,-123.36967,0.0,255.8,511.0,SAUDADE,,WDJ2054,36.0
367754820,2020-01-01T10:43:28,48.42196,-123.36968,0.0,255.8,511.0,SAUDADE,,WDJ2054,36.0
368025730,2020-01-01T10:59:14,17.71621,-64.88526,0.0,307.9,511.0,SAUDADE,IMO0000000,WDJ9400,36.0
368025730,2020-01-01T11:08:14,17.71621,-64.88526,0.0,307.9,511.0,SAUDADE,IMO0000000,WDJ9400,36.0
367754820,2020-01-01T11:34:28,48.42194,-123.36973,0.0,321.5,511.0,SAUDADE,,WDJ2054,36.0
368025730,2020-01-01T11:59:14,17.71623,-64.88527,0.0,307.9,511.0,SAUDADE,IMO0000000,WDJ9400,36.0
367754820,2020-01-01T12:05:28,48.42198,-123.36964,0.0,12.8,511.0,SAUDADE,,WDJ2054,36.0
368025730,2020-01-01T12:35:15,17.7162,-64.88525,0.0,211.8,511.0,SAUDADE,IMO0000000,WDJ9400,36.0
367754820,2020-01-01T12:36:59,48.422,-123.36968,0.1,344.0,511.0,SAUDADE,,WDJ2054,36.0
368025730,2020-01-01T13:47:14,17.71627,-64.88529,0.1,211.8,511.0,SAUDADE,IMO0000000,WDJ9400,36.0
367754820,2020-01-01T14:09:00,48.42189,-123.3697,0.0,163.0,511.0,SAUDADE,,WDJ2054,36.0
368025730,2020-01-01T14:20:14,17.71627,-64.88515,0.0,228.1,511.0,SAUDADE,IMO0000000,WDJ9400,36.0
367754820,2020-01-01T14:20:59,48.42192,-123.36968,0.0,163.0,511.0,SAUDADE,,WDJ2054,36.0
368025730,2020-01-01T14:23:14,17.7163,-64.88515,0.0,228.1,511.0,SAUDADE,IMO0000000,WDJ9400,36.0
368025730,2020-01-01T14:26:16,17.71629,-64.88521,0.1,228.1,511.0,SAUDADE,IMO0000000,WDJ9400,36.0
368025730,2020-01-01T14:35:14,17.71633,-64.88524,0.1,228.1,511.0,SAUDADE,IMO0000000,WDJ9400,36.0
367754820,2020-01-01T14:35:58,48.42195,-123.36969,0.0,185.4,511.0,SAUDADE,,WDJ2054,36.0
367754820,2020-01-01T14:44:58,48.42196,-123.36969,0.2,185.4,511.0,SAUDADE,,WDJ2054,36.0
368025730,2020-01-01T15:08:14,17.71634,-64.88535,0.1,177.7,511.0,SAUDADE,IMO0000000,WDJ9400,36.0
367754820,2020-01-01T15:14:59,48.42195,-123.36967,0.0,342.1,511.0,SAUDADE,,WDJ2054,36.0
368025730,2020-01-01T15:20:16,17.71624,-64.88529,0.1,177.7,511.0,SAUDADE,IMO0000000,WDJ9400,36.0
368025730,2020-01-01T15:29:14,17.71623,-64.88522,0.0,177.7,511.0,SAUDADE,IMO0000000,WDJ9400,36.0
368025730,2020-01-01T15:56:14,17.7161,-64.88515,0.2,177.7,511.0,SAUDADE,IMO0000000,WDJ9400,36.0
367754820,2020-01-01T15:58:28,48.42195,-123.36969,0.0,140.9,511.0,SAUDADE,,WDJ2054,36.0
368025730,2020-01-01T16:02:14,17.71612,-64.88511,0.0,177.7,511.0,SAUDADE,IMO0000000,WDJ9400,36.0
368025730,2020-01-01T16:05:13,17.71613,-64.88511,0.0,177.7,511.0,SAUDADE,IMO0000000,WDJ9400,36.0
367754820,2020-01-01T16:10:28,48.42197,-123.36968,0.0,140.9,511.0,SAUDADE,,WDJ2054,36.0
368025730,2020-01-01T16:14:14,17.71609,-64.88518,0.0,177.7,511.0,SAUDADE,IMO0000000,WDJ9400,36.0
368025730,2020-01-01T16:26:15,17.71616,-64.88507,0.2,177.7,511.0,SAUDADE,IMO0000000,WDJ9400,36.0
368025730,2020-01-01T16:29:14,17.71615,-64.88511,0.1,177.7,511.0,SAUDADE,IMO0000000,WDJ9400,36.0
368025730,2020-01-01T16:35:14,17.71621,-64.88507,0.0,177.7,511.0,SAUDADE,IMO0000000,WDJ9400,36.0
368025730,2020-01-01T16:41:14,17.71616,-64.88509,0.0,177.7,511.0,SAUDADE,IMO0000000,WDJ9400,36.0
368025730,2020-01-01T16:44:14,17.71619,-64.88509,0.0,177.7,511.0,SAUDADE,IMO0000000,WDJ9400,36.0
368025730,2020-01-01T16:56:13,17.71612,-64.88511,0.1,177.7,511.0,SAUDADE,IMO0000000,WDJ9400,36.0
368025730,2020-01-01T17:02:17,17.71615,-64.88509,0.1,177.7,511.0,SAUDADE,IMO0000000,WDJ9400,36.0
367754820,2020-01-01T17:06:59,48.42193,-123.36967,0.0,38.1,511.0,SAUDADE,,WDJ2054,36.0
368025730,2020-01-01T17:11:14,17.71619,-64.88507,0.0,177.7,511.0,SAUDADE,IMO0000000,WDJ9400,36.0
368025730,2020-01-01T17:23:14,17.71619,-64.88508,0.1,177.7,511.0,SAUDADE,IMO0000000,WDJ9400,36.0
367754820,2020-01-01T17:23:30,48.42192,-123.36967,0.0,38.1,511.0,SAUDADE,,WDJ2054,36.0
368025730,2020-01-01T17:41:14,17.71612,-64.88513,0.0,177.7,511.0,SAUDADE,IMO0000000,WDJ9400,36.0
368025730,2020-01-01T17:47:15,17.71618,-64.88513,0.1,246.8,511.0,SAUDADE,IMO0000000,WDJ9400,36.0
368025730,2020-01-01T17:50:14,17.71619,-64.88508,0.0,246.8,511.0,SAUDADE,IMO0000000,WDJ9400,36.0
368025730,2020-01-01T17:53:14,17.7162,-64.88507,0.1,246.8,511.0,SAUDADE,IMO0000000,WDJ9400,36.0
368025730,2020-01-01T17:56:14,17.71621,-64.88508,0.0,246.8,511.0,SAUDADE,IMO0000000,WDJ9400,36.0
368025730,2020-01-01T17:59:14,17.71621,-64.88508,0.1,246.8,511.0,SAUDADE,IMO0000000,WDJ9400,36.0
367754820,2020-01-01T17:59:29,48.42191,-123.36967,0.0,38.1,511.0,SAUDADE,,WDJ2054,36.0
368025730,2020-01-01T18:02:15,17.71622,-64.88511,0.1,246.8,511.0,SAUDADE,IMO0000000,WDJ9400,36.0
368025730,2020-01-01T18:05:14,17.71622,-64.88507,0.0,246.8,511.0,SAUDADE,IMO0000000,WDJ9400,36.0
368025730,2020-01-01T18:08:15,17.7162,-64.88508,0.1,246.8,511.0,SAUDADE,IMO0000000,WDJ9400,36.0
