MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType
367796040,2020-01-01T00:01:09,40.6863,-74.07764,0.0,312.8,219.0,SEA FOX,IMO7129465,WDJ6265,31.0
338211341,2020-01-01T00:01:55,40.13451,-74.81367,0.0,260.3,511.0,SEA FOX,,,37.0
367796040,2020-01-01T00:02:19,40.6863,-74.07764,0.0,312.8,218.0,SEA FOX,IMO7129465,WDJ6265,31.0
367796040,2020-01-01T00:03:38,40.68632,-74.07765,0.0,312.8,219.0,SEA FOX,IMO7129465,WDJ6265,31.0
367796040,2020-01-01T00:04:48,40.6863,-74.07767,0.0,312.8,219.0,SEA FOX,IMO7129465,WDJ6265,31.0
338211341,2020-01-01T00:04:55,40.13449,-74.81365,0.0,260.3,511.0,SEA FOX,,,37.0
367796040,2020-01-01T00:06:08,40.6863,-74.07766,0.0,312.8,220.0,SEA FOX,IMO7129465,WDJ6265,31.0
367796040,2020-01-01T00:07:18,40.68631,-74.07766,0.0,312.8,219.0,SEA FOX,IMO7129465,WDJ6265,31.0
338211341,2020-01-01T00:07:57,40.13449,-74.81368,0.0,260.3,511.0,SEA FOX,,,37.0
367796040,2020-01-01T00:08:29,40.68629,-74.07766,0.0,312.8,218.0,SEA FOX,IMO7129465,WDJ6265,31.0
367796040,2020-01-01T00:09:38,40.6863,-74.07767,0.0,312.8,218.0,SEA FOX,IMO7129465,WDJ6265,31.0
338211341,2020-01-01T00:10:55,40.1345,-74.81366,0.0,260.3,511.0,SEA FOX,,,37.0
367796040,2020-01-01T00:10:59,40.68628,-74.07764,0.0,312.8,218.0,SEA FOX,IMO7129465,WDJ6265,31.0
367796040,2020-01-01T00:12:39,40.6863,-74.07765,0.0,312.8,218.0,SEA FOX,IMO7129465,WDJ6265,31.0
367796040,2020-01-01T00:13:48,40.68628,-74.07762,0.0,312.8,218.0,SEA FOX,IMO7129465,WDJ6265,31.0
338211341,2020-01-01T00:13:56,40.1345,-74.81367,0.0,260.3,511.0,SEA FOX,,,37.0
367796040,2020-01-01T00:14:49,40.6863,-74.07764,0.0,312.8,219.0,SEA FOX,IMO7129465,WDJ6265,31.0
367796040,2020-01-01T00:15:59,40.6863,-74.07766,0.0,312.8,221.0,SEA FOX,IMO7129465,WDJ6265,31.0
338211341,2020-01-01T00:16:56,40.1345,-74.81365,0.0,260.3,511.0,SEA FOX,,,37.0
367796040,2020-01-01T00:17:10,40.68628,-74.07764,0.0,312.8,221.0,SEA FOX,IMO7129465,WDJ6265,31.0
367796040,2020-01-01T00:19:08,40.6863,-74.07767,0.0,312.8,219.0,SEA FOX,IMO7129465,WDJ6265,31.0
338211341,2020-01-01T00:19:56,40.13451,-74.81365,0.0,260.3,511.0,SEA FOX,,,37.0
367796040,2020-01-01T00:20:18,40.68629,-74.07764,0.0,312.8,219.0,SEA FOX,IMO7129465,WDJ6265,31.0
367796040,2020-01-01T00:21:29,40.68628,-74.07765,0.0,312.8,218.0,SEA FOX,IMO7129465,WDJ6265,31.0
367796040,2020-01-01T00:23:08,40.68628,-74.07764,0.0,312.8,218.0,SEA FOX,IMO7129465,WDJ6265,31.0
367796040,2020-01-01T00:24:18,40.68628,-74.07765,0.0,312.8,219.0,SEA FOX,IMO7129465,WDJ6265,31.0
338211341,2020-01-01T00:25:55,40.13452,-74.81365,0.0,260.3,511.0,SEA FOX,,,37.0
367796040,2020-01-01T00:25:59,40.6863,-74.07766,0.0,312.8,219.0,SEA FOX,IMO7129465,WDJ6265,31.0
367796040,2020-01-01T00:27:18,40.68629,-74.07765,0.0,312.8,221.0,SEA FOX,IMO7129465,WDJ6265,31.0
367796040,2020-01-01T00:28:48,40.6863,-74.07763,0.0,312.8,221.0,SEA FOX,IMO7129465,WDJ6265,31.0
338211341,2020-01-01T00:28:56,40.1345,-74.81367,0.2,260.3,511.0,SEA FOX,,,37.0
367796040,2020-01-01T00:30:18,40.68626,-74.07766,0.0,312.8,219.0,SEA FOX,IMO7129465,WDJ6265,31.0
338211341,2020-01-01T00:31:55,40.13451,-74.81367,0.0,260.3,511.0,SEA FOX,,,37.0
367796040,2020-01-01T00:32:29,40.68629,-74.07764,0.0,312.8,220.0,SEA FOX,IMO7129465,WDJ6265,31.0
367796040,2020-01-01T00:33:39,40.68628,-74.07764,0.0,312.8,221.0,SEA FOX,IMO7129465,WDJ6265,31.0
367796040,2020-01-01T00:34:48,40.68628,-74.07763,0.0,312.8,223.0,SEA FOX,IMO7129465,WDJ6265,31.0
338211341,2020-01-01T00:35:00,40.1345,-74.81366,0.0,260.3,511.0,SEA FOX,,,37.0
367796040,2020-01-01T00:37:19,40.6863,-74.07766,0.0,312.8,218.0,SEA FOX,IMO7129465,WDJ6265,31.0
338211341,2020-01-01T00:37:56,40.1345,-74.81367,0.0,260.3,511.0,SEA FOX,,,37.0
367796040,2020-01-01T00:38:28,40.6863,-74.07765,0.0,312.8,218.0,SEA FOX,IMO7129465,WDJ6265,31.0
367796040,2020-01-01T00:39:29,40.68631,-74.07765,0.0,312.8,220.0,SEA FOX,IMO7129465,WDJ6265,31.0
367796040,2020-01-01T00:41:49,40.68631,-74.07764,0.0,312.8,222.0,SEA FOX,IMO7129465,WDJ6265,31.0
