MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType
338117356,2020-01-01T00:00:05,48.50006,-122.6056,0.0,312.6,511.0,SEAGATE,,,37.0
316015859,2020-01-01T00:00:41,48.85558,-123.49859,0.0,163.8,511.0,SEAGATE,,CFK9760,37.0
338117356,2020-01-01T00:03:02,48.5001,-122.60561,0.0,313.2,511.0,SEAGATE,,,37.0
338117356,2020-01-01T00:06:03,48.50007,-122.60561,0.0,307.4,511.0,SEAGATE,,,37.0
316015859,2020-01-01T00:06:40,48.85556,-123.49862,0.1,169.0,511.0,SEAGATE,,CFK9760,37.0
338117356,2020-01-01T00:09:02,48.50009,-122.60561,0.0,305.4,511.0,SEAGATE,,,37.0
316015859,2020-01-01T00:09:40,48.85556,-123.49862,0.0,162.1,511.0,SEAGATE,,CFK9760,37.0
338117356,2020-01-01T00:12:04,48.50008,-122.60562,0.0,303.1,511.0,SEAGATE,,,37.0
338117356,2020-01-01T00:15:04,48.50008,-122.6056,0.0,300.3,511.0,SEAGATE,,,37.0
338117356,2020-01-01T00:18:03,48.50007,-122.60561,0.0,299.1,511.0,SEAGATE,,,37.0
316015859,2020-01-01T00:18:40,48.85557,-123.49862,0.1,177.7,511.0,SEAGATE,,CFK9760,37.0
338117356,2020-01-01T00:21:02,48.5001,-122.60558,0.0,283.9,511.0,SEAGATE,,,37.0
316015859,2020-01-01T00:21:40,48.85556,-123.49861,0.2,172.4,511.0,SEAGATE,,CFK9760,37.0
338117356,2020-01-01T00:24:03,48.50009,-122.6056,0.0,288.6,511.0,SEAGATE,,,37.0
316015859,2020-01-01T00:24:41,48.85557,-123.4986,0.1,170.9,511.0,SEAGATE,,CFK9760,37.0
338117356,2020-01-01T00:27:03,48.50007,-122.60558,0.0,275.5,511.0,SEAGATE,,,37.0
338117356,2020-01-01T00:30:07,48.50006,-122.60559,0.0,258.9,511.0,SEAGATE,,,37.0
338117356,2020-01-01T00:33:03,48.50005,-122.60559,0.0,254.0,511.0,SEAGATE,,,37.0
338117356,2020-01-01T00:36:03,48.50008,-122.60559,0.0,254.1,511.0,SEAGATE,,,37.0
338117356,2020-01-01T00:39:03,48.5001,-122.60559,0.0,253.2,511.0,SEAGATE,,,37.0
338117356,2020-01-01T00:42:03,48.50013,-122.60559,0.0,256.1,511.0,SEAGATE,,,37.0
316015859,2020-01-01T00:42:42,48.85556,-123.4986,0.1,171.7,511.0,SEAGATE,,CFK9760,37.0
338117356,2020-01-01T00:45:04,48.50007,-122.6056,0.0,255.0,511.0,SEAGATE,,,37.0
316015859,2020-01-01T00:45:42,48.85557,-123.49861,0.1,165.7,511.0,SEAGATE,,CFK9760,37.0
338117356,2020-01-01T00:48:03,48.5001,-122.60559,0.0,251.9,511.0,SEAGATE,,,37.0
338117356,2020-01-01T00:51:03,48.50006,-122.6056,0.0,254.7,511.0,SEAGATE,,,37.0
316015859,2020-01-01T00:51:40,48.85557,-123.49861,0.0,153.4,511.0,SEAGATE,,CFK9760,37.0
338117356,2020-01-01T00:54:03,48.50007,-122.60561,0.0,253.1,511.0,SEAGATE,,,37.0
338117356,2020-01-01T00:57:04,48.50008,-122.60561,0.0,260.0,511.0,SEAGATE,,,37.0
316015859,2020-01-01T00:57:42,48.85556,-123.4986,0.1,174.0,511.0,SEAGATE,,CFK9760,37.0
338117356,2020-01-01T01:00:04,48.50008,-122.60559,0.0,276.8,511.0,SEAGATE,,,37.0
338117356,2020-01-01T01:03:03,48.50006,-122.60559,0.0,280.7,511.0,SEAGATE,,,37.0
316015859,2020-01-01T01:03:40,48.85556,-123.49861,0.2,159.2,511.0,SEAGATE,,CFK9760,37.0
338117356,2020-01-01T01:06:02,48.50004,-122.6056,0.0,244.5,511.0,SEAGATE,,,37.0
338117356,2020-01-01T01:09:03,48.50006,-122.60558,0.0,246.1,511.0,SEAGATE,,,37.0
338117356,2020-01-01T01:12:04,48.50004,-122.60561,0.0,239.9,511.0,SEAGATE,,,37.0
338117356,2020-01-01T01:15:05,48.50008,-122.60557,0.0,231.3,511.0,SEAGATE,,,37.0
316015859,2020-01-01T01:15:40,48.85558,-123.49861,0.1,163.2,511.0,SEAGATE,,CFK9760,37.0
338117356,2020-01-01T01:18:03,48.50004,-122.60562,0.0,229.1,511.0,SEAGATE,,,37.0
338117356,2020-01-01T01:21:03,48.50006,-122.60563,0.0,220.0,511.0,SEAGATE,,,37.0
338117356,2020-01-01T01:24:04,48.50007,-122.60559,0.0,211.7,511.0,SEAGATE,,,37.0
338117356,2020-01-01T01:27:03,48.50009,-122.60558,0.0,217.3,511.0,SEAGATE,,,37.0
316015859,2020-01-01T01:27:40,48.85557,-123.4986,0.1,159.3,511.0,SEAGATE,,CFK9760,37.0
338117356,2020-01-01T01:30:02,48.50009,-122.6056,0.0,217.0,511.0,SEAGATE,,,37.0
338117356,2020-01-01T01:33:04,48.50009,-122.60556,0.0,212.4,511.0,SEAGATE,,,37.0
