MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType
338094155,2020-01-01T15:51:44,48.03865,-122.40104,4.2,54.9,511.0,SENOR BLUES,,,37.0
338094155,2020-01-01T16:09:45,48.02313,-122.36504,8.2,163.8,511.0,SENOR BLUES,,,37.0
338094155,2020-01-01T16:16:45,48.00728,-122.35811,8.5,163.0,511.0,SENOR BLUES,,,37.0
338094155,2020-01-01T16:28:14,47.98014,-122.34345,9.3,157.4,511.0,SENOR BLUES,,,37.0
338094155,2020-01-01T16:30:15,47.97528,-122.34064,9.3,167.1,511.0,SENOR BLUES,,,37.0
338094155,2020-01-01T16:32:44,47.96895,-122.34103,9.4,192.2,511.0,SENOR BLUES,,,37.0
338094155,2020-01-01T16:37:16,47.95719,-122.34385,9.6,188.2,511.0,SENOR BLUES,,,37.0
338094155,2020-01-01T16:40:14,47.94954,-122.34569,9.3,188.3,511.0,SENOR BLUES,,,37.0
338094155,2020-01-01T16:41:15,47.94694,-122.34639,9.3,190.4,511.0,SENOR BLUES,,,37.0
338094155,2020-01-01T16:42:46,47.94305,-122.34748,9.5,190.2,511.0,SENOR BLUES,,,37.0
338094155,2020-01-01T16:45:14,47.93663,-122.34932,9.5,190.3,511.0,SENOR BLUES,,,37.0
338094155,2020-01-01T16:47:14,47.9314,-122.35081,9.6,190.0,511.0,SENOR BLUES,,,37.0
338094155,2020-01-01T16:48:44,47.92747,-122.35205,9.7,193.2,511.0,SENOR BLUES,,,37.0
338094155,2020-01-01T16:49:45,47.92484,-122.35293,9.7,191.6,511.0,SENOR BLUES,,,37.0
338094155,2020-01-01T16:51:16,47.92081,-122.35435,9.7,196.8,511.0,SENOR BLUES,,,37.0
338094155,2020-01-01T16:54:16,47.91313,-122.35807,9.6,199.0,511.0,SENOR BLUES,,,37.0
338094155,2020-01-01T16:57:17,47.9054,-122.36177,9.6,196.9,511.0,SENOR BLUES,,,37.0
338094155,2020-01-01T16:59:46,47.89903,-122.36436,9.6,194.5,511.0,SENOR BLUES,,,37.0
338094155,2020-01-01T17:00:15,47.89779,-122.3648,9.4,193.8,511.0,SENOR BLUES,,,37.0
338094155,2020-01-01T17:01:46,47.89399,-122.36628,9.4,192.6,511.0,SENOR BLUES,,,37.0
338094155,2020-01-01T17:03:45,47.88893,-122.368,9.1,193.8,511.0,SENOR BLUES,,,37.0
338094155,2020-01-01T17:05:15,47.88523,-122.36947,9.5,196.6,511.0,SENOR BLUES,,,37.0
338094155,2020-01-01T17:06:44,47.88162,-122.37097,9.2,195.9,511.0,SENOR BLUES,,,37.0
338094155,2020-01-01T17:08:14,47.87849,-122.3724,7.4,194.8,511.0,SENOR BLUES,,,37.0
338094155,2020-01-01T17:09:45,47.87551,-122.37391,7.8,202.0,511.0,SENOR BLUES,,,37.0
338094155,2020-01-01T17:11:16,47.87244,-122.37539,7.5,200.6,511.0,SENOR BLUES,,,37.0
338094155,2020-01-01T17:12:44,47.86948,-122.37679,7.5,197.6,511.0,SENOR BLUES,,,37.0
338094155,2020-01-01T17:13:46,47.86738,-122.37772,7.5,196.9,511.0,SENOR BLUES,,,37.0
338094155,2020-01-01T17:15:14,47.8644,-122.37908,7.6,199.0,511.0,SENOR BLUES,,,37.0
338094155,2020-01-01T17:16:16,47.8623,-122.38011,7.6,196.8,511.0,SENOR BLUES,,,37.0
338094155,2020-01-01T17:17:45,47.85928,-122.38147,7.7,196.6,511.0,SENOR BLUES,,,37.0
338094155,2020-01-01T17:18:47,47.85718,-122.38243,7.8,198.4,511.0,SENOR BLUES,,,37.0
338094155,2020-01-01T17:21:15,47.8521,-122.38468,7.9,195.2,511.0,SENOR BLUES,,,37.0
338094155,2020-01-01T17:22:17,47.84999,-122.38568,7.7,198.9,511.0,SENOR BLUES,,,37.0
338094155,2020-01-01T17:23:45,47.84694,-122.38721,7.8,196.7,511.0,SENOR BLUES,,,37.0
338094155,2020-01-01T17:24:46,47.84483,-122.38812,7.9,197.8,511.0,SENOR BLUES,,,37.0
338094155,2020-01-01T17:27:14,47.8401,-122.39172,7.7,207.0,511.0,SENOR BLUES,,,37.0
338094155,2020-01-01T17:28:45,47.837,-122.39308,7.8,193.8,511.0,SENOR BLUES,,,37.0
338094155,2020-01-01T17:30:14,47.83399,-122.39444,7.7,188.4,511.0,SENOR BLUES,,,37.0
338094155,2020-01-01T17:31:16,47.8318,-122.39497,7.4,190.2,511.0,SENOR BLUES,,,37.0
338094155,2020-01-01T17:32:47,47.82862,-122.39573,7.9,189.8,511.0,SENOR BLUES,,,37.0
338094155,2020-01-01T17:34:15,47.82551,-122.39652,7.8,191.1,511.0,SENOR BLUES,,,37.0
338094155,2020-01-01T17:35:16,47.82332,-122.39704,7.7,188.8,511.0,SENOR BLUES,,,37.0
338094155,2020-01-01T17:36:45,47.82021,-122.39777,7.8,190.7,511.0,SENOR BLUES,,,37.0
338094155,2020-01-01T17:38:16,47.81885,-122.39491,7.2,96.6,511.0,SENOR BLUES,,,37.0
338094155,2020-01-01T17:39:45,47.81783,-122.39093,7.0,161.2,511.0,SENOR BLUES,,,37.0
338094155,2020-01-01T17:40:46,47.81579,-122.39169,7.7,197.7,511.0,SENOR BLUES,,,37.0
338094155,2020-01-01T17:42:14,47.81281,-122.39337,7.5,210.6,511.0,SENOR BLUES,,,37.0
338094155,2020-01-01T17:43:45,47.8101,-122.39564,7.3,208.1,511.0,SENOR BLUES,,,37.0
338094155,2020-01-01T17:46:44,47.80458,-122.39936,7.2,200.5,511.0,SENOR BLUES,,,37.0
338094155,2020-01-01T17:48:46,47.80077,-122.40145,7.2,206.3,511.0,SENOR BLUES,,,37.0
338094155,2020-01-01T17:50:44,47.79725,-122.40389,7.1,196.7,511.0,SENOR BLUES,,,37.0
338094155,2020-01-01T17:52:15,47.79439,-122.40508,7.0,194.1,511.0,SENOR BLUES,,,37.0
338094155,2020-01-01T17:53:17,47.79238,-122.406,7.1,198.2,511.0,SENOR BLUES,,,37.0
338094155,2020-01-01T17:56:44,47.78577,-122.40884,7.2,194.4,511.0,SENOR BLUES,,,37.0
338094155,2020-01-01T17:59:14,47.78102,-122.41077,7.1,193.5,511.0,SENOR BLUES,,,37.0
338094155,2020-01-01T18:00:17,47.77903,-122.41149,7.0,191.1,511.0,SENOR BLUES,,,37.0
338094155,2020-01-01T18:01:44,47.7762,-122.41259,7.2,192.5,511.0,SENOR BLUES,,,37.0
338094155,2020-01-01T18:03:15,47.77325,-122.41364,7.1,191.9,511.0,SENOR BLUES,,,37.0
338094155,2020-01-01T18:04:16,47.77125,-122.41432,7.1,192.2,511.0,SENOR BLUES,,,37.0
338094155,2020-01-01T18:05:46,47.76833,-122.41536,7.3,193.3,511.0,SENOR BLUES,,,37.0
338094155,2020-01-01T18:07:14,47.76545,-122.41643,7.2,192.3,511.0,SENOR BLUES,,,37.0
338094155,2020-01-01T18:08:45,47.76249,-122.41755,7.2,194.3,511.0,SENOR BLUES,,,37.0
338094155,2020-01-01T18:10:14,47.75963,-122.41852,7.4,194.0,511.0,SENOR BLUES,,,37.0
338094155,2020-01-01T18:11:44,47.75671,-122.41945,7.1,191.8,511.0,SENOR BLUES,,,37.0
338094155,2020-01-01T18:13:14,47.75379,-122.42035,7.0,192.0,511.0,SENOR BLUES,,,37.0
338094155,2020-01-01T18:14:45,47.75085,-122.42124,7.1,193.0,511.0,SENOR BLUES,,,37.0
338094155,2020-01-01T18:16:14,47.74794,-122.42212,7.2,191.7,511.0,SENOR BLUES,,,37.0
338094155,2020-01-01T18:17:15,47.746,-122.42269,6.9,190.2,511.0,SENOR BLUES,,,37.0
338094155,2020-01-01T18:18:46,47.74299,-122.42357,7.2,190.8,511.0,SENOR BLUES,,,37.0
338094155,2020-01-01T18:20:17,47.74001,-122.42447,7.0,191.4,511.0,SENOR BLUES,,,37.0
338094155,2020-01-01T18:21:44,47.73722,-122.42529,6.7,190.0,511.0,SENOR BLUES,,,37.0
338094155,2020-01-01T18:22:46,47.7352,-122.42581,7.4,190.5,511.0,SENOR BLUES,,,37.0
338094155,2020-01-01T18:24:45,47.73129,-122.42691,6.6,187.8,511.0,SENOR BLUES,,,37.0
338094155,2020-01-01T18:26:14,47.7283,-122.42763,7.1,190.9,511.0,SENOR BLUES,,,37.0
338094155,2020-01-01T18:27:44,47.72528,-122.42847,7.1,185.3,511.0,SENOR BLUES,,,37.0
338094155,2020-01-01T18:28:46,47.7232,-122.42904,7.1,194.3,511.0,SENOR BLUES,,,37.0
338094155,2020-01-01T18:30:14,47.7203,-122.42992,6.5,189.4,511.0,SENOR BLUES,,,37.0
338094155,2020-01-01T18:32:48,47.71522,-122.43133,7.1,191.9,511.0,SENOR BLUES,,,37.0
338094155,2020-01-01T18:34:15,47.71232,-122.43217,7.1,190.8,511.0,SENOR BLUES,,,37.0
338094155,2020-01-01T18:35:17,47.71026,-122.4328,7.2,191.4,511.0,SENOR BLUES,,,37.0
338094155,2020-01-01T18:37:44,47.70562,-122.43547,7.2,215.0,511.0,SENOR BLUES,,,37.0
338094155,2020-01-01T18:40:44,47.70055,-122.44068,7.3,214.3,511.0,SENOR BLUES,,,37.0
338094155,2020-01-01T18:42:14,47.69797,-122.44328,7.4,215.9,511.0,SENOR BLUES,,,37.0
338094155,2020-01-01T18:43:15,47.69629,-122.44508,7.5,214.7,511.0,SENOR BLUES,,,37.0
