MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType
366970070,2020-01-01T00:00:14,29.97182,-90.02395,0.0,228.1,511.0,SHANE C,,WDH7358,31.0
366970070,2020-01-01T00:01:22,29.97182,-90.02394,0.0,226.5,511.0,SHANE C,,WDH7358,31.0
366970070,2020-01-01T00:02:34,29.97181,-90.02394,0.0,227.1,511.0,SHANE C,,WDH7358,31.0
366970070,2020-01-01T00:03:52,29.97182,-90.02391,0.0,227.0,511.0,SHANE C,,WDH7358,31.0
366970070,2020-01-01T00:05:02,29.97181,-90.02394,0.0,228.1,511.0,SHANE C,,WDH7358,31.0
366970070,2020-01-01T00:06:12,29.97181,-90.02393,0.0,229.4,511.0,SHANE C,,WDH7358,31.0
366970070,2020-01-01T00:07:22,29.97181,-90.02394,0.0,229.5,511.0,SHANE C,,WDH7358,31.0
366970070,2020-01-01T00:08:23,29.97182,-90.02392,0.0,230.7,511.0,SHANE C,,WDH7358,31.0
366970070,2020-01-01T00:09:42,29.97182,-90.02392,0.0,231.2,511.0,SHANE C,,WDH7358,31.0
366970070,2020-01-01T00:10:53,29.97181,-90.02393,0.0,233.5,511.0,SHANE C,,WDH7358,31.0
366970070,2020-01-01T00:12:03,29.97182,-90.02392,0.0,233.8,511.0,SHANE C,,WDH7358,31.0
366970070,2020-01-01T00:13:42,29.97181,-90.02393,0.0,233.3,511.0,SHANE C,,WDH7358,31.0
366970070,2020-01-01T00:15:03,29.97181,-90.02393,0.0,234.8,511.0,SHANE C,,WDH7358,31.0
366970070,2020-01-01T00:16:13,29.9718,-90.02395,0.0,235.5,511.0,SHANE C,,WDH7358,31.0
366970070,2020-01-01T00:17:52,29.97181,-90.02393,0.0,227.4,511.0,SHANE C,,WDH7358,31.0
366970070,2020-01-01T00:19:03,29.97181,-90.02392,0.0,222.0,511.0,SHANE C,,WDH7358,31.0
366970070,2020-01-01T00:21:03,29.97183,-90.02394,0.0,215.7,511.0,SHANE C,,WDH7358,31.0
366970070,2020-01-01T00:23:03,29.9718,-90.0239,0.0,211.6,511.0,SHANE C,,WDH7358,31.0
366970070,2020-01-01T00:24:12,29.97181,-90.02392,0.0,213.9,511.0,SHANE C,,WDH7358,31.0
366970070,2020-01-01T00:26:23,29.97182,-90.02395,0.0,216.1,511.0,SHANE C,,WDH7358,31.0
366970070,2020-01-01T00:28:43,29.97182,-90.02393,0.0,216.9,511.0,SHANE C,,WDH7358,31.0
366970070,2020-01-01T00:29:52,29.97183,-90.02395,0.0,225.3,511.0,SHANE C,,WDH7358,31.0
366970070,2020-01-01T00:31:43,29.97182,-90.02396,0.0,231.1,511.0,SHANE C,,WDH7358,31.0
366970070,2020-01-01T00:33:22,29.97182,-90.02395,0.0,228.2,511.0,SHANE C,,WDH7358,31.0
366970070,2020-01-01T00:35:22,29.97183,-90.02397,0.0,235.9,511.0,SHANE C,,WDH7358,31.0
366970070,2020-01-01T00:36:33,29.97183,-90.02397,0.0,240.7,511.0,SHANE C,,WDH7358,31.0
