MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType
304413000,2020-01-01T00:22:17,24.52673,-89.79285,11.8,116.1,113.0,SIGMAGAS,IMO9183568,V2MQ,80.0
304413000,2020-01-01T01:33:47,24.43412,-89.55533,11.9,112.3,110.0,SIGMAGAS,IMO9183568,V2MQ,80.0
304413000,2020-01-01T05:30:08,24.07638,-88.7716,12.4,122.8,120.0,SIGMAGAS,IMO9183568,V2MQ,80.0
304413000,2020-01-01T05:45:07,24.04918,-88.72343,12.4,120.3,118.0,SIGMAGAS,IMO9183568,V2MQ,80.0
304413000,2020-01-01T05:53:47,24.03362,-88.69523,12.5,121.0,119.0,SIGMAGAS,IMO9183568,V2MQ,80.0
304413000,2020-01-01T06:11:57,24.00012,-88.63727,12.4,121.4,123.0,SIGMAGAS,IMO9183568,V2MQ,80.0
304413000,2020-01-01T06:27:18,23.9714,-88.58812,12.5,124.2,123.0,SIGMAGAS,IMO9183568,V2MQ,80.0
304413000,2020-01-01T06:29:27,23.96735,-88.58123,12.5,125.0,123.0,SIGMAGAS,IMO9183568,V2MQ,80.0
304413000,2020-01-01T06:30:37,23.9652,-88.57748,12.5,121.0,122.0,SIGMAGAS,IMO9183568,V2MQ,80.0
304413000,2020-01-01T06:31:48,23.96292,-88.57368,12.5,123.4,121.0,SIGMAGAS,IMO9183568,V2MQ,80.0
304413000,2020-01-01T06:34:47,23.95738,-88.5641,12.5,121.8,122.0,SIGMAGAS,IMO9183568,V2MQ,80.0
304413000,2020-01-01T06:36:37,23.95397,-88.55822,12.5,122.6,121.0,SIGMAGAS,IMO9183568,V2MQ,80.0
304413000,2020-01-01T06:40:19,23.9471,-88.54638,12.5,123.5,122.0,SIGMAGAS,IMO9183568,V2MQ,80.0
304413000,2020-01-01T06:41:28,23.94497,-88.54267,12.5,120.6,121.0,SIGMAGAS,IMO9183568,V2MQ,80.0
304413000,2020-01-01T06:45:17,23.93778,-88.53037,12.5,124.0,122.0,SIGMAGAS,IMO9183568,V2MQ,80.0
304413000,2020-01-01T06:48:17,23.93227,-88.52067,12.5,121.1,122.0,SIGMAGAS,IMO9183568,V2MQ,80.0
304413000,2020-01-01T06:49:27,23.9301,-88.51692,12.5,122.1,121.0,SIGMAGAS,IMO9183568,V2MQ,80.0
304413000,2020-01-01T06:50:38,23.92793,-88.51315,12.5,122.5,122.0,SIGMAGAS,IMO9183568,V2MQ,80.0
304413000,2020-01-01T06:53:38,23.92235,-88.50352,12.5,122.6,123.0,SIGMAGAS,IMO9183568,V2MQ,80.0
304413000,2020-01-01T07:00:29,23.90967,-88.48162,12.5,121.9,122.0,SIGMAGAS,IMO9183568,V2MQ,80.0
304413000,2020-01-01T07:03:29,23.90403,-88.47173,12.9,122.2,123.0,SIGMAGAS,IMO9183568,V2MQ,80.0
304413000,2020-01-01T07:04:48,23.90147,-88.46727,12.9,121.2,122.0,SIGMAGAS,IMO9183568,V2MQ,80.0
304413000,2020-01-01T07:06:38,23.89802,-88.46123,12.9,121.4,123.0,SIGMAGAS,IMO9183568,V2MQ,80.0
304413000,2020-01-01T07:09:38,23.89242,-88.4515,12.0,122.1,121.0,SIGMAGAS,IMO9183568,V2MQ,80.0
304413000,2020-01-01T07:10:48,23.89042,-88.44793,12.0,123.0,123.0,SIGMAGAS,IMO9183568,V2MQ,80.0
304413000,2020-01-01T07:12:28,23.88748,-88.4427,12.0,121.0,123.0,SIGMAGAS,IMO9183568,V2MQ,80.0
304413000,2020-01-01T07:17:58,23.87785,-88.42582,11.9,121.8,123.0,SIGMAGAS,IMO9183568,V2MQ,80.0
304413000,2020-01-01T07:20:27,23.87348,-88.41823,11.9,122.0,124.0,SIGMAGAS,IMO9183568,V2MQ,80.0
304413000,2020-01-01T07:21:48,23.87108,-88.41402,11.9,120.4,122.0,SIGMAGAS,IMO9183568,V2MQ,80.0
304413000,2020-01-01T07:22:58,23.86908,-88.4105,11.9,122.8,121.0,SIGMAGAS,IMO9183568,V2MQ,80.0
304413000,2020-01-01T07:24:48,23.86587,-88.40482,11.9,123.1,123.0,SIGMAGAS,IMO9183568,V2MQ,80.0
304413000,2020-01-01T07:26:08,23.8636,-88.40078,11.8,120.8,122.0,SIGMAGAS,IMO9183568,V2MQ,80.0
304413000,2020-01-01T07:27:38,23.8609,-88.39617,11.8,120.6,121.0,SIGMAGAS,IMO9183568,V2MQ,80.0
304413000,2020-01-01T07:29:08,23.8583,-88.39165,11.9,123.5,121.0,SIGMAGAS,IMO9183568,V2MQ,80.0
304413000,2020-01-01T07:30:38,23.85558,-88.38702,11.9,124.4,123.0,SIGMAGAS,IMO9183568,V2MQ,80.0
