MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType
367299170,2020-01-01T00:00:12,27.81876,-97.19756,7.7,258.9,270.0,SIGNET COLUMBIA,,WDD8515,31.0
367299170,2020-01-01T00:01:23,27.81824,-97.20035,7.7,257.0,266.0,SIGNET COLUMBIA,,WDD8515,31.0
367299170,2020-01-01T00:02:33,27.81771,-97.2031,7.7,258.1,266.0,SIGNET COLUMBIA,,WDD8515,31.0
367299170,2020-01-01T00:03:41,27.81711,-97.20577,7.7,256.2,266.0,SIGNET COLUMBIA,,WDD8515,31.0
367299170,2020-01-01T00:04:42,27.81658,-97.20812,7.7,255.6,264.0,SIGNET COLUMBIA,,WDD8515,31.0
367299170,2020-01-01T00:05:52,27.81608,-97.21084,7.6,257.8,269.0,SIGNET COLUMBIA,,WDD8515,31.0
367299170,2020-01-01T00:07:02,27.81567,-97.21363,7.6,265.7,277.0,SIGNET COLUMBIA,,WDD8515,31.0
367299170,2020-01-01T00:08:12,27.81616,-97.21631,7.7,287.7,298.0,SIGNET COLUMBIA,,WDD8515,31.0
367299170,2020-01-01T00:09:32,27.81721,-97.21934,7.7,295.0,305.0,SIGNET COLUMBIA,,WDD8515,31.0
367299170,2020-01-01T00:10:42,27.81856,-97.22171,7.7,307.5,318.0,SIGNET COLUMBIA,,WDD8515,31.0
367299170,2020-01-01T00:12:02,27.82071,-97.22381,7.7,326.7,337.0,SIGNET COLUMBIA,,WDD8515,31.0
367299170,2020-01-01T00:13:12,27.82291,-97.22513,7.7,334.4,344.0,SIGNET COLUMBIA,,WDD8515,31.0
367299170,2020-01-01T00:14:22,27.8252,-97.22621,7.7,337.3,344.0,SIGNET COLUMBIA,,WDD8515,31.0
367299170,2020-01-01T00:15:41,27.82778,-97.22742,7.6,336.2,346.0,SIGNET COLUMBIA,,WDD8515,31.0
367299170,2020-01-01T00:16:42,27.82975,-97.22837,7.6,336.2,346.0,SIGNET COLUMBIA,,WDD8515,31.0
367299170,2020-01-01T00:18:45,27.83373,-97.23024,7.6,333.6,342.0,SIGNET COLUMBIA,,WDD8515,31.0
367299170,2020-01-01T00:19:51,27.83584,-97.23128,7.6,336.0,344.0,SIGNET COLUMBIA,,WDD8515,31.0
367299170,2020-01-01T00:21:02,27.83809,-97.23253,7.6,333.9,345.0,SIGNET COLUMBIA,,WDD8515,31.0
367299170,2020-01-01T00:22:29,27.84059,-97.23378,4.7,345.1,20.0,SIGNET COLUMBIA,,WDD8515,31.0
367299170,2020-01-01T00:23:31,27.84146,-97.23281,4.8,50.3,61.0,SIGNET COLUMBIA,,WDD8515,31.0
367299170,2020-01-01T00:24:41,27.84264,-97.23112,6.4,51.6,60.0,SIGNET COLUMBIA,,WDD8515,31.0
367299170,2020-01-01T00:26:51,27.84502,-97.22774,5.1,54.1,64.0,SIGNET COLUMBIA,,WDD8515,31.0
367299170,2020-01-01T00:28:51,27.84568,-97.22615,0.7,147.2,186.0,SIGNET COLUMBIA,,WDD8515,31.0
367299170,2020-01-01T00:29:55,27.84558,-97.22613,0.1,146.2,238.0,SIGNET COLUMBIA,,WDD8515,31.0
367299170,2020-01-01T00:31:03,27.84558,-97.22613,0.1,57.4,238.0,SIGNET COLUMBIA,,WDD8515,31.0
367299170,2020-01-01T00:32:13,27.84558,-97.22614,0.0,42.2,238.0,SIGNET COLUMBIA,,WDD8515,31.0
