MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType
367671130,2020-01-01T00:00:46,26.34288,-80.07725,0.0,322.5,511.0,SOUTHERN STARX,,WDH9739,37.0
367671130,2020-01-01T00:14:16,26.34284,-80.07721,0.5,122.3,511.0,SOUTHERN STARX,,WDH9739,37.0
367671130,2020-01-01T00:18:46,26.3429,-80.07719,0.2,9.0,511.0,SOUTHERN STARX,,WDH9739,37.0
367671130,2020-01-01T00:20:44,26.34286,-80.07724,0.7,344.6,511.0,SOUTHERN STARX,,WDH9739,37.0
367671130,2020-01-01T00:27:45,26.34291,-80.07726,0.7,269.0,511.0,SOUTHERN STARX,,WDH9739,37.0
367671130,2020-01-01T00:29:16,26.34289,-80.0773,0.8,265.8,511.0,SOUTHERN STARX,,WDH9739,37.0
367671130,2020-01-01T00:33:15,26.3429,-80.07725,0.7,26.6,511.0,SOUTHERN STARX,,WDH9739,37.0
367671130,2020-01-01T00:34:46,26.34287,-80.07729,0.3,214.9,511.0,SOUTHERN STARX,,WDH9739,37.0
367671130,2020-01-01T00:43:49,26.34284,-80.07725,0.7,114.8,511.0,SOUTHERN STARX,,WDH9739,37.0
367671130,2020-01-01T00:45:15,26.34282,-80.07719,0.4,330.7,511.0,SOUTHERN STARX,,WDH9739,37.0
367671130,2020-01-01T00:51:45,26.34288,-80.07725,1.3,131.2,511.0,SOUTHERN STARX,,WDH9739,37.0
367671130,2020-01-01T00:54:47,26.34287,-80.07722,0.7,243.6,511.0,SOUTHERN STARX,,WDH9739,37.0
367671130,2020-01-01T00:58:15,26.34287,-80.07724,0.8,339.3,511.0,SOUTHERN STARX,,WDH9739,37.0
367671130,2020-01-01T01:00:45,26.34288,-80.07716,0.6,61.0,511.0,SOUTHERN STARX,,WDH9739,37.0
367671130,2020-01-01T01:02:17,26.34289,-80.07724,0.4,3.0,511.0,SOUTHERN STARX,,WDH9739,37.0
367671130,2020-01-01T01:06:15,26.34287,-80.07724,1.5,343.9,511.0,SOUTHERN STARX,,WDH9739,37.0
367671130,2020-01-01T01:07:46,26.34289,-80.07727,0.7,355.8,511.0,SOUTHERN STARX,,WDH9739,37.0
367671130,2020-01-01T01:09:46,26.34289,-80.07717,0.9,20.3,511.0,SOUTHERN STARX,,WDH9739,37.0
367671130,2020-01-01T01:12:45,26.34296,-80.07732,1.3,108.9,511.0,SOUTHERN STARX,,WDH9739,37.0
