MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType
316001269,2020-01-01T00:00:04,48.90345,-123.26284,17.9,41.9,43.0,SPIRIT OF V I,IMO9030682,CFL2070,60.0
316001269,2020-01-01T00:01:09,48.90756,-123.25736,17.8,40.9,43.0,SPIRIT OF V I,IMO9030682,CFL2070,60.0
316001269,2020-01-01T00:02:15,48.91162,-123.2519,17.7,41.7,43.0,SPIRIT OF V I,IMO9030682,CFL2070,60.0
316001269,2020-01-01T00:03:27,48.91604,-123.24599,17.7,41.6,44.0,SPIRIT OF V I,IMO9030682,CFL2070,60.0
316001269,2020-01-01T00:04:33,48.91999,-123.24039,17.6,43.6,45.0,SPIRIT OF V I,IMO9030682,CFL2070,60.0
316001269,2020-01-01T00:05:40,48.92392,-123.23476,17.6,42.9,45.0,SPIRIT OF V I,IMO9030682,CFL2070,60.0
316001269,2020-01-01T00:06:45,48.9278,-123.22907,17.6,44.6,45.0,SPIRIT OF V I,IMO9030682,CFL2070,60.0
316001269,2020-01-01T00:07:51,48.93171,-123.22344,17.6,43.0,45.0,SPIRIT OF V I,IMO9030682,CFL2070,60.0
316001269,2020-01-01T00:09:09,48.93634,-123.21672,17.7,43.7,45.0,SPIRIT OF V I,IMO9030682,CFL2070,60.0
316001269,2020-01-01T00:10:10,48.93993,-123.21159,17.8,43.2,45.0,SPIRIT OF V I,IMO9030682,CFL2070,60.0
316001269,2020-01-01T00:11:15,48.94393,-123.20593,18.0,43.0,45.0,SPIRIT OF V I,IMO9030682,CFL2070,60.0
316001269,2020-01-01T00:12:21,48.94797,-123.20026,18.0,42.4,46.0,SPIRIT OF V I,IMO9030682,CFL2070,60.0
316001269,2020-01-01T00:13:27,48.95187,-123.1947,18.0,42.6,45.0,SPIRIT OF V I,IMO9030682,CFL2070,60.0
316001269,2020-01-01T00:14:33,48.95619,-123.18911,18.0,39.3,42.0,SPIRIT OF V I,IMO9030682,CFL2070,60.0
316001269,2020-01-01T00:15:39,48.96046,-123.18387,17.9,38.3,42.0,SPIRIT OF V I,IMO9030682,CFL2070,60.0
316001269,2020-01-01T00:17:15,48.96661,-123.17621,18.0,39.2,42.0,SPIRIT OF V I,IMO9030682,CFL2070,60.0
316001269,2020-01-01T00:18:45,48.9724,-123.16905,17.9,39.2,42.0,SPIRIT OF V I,IMO9030682,CFL2070,60.0
316001269,2020-01-01T00:19:52,48.97672,-123.16387,17.9,37.6,41.0,SPIRIT OF V I,IMO9030682,CFL2070,60.0
316001269,2020-01-01T00:21:45,48.98421,-123.15507,17.8,36.7,40.0,SPIRIT OF V I,IMO9030682,CFL2070,60.0
316001269,2020-01-01T00:23:09,48.98989,-123.14897,17.9,35.0,38.0,SPIRIT OF V I,IMO9030682,CFL2070,60.0
316001269,2020-01-01T00:25:09,48.99748,-123.14125,15.4,32.0,35.0,SPIRIT OF V I,IMO9030682,CFL2070,60.0
316001269,2020-01-01T00:26:33,49.0015,-123.13772,9.3,25.8,30.0,SPIRIT OF V I,IMO9030682,CFL2070,60.0
316001269,2020-01-01T00:27:39,49.00362,-123.13624,6.1,23.9,35.0,SPIRIT OF V I,IMO9030682,CFL2070,60.0
