MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType
368073740,2020-01-01T18:33:32,32.67968,-117.17458,0.0,360.0,511.0,SUMMER PAINTER,IMO0000000,WDK6354,36.0
368073740,2020-01-01T18:36:32,32.67967,-117.17458,0.0,360.0,511.0,SUMMER PAINTER,IMO0000000,WDK6354,36.0
368073740,2020-01-01T18:39:34,32.67967,-117.17458,0.0,360.0,511.0,SUMMER PAINTER,IMO0000000,WDK6354,36.0
368073740,2020-01-01T18:42:30,32.67967,-117.17458,0.0,360.0,511.0,SUMMER PAINTER,IMO0000000,WDK6354,36.0
368073740,2020-01-01T18:45:31,32.67967,-117.17457,0.0,360.0,511.0,SUMMER PAINTER,IMO0000000,WDK6354,36.0
368073740,2020-01-01T18:48:30,32.6797,-117.17456,0.5,37.2,511.0,SUMMER PAINTER,IMO0000000,WDK6354,36.0
368073740,2020-01-01T18:51:34,32.67942,-117.17367,2.3,127.4,511.0,SUMMER PAINTER,IMO0000000,WDK6354,36.0
368073740,2020-01-01T18:54:33,32.67878,-117.17291,0.6,214.8,511.0,SUMMER PAINTER,IMO0000000,WDK6354,36.0
368073740,2020-01-01T18:55:35,32.67862,-117.1731,0.6,204.7,511.0,SUMMER PAINTER,IMO0000000,WDK6354,36.0
368073740,2020-01-01T18:58:34,32.67878,-117.17303,0.0,360.0,511.0,SUMMER PAINTER,IMO0000000,WDK6354,36.0
368073740,2020-01-01T19:01:31,32.67877,-117.17303,0.0,360.0,511.0,SUMMER PAINTER,IMO0000000,WDK6354,36.0
368073740,2020-01-01T19:04:34,32.67878,-117.17303,0.0,360.0,511.0,SUMMER PAINTER,IMO0000000,WDK6354,36.0
368073740,2020-01-01T19:10:30,32.67872,-117.17257,2.0,124.6,511.0,SUMMER PAINTER,IMO0000000,WDK6354,36.0
368073740,2020-01-01T19:12:02,32.67817,-117.17173,2.1,125.0,511.0,SUMMER PAINTER,IMO0000000,WDK6354,36.0
368073740,2020-01-01T19:13:31,32.67762,-117.17072,3.4,123.8,511.0,SUMMER PAINTER,IMO0000000,WDK6354,36.0
368073740,2020-01-01T19:14:58,32.67691,-117.16913,3.8,110.9,511.0,SUMMER PAINTER,IMO0000000,WDK6354,36.0
368073740,2020-01-01T19:16:58,32.67672,-117.16655,4.0,68.3,511.0,SUMMER PAINTER,IMO0000000,WDK6354,36.0
368073740,2020-01-01T19:18:29,32.67744,-117.16535,2.7,48.9,511.0,SUMMER PAINTER,IMO0000000,WDK6354,36.0
368073740,2020-01-01T19:19:57,32.6782,-117.16415,3.5,53.2,511.0,SUMMER PAINTER,IMO0000000,WDK6354,36.0
368073740,2020-01-01T19:20:58,32.67884,-117.16328,3.5,45.8,511.0,SUMMER PAINTER,IMO0000000,WDK6354,36.0
368073740,2020-01-01T19:22:28,32.67987,-117.16201,3.4,48.1,511.0,SUMMER PAINTER,IMO0000000,WDK6354,36.0
368073740,2020-01-01T19:23:57,32.68106,-117.16094,3.2,34.4,511.0,SUMMER PAINTER,IMO0000000,WDK6354,36.0
368073740,2020-01-01T19:24:58,32.68167,-117.16036,2.4,45.1,511.0,SUMMER PAINTER,IMO0000000,WDK6354,36.0
368073740,2020-01-01T19:26:27,32.68236,-117.15959,2.1,47.1,511.0,SUMMER PAINTER,IMO0000000,WDK6354,36.0
368073740,2020-01-01T19:27:30,32.6828,-117.15903,2.0,48.7,511.0,SUMMER PAINTER,IMO0000000,WDK6354,36.0
368073740,2020-01-01T19:29:30,32.68385,-117.15834,4.0,42.7,511.0,SUMMER PAINTER,IMO0000000,WDK6354,36.0
368073740,2020-01-01T19:31:27,32.68556,-117.15658,4.2,41.3,511.0,SUMMER PAINTER,IMO0000000,WDK6354,36.0
368073740,2020-01-01T19:33:27,32.68697,-117.15441,4.1,55.0,511.0,SUMMER PAINTER,IMO0000000,WDK6354,36.0
368073740,2020-01-01T19:35:27,32.68879,-117.15435,4.0,314.5,511.0,SUMMER PAINTER,IMO0000000,WDK6354,36.0
368073740,2020-01-01T19:36:59,32.68996,-117.15563,4.0,314.4,511.0,SUMMER PAINTER,IMO0000000,WDK6354,36.0
368073740,2020-01-01T19:38:26,32.69128,-117.15682,4.1,325.8,511.0,SUMMER PAINTER,IMO0000000,WDK6354,36.0
368073740,2020-01-01T19:40:59,32.69366,-117.15901,4.2,319.7,511.0,SUMMER PAINTER,IMO0000000,WDK6354,36.0
368073740,2020-01-01T19:42:59,32.69542,-117.16084,4.2,317.6,511.0,SUMMER PAINTER,IMO0000000,WDK6354,36.0
368073740,2020-01-01T19:44:56,32.69713,-117.16281,4.4,316.8,511.0,SUMMER PAINTER,IMO0000000,WDK6354,36.0
368073740,2020-01-01T19:46:56,32.69887,-117.16477,4.4,314.0,511.0,SUMMER PAINTER,IMO0000000,WDK6354,36.0
368073740,2020-01-01T19:48:56,32.70062,-117.16683,4.3,313.1,511.0,SUMMER PAINTER,IMO0000000,WDK6354,36.0
368073740,2020-01-01T19:50:29,32.70186,-117.16844,4.4,312.5,511.0,SUMMER PAINTER,IMO0000000,WDK6354,36.0
368073740,2020-01-01T19:51:59,32.70318,-117.16997,4.4,309.9,511.0,SUMMER PAINTER,IMO0000000,WDK6354,36.0
368073740,2020-01-01T19:53:29,32.70445,-117.17149,4.3,318.1,511.0,SUMMER PAINTER,IMO0000000,WDK6354,36.0
368073740,2020-01-01T19:57:00,32.7074,-117.17502,3.5,327.3,511.0,SUMMER PAINTER,IMO0000000,WDK6354,36.0
368073740,2020-01-01T19:59:57,32.70933,-117.1779,4.2,300.6,511.0,SUMMER PAINTER,IMO0000000,WDK6354,36.0
368073740,2020-01-01T20:00:28,32.70968,-117.17848,4.2,309.2,511.0,SUMMER PAINTER,IMO0000000,WDK6354,36.0
368073740,2020-01-01T20:01:57,32.71092,-117.18008,4.3,313.6,511.0,SUMMER PAINTER,IMO0000000,WDK6354,36.0
368073740,2020-01-01T20:03:26,32.71225,-117.18155,4.4,321.4,511.0,SUMMER PAINTER,IMO0000000,WDK6354,36.0
368073740,2020-01-01T20:04:59,32.71358,-117.18325,4.5,300.5,511.0,SUMMER PAINTER,IMO0000000,WDK6354,36.0
368073740,2020-01-01T20:06:26,32.71462,-117.185,4.4,310.5,511.0,SUMMER PAINTER,IMO0000000,WDK6354,36.0
368073740,2020-01-01T20:07:59,32.71591,-117.18677,4.5,304.9,511.0,SUMMER PAINTER,IMO0000000,WDK6354,36.0
368073740,2020-01-01T20:09:29,32.71698,-117.18861,4.6,298.9,511.0,SUMMER PAINTER,IMO0000000,WDK6354,36.0
368073740,2020-01-01T20:10:59,32.71789,-117.19059,4.4,296.4,511.0,SUMMER PAINTER,IMO0000000,WDK6354,36.0
368073740,2020-01-01T20:12:29,32.71848,-117.19262,4.3,289.2,511.0,SUMMER PAINTER,IMO0000000,WDK6354,36.0
368073740,2020-01-01T20:14:29,32.71902,-117.19534,4.2,272.3,511.0,SUMMER PAINTER,IMO0000000,WDK6354,36.0
368073740,2020-01-01T20:15:59,32.71932,-117.19745,4.3,278.8,511.0,SUMMER PAINTER,IMO0000000,WDK6354,36.0
368073740,2020-01-01T20:17:59,32.71989,-117.20022,4.4,280.9,511.0,SUMMER PAINTER,IMO0000000,WDK6354,36.0
