MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType
338352571,2020-01-01T12:32:20,29.66883,-81.21564,0.1,125.9,511.0,SV MARGUERITE,IMO0000000,,36.0
338352571,2020-01-01T12:33:50,29.66885,-81.21567,0.1,118.3,511.0,SV MARGUERITE,IMO0000000,,36.0
338352571,2020-01-01T12:37:20,29.66884,-81.21565,0.1,131.9,511.0,SV MARGUERITE,IMO0000000,,36.0
338352571,2020-01-01T12:43:21,29.66884,-81.21567,0.1,130.4,511.0,SV MARGUERITE,IMO0000000,,36.0
338352571,2020-01-01T12:49:21,29.66884,-81.21568,0.0,122.8,511.0,SV MARGUERITE,IMO0000000,,36.0
338352571,2020-01-01T12:51:49,29.66907,-81.21601,2.0,269.2,511.0,SV MARGUERITE,IMO0000000,,36.0
338352571,2020-01-01T12:52:50,29.66892,-81.21672,2.2,247.1,511.0,SV MARGUERITE,IMO0000000,,36.0
338352571,2020-01-01T12:54:19,29.66757,-81.21739,4.5,186.3,511.0,SV MARGUERITE,IMO0000000,,36.0
338352571,2020-01-01T12:57:20,29.66357,-81.21758,5.4,177.5,511.0,SV MARGUERITE,IMO0000000,,36.0
338352571,2020-01-01T13:01:51,29.65621,-81.21787,5.9,180.1,511.0,SV MARGUERITE,IMO0000000,,36.0
338352571,2020-01-01T13:03:19,29.6538,-81.2176,5.6,169.6,511.0,SV MARGUERITE,IMO0000000,,36.0
338352571,2020-01-01T13:05:20,29.65067,-81.21673,5.8,165.9,511.0,SV MARGUERITE,IMO0000000,,36.0
338352571,2020-01-01T13:09:20,29.64457,-81.21467,5.8,158.7,511.0,SV MARGUERITE,IMO0000000,,36.0
338352571,2020-01-01T13:10:50,29.64226,-81.21379,5.8,162.9,511.0,SV MARGUERITE,IMO0000000,,36.0
338352571,2020-01-01T13:12:50,29.63918,-81.21274,5.7,163.4,511.0,SV MARGUERITE,IMO0000000,,36.0
338352571,2020-01-01T13:14:21,29.63681,-81.21218,5.7,169.8,511.0,SV MARGUERITE,IMO0000000,,36.0
338352571,2020-01-01T13:15:49,29.63451,-81.21166,5.8,165.9,511.0,SV MARGUERITE,IMO0000000,,36.0
338352571,2020-01-01T13:18:19,29.6306,-81.21054,5.7,162.6,511.0,SV MARGUERITE,IMO0000000,,36.0
338352571,2020-01-01T13:19:51,29.62813,-81.20998,5.9,167.9,511.0,SV MARGUERITE,IMO0000000,,36.0
338352571,2020-01-01T13:22:49,29.6233,-81.20882,6.0,168.2,511.0,SV MARGUERITE,IMO0000000,,36.0
338352571,2020-01-01T13:23:50,29.62166,-81.20842,6.0,164.0,511.0,SV MARGUERITE,IMO0000000,,36.0
338352571,2020-01-01T13:25:19,29.61923,-81.2075,6.1,157.5,511.0,SV MARGUERITE,IMO0000000,,36.0
338352571,2020-01-01T13:26:20,29.61763,-81.20678,6.1,156.0,511.0,SV MARGUERITE,IMO0000000,,36.0
338352571,2020-01-01T13:30:50,29.61062,-81.20355,6.0,165.6,511.0,SV MARGUERITE,IMO0000000,,36.0
338352571,2020-01-01T13:32:19,29.60821,-81.2028,6.1,164.0,511.0,SV MARGUERITE,IMO0000000,,36.0
338352571,2020-01-01T13:45:19,29.58768,-81.19568,5.9,156.2,511.0,SV MARGUERITE,IMO0000000,,36.0
338352571,2020-01-01T17:17:19,29.22393,-81.01947,6.5,158.8,511.0,SV MARGUERITE,IMO0000000,,36.0
338352571,2020-01-01T17:19:20,29.22056,-81.01827,6.5,152.3,511.0,SV MARGUERITE,IMO0000000,,36.0
338352571,2020-01-01T17:40:19,29.18827,-80.99832,6.5,159.6,511.0,SV MARGUERITE,IMO0000000,,36.0
338352571,2020-01-01T17:42:49,29.18402,-80.99654,6.5,158.6,511.0,SV MARGUERITE,IMO0000000,,36.0
338352571,2020-01-01T17:45:49,29.17891,-80.99435,6.5,156.0,511.0,SV MARGUERITE,IMO0000000,,36.0
338352571,2020-01-01T17:51:49,29.16948,-80.98823,6.5,148.9,511.0,SV MARGUERITE,IMO0000000,,36.0
338352571,2020-01-01T17:53:21,29.16716,-80.98659,6.4,148.4,511.0,SV MARGUERITE,IMO0000000,,36.0
338352571,2020-01-01T17:54:50,29.16488,-80.98515,6.2,147.8,511.0,SV MARGUERITE,IMO0000000,,36.0
338352571,2020-01-01T17:56:50,29.16191,-80.98323,6.0,152.4,511.0,SV MARGUERITE,IMO0000000,,36.0
338352571,2020-01-01T17:58:50,29.1589,-80.98149,6.1,153.9,511.0,SV MARGUERITE,IMO0000000,,36.0
338352571,2020-01-01T18:02:20,29.15368,-80.97854,5.9,148.2,511.0,SV MARGUERITE,IMO0000000,,36.0
338352571,2020-01-01T18:04:50,29.15055,-80.97656,5.1,152.8,511.0,SV MARGUERITE,IMO0000000,,36.0
338352571,2020-01-01T18:06:50,29.14814,-80.97522,4.3,148.8,511.0,SV MARGUERITE,IMO0000000,,36.0
338352571,2020-01-01T18:08:21,29.14664,-80.97454,4.3,150.2,511.0,SV MARGUERITE,IMO0000000,,36.0
338352571,2020-01-01T18:11:19,29.14326,-80.97242,4.8,153.3,511.0,SV MARGUERITE,IMO0000000,,36.0
338352571,2020-01-01T18:16:19,29.13649,-80.96844,5.9,156.5,511.0,SV MARGUERITE,IMO0000000,,36.0
338352571,2020-01-01T18:19:20,29.13154,-80.96732,6.0,164.5,511.0,SV MARGUERITE,IMO0000000,,36.0
338352571,2020-01-01T18:21:49,29.12746,-80.96618,6.0,166.0,511.0,SV MARGUERITE,IMO0000000,,36.0
338352571,2020-01-01T18:23:20,29.12502,-80.96553,6.0,164.4,511.0,SV MARGUERITE,IMO0000000,,36.0
338352571,2020-01-01T18:26:50,29.11969,-80.96219,6.6,139.9,511.0,SV MARGUERITE,IMO0000000,,36.0
338352571,2020-01-01T18:28:21,29.11761,-80.96019,6.4,140.1,511.0,SV MARGUERITE,IMO0000000,,36.0
338352571,2020-01-01T18:29:49,29.11565,-80.95816,6.0,137.9,511.0,SV MARGUERITE,IMO0000000,,36.0
338352571,2020-01-01T18:31:20,29.11365,-80.95636,6.3,150.1,511.0,SV MARGUERITE,IMO0000000,,36.0
338352571,2020-01-01T18:32:49,29.11131,-80.95502,6.3,159.3,511.0,SV MARGUERITE,IMO0000000,,36.0
338352571,2020-01-01T18:35:19,29.10703,-80.95393,6.1,165.4,511.0,SV MARGUERITE,IMO0000000,,36.0
338352571,2020-01-01T18:38:49,29.10137,-80.9516,6.2,157.2,511.0,SV MARGUERITE,IMO0000000,,36.0
338352571,2020-01-01T18:40:52,29.09804,-80.9501,6.3,162.5,511.0,SV MARGUERITE,IMO0000000,,36.0
338352571,2020-01-01T18:43:20,29.09362,-80.94955,6.6,185.3,511.0,SV MARGUERITE,IMO0000000,,36.0
338352571,2020-01-01T18:46:20,29.08816,-80.94989,6.7,172.3,511.0,SV MARGUERITE,IMO0000000,,36.0
338352571,2020-01-01T18:48:19,29.0847,-80.9484,6.6,154.3,511.0,SV MARGUERITE,IMO0000000,,36.0
338352571,2020-01-01T18:49:20,29.08306,-80.94742,6.6,152.4,511.0,SV MARGUERITE,IMO0000000,,36.0
338352571,2020-01-01T18:50:50,29.08057,-80.94601,6.5,151.4,511.0,SV MARGUERITE,IMO0000000,,36.0
338352571,2020-01-01T18:51:51,29.07894,-80.94503,6.4,154.6,511.0,SV MARGUERITE,IMO0000000,,36.0
338352571,2020-01-01T18:53:19,29.07651,-80.94371,6.5,154.2,511.0,SV MARGUERITE,IMO0000000,,36.0
338352571,2020-01-01T18:54:20,29.07479,-80.94281,6.5,153.3,511.0,SV MARGUERITE,IMO0000000,,36.0
338352571,2020-01-01T18:55:49,29.07233,-80.94143,6.8,152.8,511.0,SV MARGUERITE,IMO0000000,,36.0
338352571,2020-01-01T18:57:19,29.06976,-80.93998,6.7,152.5,511.0,SV MARGUERITE,IMO0000000,,36.0
338352571,2020-01-01T18:58:49,29.06724,-80.93853,6.7,152.9,511.0,SV MARGUERITE,IMO0000000,,36.0
338352571,2020-01-01T19:00:19,29.06468,-80.93713,6.9,155.6,511.0,SV MARGUERITE,IMO0000000,,36.0
338352571,2020-01-01T19:01:20,29.06289,-80.93619,7.0,156.0,511.0,SV MARGUERITE,IMO0000000,,36.0
338352571,2020-01-01T19:02:49,29.06046,-80.93444,6.6,140.9,511.0,SV MARGUERITE,IMO0000000,,36.0
338352571,2020-01-01T19:04:19,29.05992,-80.93238,3.9,62.4,511.0,SV MARGUERITE,IMO0000000,,36.0
338352571,2020-01-01T19:05:49,29.06066,-80.9313,2.5,43.5,511.0,SV MARGUERITE,IMO0000000,,36.0
338352571,2020-01-01T19:06:50,29.06122,-80.93089,2.0,32.9,511.0,SV MARGUERITE,IMO0000000,,36.0
338352571,2020-01-01T19:07:51,29.06113,-80.93115,2.4,197.8,511.0,SV MARGUERITE,IMO0000000,,36.0
338352571,2020-01-01T19:09:19,29.0604,-80.9321,3.0,253.5,511.0,SV MARGUERITE,IMO0000000,,36.0
338352571,2020-01-01T19:10:51,29.06059,-80.93171,2.2,57.8,511.0,SV MARGUERITE,IMO0000000,,36.0
338352571,2020-01-01T19:12:19,29.06121,-80.9309,2.3,46.8,511.0,SV MARGUERITE,IMO0000000,,36.0
338352571,2020-01-01T19:13:20,29.06144,-80.93069,0.1,345.1,511.0,SV MARGUERITE,IMO0000000,,36.0
338352571,2020-01-01T19:14:49,29.06133,-80.93077,0.2,302.3,511.0,SV MARGUERITE,IMO0000000,,36.0
338352571,2020-01-01T19:18:22,29.06167,-80.93089,2.8,279.1,511.0,SV MARGUERITE,IMO0000000,,36.0
338352571,2020-01-01T19:19:49,29.0606,-80.93155,3.5,241.5,511.0,SV MARGUERITE,IMO0000000,,36.0
338352571,2020-01-01T19:20:51,29.06126,-80.93156,3.5,39.4,511.0,SV MARGUERITE,IMO0000000,,36.0
338352571,2020-01-01T19:23:19,29.06177,-80.93129,0.2,141.9,511.0,SV MARGUERITE,IMO0000000,,36.0
338352571,2020-01-01T19:24:49,29.06165,-80.93127,0.2,206.4,511.0,SV MARGUERITE,IMO0000000,,36.0
338352571,2020-01-01T19:27:50,29.06159,-80.93129,0.2,236.1,511.0,SV MARGUERITE,IMO0000000,,36.0
338352571,2020-01-01T19:30:49,29.06152,-80.93129,0.0,134.9,511.0,SV MARGUERITE,IMO0000000,,36.0
338352571,2020-01-01T19:33:50,29.06153,-80.93132,0.2,137.5,511.0,SV MARGUERITE,IMO0000000,,36.0
338352571,2020-01-01T19:36:49,29.06154,-80.93133,0.0,330.5,511.0,SV MARGUERITE,IMO0000000,,36.0
338352571,2020-01-01T19:39:49,29.0615,-80.93126,0.1,45.0,511.0,SV MARGUERITE,IMO0000000,,36.0
338352571,2020-01-01T19:45:50,29.06154,-80.93131,0.0,178.6,511.0,SV MARGUERITE,IMO0000000,,36.0
338352571,2020-01-01T19:48:49,29.06153,-80.93126,0.1,101.6,511.0,SV MARGUERITE,IMO0000000,,36.0
338352571,2020-01-01T19:51:49,29.06153,-80.93119,0.1,154.6,511.0,SV MARGUERITE,IMO0000000,,36.0
338352571,2020-01-01T19:54:50,29.06154,-80.93118,0.0,75.2,511.0,SV MARGUERITE,IMO0000000,,36.0
338352571,2020-01-01T19:57:50,29.06152,-80.93126,0.0,176.8,511.0,SV MARGUERITE,IMO0000000,,36.0
