MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType
366692000,2020-01-01T00:00:09,27.81602,-97.00411,1.9,116.6,100.0,TERRAPIN ISLAND,IMO7819539,KGDS,90.0
366692000,2020-01-01T00:01:19,27.8158,-97.0034,2.2,107.1,108.0,TERRAPIN ISLAND,IMO7819539,KGDS,90.0
366692000,2020-01-01T00:02:28,27.81551,-97.00285,1.8,138.4,122.0,TERRAPIN ISLAND,IMO7819539,KGDS,90.0
366692000,2020-01-01T00:03:39,27.81502,-97.00234,2.2,132.8,108.0,TERRAPIN ISLAND,IMO7819539,KGDS,90.0
366692000,2020-01-01T00:04:49,27.81467,-97.00157,2.5,111.6,104.0,TERRAPIN ISLAND,IMO7819539,KGDS,90.0
366692000,2020-01-01T00:05:59,27.81436,-97.00073,2.7,116.5,116.0,TERRAPIN ISLAND,IMO7819539,KGDS,90.0
366692000,2020-01-01T00:07:08,27.81376,-96.99976,3.6,128.6,121.0,TERRAPIN ISLAND,IMO7819539,KGDS,90.0
366692000,2020-01-01T00:08:19,27.81273,-96.99819,6.5,125.2,119.0,TERRAPIN ISLAND,IMO7819539,KGDS,90.0
366692000,2020-01-01T00:09:28,27.81135,-96.99591,8.3,123.7,118.0,TERRAPIN ISLAND,IMO7819539,KGDS,90.0
366692000,2020-01-01T00:10:40,27.80973,-96.99319,8.9,125.5,124.0,TERRAPIN ISLAND,IMO7819539,KGDS,90.0
366692000,2020-01-01T00:11:50,27.80785,-96.99071,9.7,131.6,126.0,TERRAPIN ISLAND,IMO7819539,KGDS,90.0
366692000,2020-01-01T00:13:18,27.80489,-96.98757,9.3,158.1,167.0,TERRAPIN ISLAND,IMO7819539,KGDS,90.0
366692000,2020-01-01T00:14:28,27.80188,-96.98778,9.8,195.8,195.0,TERRAPIN ISLAND,IMO7819539,KGDS,90.0
366692000,2020-01-01T00:15:29,27.79913,-96.98882,10.5,198.4,195.0,TERRAPIN ISLAND,IMO7819539,KGDS,90.0
366692000,2020-01-01T00:16:38,27.79586,-96.99003,10.8,198.3,197.0,TERRAPIN ISLAND,IMO7819539,KGDS,90.0
366692000,2020-01-01T00:17:48,27.79255,-96.99145,11.0,203.0,202.0,TERRAPIN ISLAND,IMO7819539,KGDS,90.0
366692000,2020-01-01T00:19:06,27.78953,-96.99322,8.3,211.5,226.0,TERRAPIN ISLAND,IMO7819539,KGDS,90.0
366692000,2020-01-01T00:20:36,27.78793,-96.99569,6.2,243.1,231.0,TERRAPIN ISLAND,IMO7819539,KGDS,90.0
366692000,2020-01-01T00:22:08,27.78618,-96.9973,5.2,207.0,206.0,TERRAPIN ISLAND,IMO7819539,KGDS,90.0
366692000,2020-01-01T00:23:19,27.78447,-96.99838,6.2,210.8,211.0,TERRAPIN ISLAND,IMO7819539,KGDS,90.0
366692000,2020-01-01T00:25:39,27.78121,-97.00074,5.6,213.3,216.0,TERRAPIN ISLAND,IMO7819539,KGDS,90.0
366692000,2020-01-01T00:26:49,27.7797,-97.00205,6.0,219.1,220.0,TERRAPIN ISLAND,IMO7819539,KGDS,90.0
366692000,2020-01-01T00:27:59,27.77822,-97.00344,6.1,220.1,220.0,TERRAPIN ISLAND,IMO7819539,KGDS,90.0
366692000,2020-01-01T00:29:48,27.77657,-97.00584,5.0,263.1,312.0,TERRAPIN ISLAND,IMO7819539,KGDS,90.0
366692000,2020-01-01T00:30:55,27.77709,-97.00715,3.9,319.1,11.0,TERRAPIN ISLAND,IMO7819539,KGDS,90.0
366692000,2020-01-01T00:32:48,27.77957,-97.00596,7.5,35.2,37.0,TERRAPIN ISLAND,IMO7819539,KGDS,90.0
366692000,2020-01-01T00:33:59,27.78181,-97.00413,8.8,37.4,39.0,TERRAPIN ISLAND,IMO7819539,KGDS,90.0
366692000,2020-01-01T00:35:10,27.78417,-97.00203,9.2,38.6,39.0,TERRAPIN ISLAND,IMO7819539,KGDS,90.0
366692000,2020-01-01T00:37:18,27.78851,-96.99804,9.4,39.7,40.0,TERRAPIN ISLAND,IMO7819539,KGDS,90.0
366692000,2020-01-01T00:39:08,27.79252,-96.99531,9.2,17.7,17.0,TERRAPIN ISLAND,IMO7819539,KGDS,90.0
366692000,2020-01-01T00:40:29,27.79594,-96.99434,9.4,12.7,15.0,TERRAPIN ISLAND,IMO7819539,KGDS,90.0
366692000,2020-01-01T00:42:29,27.80113,-96.9931,9.6,12.7,15.0,TERRAPIN ISLAND,IMO7819539,KGDS,90.0
366692000,2020-01-01T00:44:29,27.80633,-96.99178,9.3,13.5,13.0,TERRAPIN ISLAND,IMO7819539,KGDS,90.0
366692000,2020-01-01T00:45:31,27.80848,-96.9917,6.4,342.4,322.0,TERRAPIN ISLAND,IMO7819539,KGDS,90.0
