MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType
367544960,2020-01-01T00:00:05,29.77628,-95.10107,0.0,255.5,270.0,THUNDER,,WDG5276,31.0
366088000,2020-01-01T00:00:11,29.14327,-90.21252,0.0,78.1,511.0,THUNDER,IMO9684847,WDH7787,90.0
366088000,2020-01-01T00:01:12,29.14325,-90.2125,0.0,78.1,511.0,THUNDER,IMO9684847,WDH7787,90.0
367544960,2020-01-01T00:01:14,29.77626,-95.10107,0.0,204.5,269.0,THUNDER,,WDG5276,31.0
366088000,2020-01-01T00:02:22,29.14326,-90.21251,0.0,78.1,511.0,THUNDER,IMO9684847,WDH7787,90.0
367544960,2020-01-01T00:02:23,29.77627,-95.10107,0.0,232.4,270.0,THUNDER,,WDG5276,31.0
366088000,2020-01-01T00:03:23,29.14327,-90.21251,0.0,78.1,511.0,THUNDER,IMO9684847,WDH7787,90.0
367544960,2020-01-01T00:03:24,29.77629,-95.10107,0.1,341.2,268.0,THUNDER,,WDG5276,31.0
366088000,2020-01-01T00:04:31,29.14327,-90.2125,0.0,78.1,511.0,THUNDER,IMO9684847,WDH7787,90.0
367544960,2020-01-01T00:04:35,29.77627,-95.10107,0.1,141.4,270.0,THUNDER,,WDG5276,31.0
367544960,2020-01-01T00:05:44,29.77629,-95.10107,0.1,351.1,269.0,THUNDER,,WDG5276,31.0
366088000,2020-01-01T00:05:52,29.14327,-90.2125,0.0,78.1,511.0,THUNDER,IMO9684847,WDH7787,90.0
367544960,2020-01-01T00:06:54,29.77628,-95.10108,0.0,157.6,269.0,THUNDER,,WDG5276,31.0
366088000,2020-01-01T00:07:12,29.14326,-90.2125,0.0,78.1,511.0,THUNDER,IMO9684847,WDH7787,90.0
367544960,2020-01-01T00:07:55,29.77629,-95.10107,0.0,12.9,269.0,THUNDER,,WDG5276,31.0
366088000,2020-01-01T00:08:52,29.14327,-90.2125,0.0,78.1,511.0,THUNDER,IMO9684847,WDH7787,90.0
367544960,2020-01-01T00:09:05,29.77628,-95.10107,0.1,199.5,269.0,THUNDER,,WDG5276,31.0
366088000,2020-01-01T00:10:12,29.14327,-90.21251,0.0,78.1,511.0,THUNDER,IMO9684847,WDH7787,90.0
367544960,2020-01-01T00:10:15,29.77628,-95.10106,0.0,326.6,270.0,THUNDER,,WDG5276,31.0
367544960,2020-01-01T00:11:24,29.77627,-95.10107,0.0,175.0,270.0,THUNDER,,WDG5276,31.0
367544960,2020-01-01T00:12:45,29.77629,-95.10108,0.1,341.5,269.0,THUNDER,,WDG5276,31.0
367544960,2020-01-01T00:13:54,29.77629,-95.10109,0.0,61.0,268.0,THUNDER,,WDG5276,31.0
367544960,2020-01-01T00:15:04,29.77629,-95.10107,0.0,188.1,268.0,THUNDER,,WDG5276,31.0
366088000,2020-01-01T00:15:21,29.14327,-90.2125,0.0,78.1,511.0,THUNDER,IMO9684847,WDH7787,90.0
367544960,2020-01-01T00:16:54,29.77628,-95.10107,0.1,158.6,270.0,THUNDER,,WDG5276,31.0
366088000,2020-01-01T00:17:11,29.14327,-90.21248,0.0,78.1,511.0,THUNDER,IMO9684847,WDH7787,90.0
367544960,2020-01-01T00:18:04,29.77627,-95.10107,0.0,308.7,270.0,THUNDER,,WDG5276,31.0
366088000,2020-01-01T00:18:21,29.14327,-90.2125,0.0,78.1,511.0,THUNDER,IMO9684847,WDH7787,90.0
367544960,2020-01-01T00:19:14,29.77628,-95.10108,0.0,252.8,270.0,THUNDER,,WDG5276,31.0
366088000,2020-01-01T00:20:01,29.14327,-90.21251,0.0,78.1,511.0,THUNDER,IMO9684847,WDH7787,90.0
367544960,2020-01-01T00:20:25,29.77627,-95.10107,0.0,157.0,270.0,THUNDER,,WDG5276,31.0
367544960,2020-01-01T00:21:54,29.77628,-95.10107,0.1,0.4,270.0,THUNDER,,WDG5276,31.0
366088000,2020-01-01T00:22:01,29.14327,-90.2125,0.0,78.1,511.0,THUNDER,IMO9684847,WDH7787,90.0
367544960,2020-01-01T00:23:05,29.77627,-95.10107,0.0,286.0,270.0,THUNDER,,WDG5276,31.0
366088000,2020-01-01T00:23:42,29.14327,-90.2125,0.0,78.1,511.0,THUNDER,IMO9684847,WDH7787,90.0
367544960,2020-01-01T00:24:35,29.77628,-95.10107,0.0,310.4,270.0,THUNDER,,WDG5276,31.0
366088000,2020-01-01T00:24:52,29.14327,-90.2125,0.0,78.1,511.0,THUNDER,IMO9684847,WDH7787,90.0
