MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType
366969670,2020-01-01T00:00:26,29.61128,-95.02556,0.1,184.3,511.0,TOMMY E,,WCX6752,31.0
366969670,2020-01-01T00:06:25,29.61125,-95.02545,0.2,186.0,511.0,TOMMY E,,WCX6752,31.0
366969670,2020-01-01T00:15:26,29.61123,-95.02548,0.0,176.3,511.0,TOMMY E,,WCX6752,31.0
366969670,2020-01-01T00:18:26,29.61126,-95.02543,0.0,178.0,511.0,TOMMY E,,WCX6752,31.0
366969670,2020-01-01T00:21:26,29.61128,-95.02549,0.0,169.5,511.0,TOMMY E,,WCX6752,31.0
366969670,2020-01-01T00:27:26,29.61108,-95.02471,0.1,214.5,511.0,TOMMY E,,WCX6752,31.0
366969670,2020-01-01T00:30:26,29.61106,-95.0247,0.1,231.7,511.0,TOMMY E,,WCX6752,31.0
366969670,2020-01-01T00:36:26,29.61109,-95.02396,2.0,93.3,511.0,TOMMY E,,WCX6752,31.0
366969670,2020-01-01T00:41:07,29.61143,-95.02257,3.9,46.6,511.0,TOMMY E,,WCX6752,31.0
366969670,2020-01-01T00:42:38,29.61239,-95.02093,4.2,66.1,511.0,TOMMY E,,WCX6752,31.0
366969670,2020-01-01T00:43:47,29.6128,-95.01943,4.4,77.8,511.0,TOMMY E,,WCX6752,31.0
366969670,2020-01-01T00:46:07,29.61325,-95.01623,4.1,81.5,511.0,TOMMY E,,WCX6752,31.0
366969670,2020-01-01T00:47:19,29.61337,-95.01466,4.1,85.3,511.0,TOMMY E,,WCX6752,31.0
366969670,2020-01-01T00:48:48,29.61336,-95.01274,4.1,88.8,511.0,TOMMY E,,WCX6752,31.0
366969670,2020-01-01T00:50:19,29.61336,-95.01073,4.2,91.0,511.0,TOMMY E,,WCX6752,31.0
366969670,2020-01-01T00:51:38,29.61338,-95.00895,4.3,86.4,511.0,TOMMY E,,WCX6752,31.0
366969670,2020-01-01T00:54:18,29.61339,-95.00538,4.3,88.7,511.0,TOMMY E,,WCX6752,31.0
366969670,2020-01-01T00:56:58,29.6135,-95.00168,4.2,88.8,511.0,TOMMY E,,WCX6752,31.0
366969670,2020-01-01T00:58:08,29.6135,-95.00013,4.2,91.2,511.0,TOMMY E,,WCX6752,31.0
366969670,2020-01-01T00:59:19,29.61354,-94.99854,4.2,91.1,511.0,TOMMY E,,WCX6752,31.0
366969670,2020-01-01T01:00:08,29.61357,-94.99742,4.2,87.2,511.0,TOMMY E,,WCX6752,31.0
366969670,2020-01-01T01:01:19,29.61358,-94.99585,4.2,89.2,511.0,TOMMY E,,WCX6752,31.0
366969670,2020-01-01T01:02:29,29.61361,-94.99427,4.1,90.9,511.0,TOMMY E,,WCX6752,31.0
366969670,2020-01-01T01:03:38,29.61366,-94.99266,4.2,86.5,511.0,TOMMY E,,WCX6752,31.0
366969670,2020-01-01T01:04:48,29.61368,-94.99109,4.4,87.7,511.0,TOMMY E,,WCX6752,31.0
366969670,2020-01-01T01:05:59,29.6137,-94.98946,4.3,91.3,511.0,TOMMY E,,WCX6752,31.0
366969670,2020-01-01T01:07:08,29.61369,-94.98785,4.4,90.9,511.0,TOMMY E,,WCX6752,31.0
366969670,2020-01-01T01:08:27,29.61372,-94.986,4.4,88.0,511.0,TOMMY E,,WCX6752,31.0
366969670,2020-01-01T01:09:37,29.61372,-94.98439,4.3,90.6,511.0,TOMMY E,,WCX6752,31.0
366969670,2020-01-01T01:11:17,29.61371,-94.98217,4.3,90.3,511.0,TOMMY E,,WCX6752,31.0
366969670,2020-01-01T01:12:48,29.61376,-94.98009,4.4,85.9,511.0,TOMMY E,,WCX6752,31.0
