MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType
367493760,2020-01-01T00:00:12,29.10518,-90.21531,11.5,55.6,511.0,TYRANT,IMO9290012,WDF8333,60.0
367493760,2020-01-01T00:01:30,29.10736,-90.21174,10.1,55.4,511.0,TYRANT,IMO9290012,WDF8333,60.0
367493760,2020-01-01T00:03:11,29.11104,-90.20883,9.7,357.2,511.0,TYRANT,IMO9290012,WDF8333,60.0
367493760,2020-01-01T00:05:40,29.11644,-90.21126,7.8,331.4,511.0,TYRANT,IMO9290012,WDF8333,60.0
367493760,2020-01-01T00:06:51,29.11884,-90.21252,8.2,338.3,511.0,TYRANT,IMO9290012,WDF8333,60.0
367493760,2020-01-01T00:07:52,29.12082,-90.21229,6.7,45.5,511.0,TYRANT,IMO9290012,WDF8333,60.0
367493760,2020-01-01T00:09:00,29.12206,-90.20998,7.8,62.6,511.0,TYRANT,IMO9290012,WDF8333,60.0
367493760,2020-01-01T00:10:22,29.12245,-90.20678,7.7,90.6,511.0,TYRANT,IMO9290012,WDF8333,60.0
367493760,2020-01-01T00:15:51,29.12175,-90.19894,4.1,151.9,511.0,TYRANT,IMO9290012,WDF8333,60.0
367493760,2020-01-01T00:17:30,29.11954,-90.19798,1.1,172.5,511.0,TYRANT,IMO9290012,WDF8333,60.0
367493760,2020-01-01T00:19:20,29.11958,-90.19809,0.3,139.7,511.0,TYRANT,IMO9290012,WDF8333,60.0
367493760,2020-01-01T00:21:20,29.11971,-90.19848,0.3,262.1,511.0,TYRANT,IMO9290012,WDF8333,60.0
367493760,2020-01-01T00:22:52,29.11966,-90.19859,0.2,259.4,511.0,TYRANT,IMO9290012,WDF8333,60.0
367493760,2020-01-01T00:26:01,29.11966,-90.19855,0.0,340.9,511.0,TYRANT,IMO9290012,WDF8333,60.0
367493760,2020-01-01T00:27:20,29.11964,-90.19846,0.4,95.3,511.0,TYRANT,IMO9290012,WDF8333,60.0
367493760,2020-01-01T00:29:12,29.1195,-90.19793,0.6,11.4,511.0,TYRANT,IMO9290012,WDF8333,60.0
367493760,2020-01-01T00:31:11,29.12184,-90.19931,6.1,293.5,511.0,TYRANT,IMO9290012,WDF8333,60.0
367493760,2020-01-01T00:33:20,29.12223,-90.20429,7.6,274.6,511.0,TYRANT,IMO9290012,WDF8333,60.0
367493760,2020-01-01T00:35:22,29.12249,-90.20912,7.5,257.5,511.0,TYRANT,IMO9290012,WDF8333,60.0
367493760,2020-01-01T00:36:42,29.12115,-90.21183,7.8,242.5,511.0,TYRANT,IMO9290012,WDF8333,60.0
367493760,2020-01-01T00:37:51,29.12128,-90.21434,7.0,318.0,511.0,TYRANT,IMO9290012,WDF8333,60.0
367493760,2020-01-01T00:39:32,29.12415,-90.21669,7.9,331.7,511.0,TYRANT,IMO9290012,WDF8333,60.0
367493760,2020-01-01T00:40:42,29.12658,-90.21765,7.8,341.6,511.0,TYRANT,IMO9290012,WDF8333,60.0
367493760,2020-01-01T00:43:41,29.13274,-90.21961,7.7,345.6,511.0,TYRANT,IMO9290012,WDF8333,60.0
367493760,2020-01-01T00:45:32,29.13663,-90.22047,7.8,348.2,511.0,TYRANT,IMO9290012,WDF8333,60.0
367493760,2020-01-01T00:47:11,29.14019,-90.22086,7.8,356.2,511.0,TYRANT,IMO9290012,WDF8333,60.0
367493760,2020-01-01T00:49:51,29.14412,-90.21745,7.5,70.2,511.0,TYRANT,IMO9290012,WDF8333,60.0
367493760,2020-01-01T00:51:31,29.14559,-90.21389,7.6,61.8,511.0,TYRANT,IMO9290012,WDF8333,60.0
367493760,2020-01-01T00:52:51,29.14685,-90.21093,7.6,66.2,511.0,TYRANT,IMO9290012,WDF8333,60.0
367493760,2020-01-01T00:54:40,29.14812,-90.20673,7.7,76.6,511.0,TYRANT,IMO9290012,WDF8333,60.0
367493760,2020-01-01T00:55:41,29.14857,-90.2043,7.7,79.3,511.0,TYRANT,IMO9290012,WDF8333,60.0
367493760,2020-01-01T00:59:02,29.14491,-90.19902,7.6,159.0,511.0,TYRANT,IMO9290012,WDF8333,60.0
367493760,2020-01-01T01:00:11,29.14259,-90.1981,7.6,159.5,511.0,TYRANT,IMO9290012,WDF8333,60.0
367493760,2020-01-01T01:01:51,29.13926,-90.19677,7.6,157.0,511.0,TYRANT,IMO9290012,WDF8333,60.0
367493760,2020-01-01T01:03:02,29.13697,-90.19564,7.6,158.3,511.0,TYRANT,IMO9290012,WDF8333,60.0
367493760,2020-01-01T01:04:11,29.13464,-90.19476,7.7,160.6,511.0,TYRANT,IMO9290012,WDF8333,60.0
367493760,2020-01-01T01:05:51,29.13313,-90.19379,1.0,163.2,511.0,TYRANT,IMO9290012,WDF8333,60.0
367493760,2020-01-01T01:07:11,29.13321,-90.19358,0.3,17.5,511.0,TYRANT,IMO9290012,WDF8333,60.0
367493760,2020-01-01T01:08:42,29.13326,-90.19363,0.2,61.7,511.0,TYRANT,IMO9290012,WDF8333,60.0
367493760,2020-01-01T01:10:42,29.13322,-90.1935,0.2,104.9,511.0,TYRANT,IMO9290012,WDF8333,60.0
367493760,2020-01-01T01:12:01,29.13313,-90.19334,0.0,86.1,511.0,TYRANT,IMO9290012,WDF8333,60.0
367493760,2020-01-01T01:13:30,29.13324,-90.19339,0.0,116.7,511.0,TYRANT,IMO9290012,WDF8333,60.0
367493760,2020-01-01T01:15:30,29.13317,-90.19335,0.0,169.3,511.0,TYRANT,IMO9290012,WDF8333,60.0
367493760,2020-01-01T01:17:00,29.13322,-90.19347,0.0,200.8,511.0,TYRANT,IMO9290012,WDF8333,60.0
367493760,2020-01-01T01:18:52,29.13327,-90.19346,0.0,247.3,511.0,TYRANT,IMO9290012,WDF8333,60.0
367493760,2020-01-01T01:20:01,29.13326,-90.19344,0.0,266.4,511.0,TYRANT,IMO9290012,WDF8333,60.0
367493760,2020-01-01T01:22:01,29.13325,-90.19348,0.1,309.4,511.0,TYRANT,IMO9290012,WDF8333,60.0
367493760,2020-01-01T01:23:41,29.13333,-90.19368,1.2,322.0,511.0,TYRANT,IMO9290012,WDF8333,60.0
367493760,2020-01-01T01:25:11,29.13384,-90.19399,1.5,295.9,511.0,TYRANT,IMO9290012,WDF8333,60.0
367493760,2020-01-01T01:27:32,29.13456,-90.19465,6.6,335.5,511.0,TYRANT,IMO9290012,WDF8333,60.0
367493760,2020-01-01T01:29:32,29.13838,-90.19652,7.6,336.3,511.0,TYRANT,IMO9290012,WDF8333,60.0
367493760,2020-01-01T01:31:32,29.14237,-90.19817,7.6,338.6,511.0,TYRANT,IMO9290012,WDF8333,60.0
367493760,2020-01-01T01:34:11,29.14763,-90.20022,7.5,342.2,511.0,TYRANT,IMO9290012,WDF8333,60.0
367493760,2020-01-01T01:35:41,29.14869,-90.20283,7.4,268.0,511.0,TYRANT,IMO9290012,WDF8333,60.0
367493760,2020-01-01T01:38:31,29.1477,-90.20942,7.6,247.7,511.0,TYRANT,IMO9290012,WDF8333,60.0
367493760,2020-01-01T01:41:21,29.14482,-90.21532,7.6,242.8,511.0,TYRANT,IMO9290012,WDF8333,60.0
367493760,2020-01-01T01:42:32,29.14387,-90.21784,7.7,254.6,511.0,TYRANT,IMO9290012,WDF8333,60.0
367493760,2020-01-01T01:43:42,29.14299,-90.22033,6.2,217.1,511.0,TYRANT,IMO9290012,WDF8333,60.0
367493760,2020-01-01T01:45:32,29.13952,-90.22079,7.4,172.6,511.0,TYRANT,IMO9290012,WDF8333,60.0
367493760,2020-01-01T01:46:42,29.13718,-90.2203,7.4,172.8,511.0,TYRANT,IMO9290012,WDF8333,60.0
367493760,2020-01-01T01:48:11,29.13409,-90.21971,7.6,164.6,511.0,TYRANT,IMO9290012,WDF8333,60.0
367493760,2020-01-01T01:50:11,29.13037,-90.21839,1.8,174.4,511.0,TYRANT,IMO9290012,WDF8333,60.0
367493760,2020-01-01T01:54:32,29.1303,-90.2177,0.1,58.3,511.0,TYRANT,IMO9290012,WDF8333,60.0
367493760,2020-01-01T01:55:52,29.13025,-90.21758,0.0,12.6,511.0,TYRANT,IMO9290012,WDF8333,60.0
367493760,2020-01-01T01:57:21,29.13029,-90.21766,0.1,349.2,511.0,TYRANT,IMO9290012,WDF8333,60.0
367493760,2020-01-01T02:10:52,29.13039,-90.2177,0.0,295.2,511.0,TYRANT,IMO9290012,WDF8333,60.0
367493760,2020-01-01T02:16:31,29.13015,-90.21771,0.0,274.4,511.0,TYRANT,IMO9290012,WDF8333,60.0
367493760,2020-01-01T02:24:21,29.13028,-90.21785,1.6,236.2,511.0,TYRANT,IMO9290012,WDF8333,60.0
367493760,2020-01-01T02:26:21,29.1291,-90.21822,7.7,170.2,511.0,TYRANT,IMO9290012,WDF8333,60.0
367493760,2020-01-01T02:28:00,29.12528,-90.21716,8.6,160.3,511.0,TYRANT,IMO9290012,WDF8333,60.0
367493760,2020-01-01T02:29:02,29.12306,-90.216,8.8,153.4,511.0,TYRANT,IMO9290012,WDF8333,60.0
367493760,2020-01-01T02:30:41,29.12074,-90.21304,6.8,85.1,511.0,TYRANT,IMO9290012,WDF8333,60.0
367493760,2020-01-01T02:33:31,29.12259,-90.20625,8.3,95.2,511.0,TYRANT,IMO9290012,WDF8333,60.0
367493760,2020-01-01T02:34:51,29.12223,-90.20269,8.6,98.9,511.0,TYRANT,IMO9290012,WDF8333,60.0
367493760,2020-01-01T02:38:00,29.11965,-90.19802,0.9,179.2,511.0,TYRANT,IMO9290012,WDF8333,60.0
367493760,2020-01-01T02:39:20,29.11967,-90.1981,1.2,289.0,511.0,TYRANT,IMO9290012,WDF8333,60.0
367493760,2020-01-01T02:41:00,29.11986,-90.19849,0.2,262.2,511.0,TYRANT,IMO9290012,WDF8333,60.0
367493760,2020-01-01T02:42:11,29.11987,-90.19849,0.2,270.7,511.0,TYRANT,IMO9290012,WDF8333,60.0
367493760,2020-01-01T02:44:00,29.11979,-90.19853,0.2,226.4,511.0,TYRANT,IMO9290012,WDF8333,60.0
367493760,2020-01-01T08:02:03,29.11974,-90.19858,0.0,209.2,511.0,TYRANT,IMO9290012,WDF8333,60.0
