MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType
368959000,2020-01-01T00:00:06,32.68166,-117.1268,0.1,44.0,511.0,USS SCOUT,,NABW,90.0
368959000,2020-01-01T00:01:16,32.68168,-117.1268,0.0,12.1,511.0,USS SCOUT,,NABW,90.0
368959000,2020-01-01T00:02:38,32.68162,-117.12679,0.0,28.0,511.0,USS SCOUT,,NABW,90.0
368959000,2020-01-01T00:03:47,32.68163,-117.12679,0.0,74.4,511.0,USS SCOUT,,NABW,90.0
368959000,2020-01-01T00:04:56,32.68164,-117.12683,0.0,109.0,511.0,USS SCOUT,,NABW,90.0
368959000,2020-01-01T00:05:57,32.6816,-117.12678,0.0,63.3,511.0,USS SCOUT,,NABW,90.0
368959000,2020-01-01T00:06:58,32.68159,-117.12679,0.0,347.1,511.0,USS SCOUT,,NABW,90.0
368959000,2020-01-01T00:08:08,32.68157,-117.12679,0.1,20.1,511.0,USS SCOUT,,NABW,90.0
368959000,2020-01-01T00:09:18,32.68165,-117.1268,0.0,56.3,511.0,USS SCOUT,,NABW,90.0
368959000,2020-01-01T00:10:26,32.68167,-117.12676,0.0,79.8,511.0,USS SCOUT,,NABW,90.0
368959000,2020-01-01T00:11:38,32.68166,-117.12679,0.0,50.6,511.0,USS SCOUT,,NABW,90.0
368959000,2020-01-01T00:12:58,32.68168,-117.12674,0.0,62.9,511.0,USS SCOUT,,NABW,90.0
368959000,2020-01-01T00:14:08,32.68168,-117.12677,0.0,123.8,511.0,USS SCOUT,,NABW,90.0
368959000,2020-01-01T00:15:47,32.68163,-117.12678,0.0,61.9,511.0,USS SCOUT,,NABW,90.0
368959000,2020-01-01T00:16:58,32.68165,-117.12677,0.0,65.4,511.0,USS SCOUT,,NABW,90.0
368959000,2020-01-01T00:18:47,32.68161,-117.12677,0.0,52.5,511.0,USS SCOUT,,NABW,90.0
368959000,2020-01-01T00:20:38,32.68164,-117.12677,0.0,355.1,511.0,USS SCOUT,,NABW,90.0
368959000,2020-01-01T00:22:07,32.68162,-117.12669,0.0,246.1,511.0,USS SCOUT,,NABW,90.0
368959000,2020-01-01T00:23:57,32.68169,-117.12674,0.0,67.3,511.0,USS SCOUT,,NABW,90.0
368959000,2020-01-01T00:25:57,32.68166,-117.12681,0.0,101.6,511.0,USS SCOUT,,NABW,90.0
368959000,2020-01-01T00:27:57,32.68161,-117.12669,0.0,145.4,511.0,USS SCOUT,,NABW,90.0
368959000,2020-01-01T00:29:57,32.68167,-117.12678,0.0,132.8,511.0,USS SCOUT,,NABW,90.0
368959000,2020-01-01T00:32:18,32.6816,-117.12676,0.1,3.9,511.0,USS SCOUT,,NABW,90.0
368959000,2020-01-01T00:33:28,32.68165,-117.12676,0.0,0.6,511.0,USS SCOUT,,NABW,90.0
368959000,2020-01-01T00:35:28,32.68161,-117.12674,0.0,63.0,511.0,USS SCOUT,,NABW,90.0
368959000,2020-01-01T00:37:07,32.68165,-117.12679,0.0,45.9,511.0,USS SCOUT,,NABW,90.0
368959000,2020-01-01T00:38:28,32.68168,-117.12676,0.0,31.2,511.0,USS SCOUT,,NABW,90.0
368959000,2020-01-01T00:39:38,32.68165,-117.12677,0.0,330.3,511.0,USS SCOUT,,NABW,90.0
368959000,2020-01-01T00:42:28,32.68166,-117.12674,0.0,106.1,511.0,USS SCOUT,,NABW,90.0
368959000,2020-01-01T00:44:47,32.68162,-117.12676,0.0,318.6,511.0,USS SCOUT,,NABW,90.0
368959000,2020-01-01T00:46:47,32.68168,-117.12677,0.0,66.5,511.0,USS SCOUT,,NABW,90.0
368959000,2020-01-01T00:48:37,32.68164,-117.12676,0.0,20.9,511.0,USS SCOUT,,NABW,90.0
368959000,2020-01-01T00:49:47,32.68162,-117.12672,0.0,76.4,511.0,USS SCOUT,,NABW,90.0
368959000,2020-01-01T00:52:07,32.68167,-117.12676,0.0,114.8,511.0,USS SCOUT,,NABW,90.0
368959000,2020-01-01T00:55:07,32.68166,-117.12675,0.0,21.3,511.0,USS SCOUT,,NABW,90.0
368959000,2020-01-01T00:56:17,32.68168,-117.12679,0.0,48.2,511.0,USS SCOUT,,NABW,90.0
368959000,2020-01-01T00:59:17,32.68162,-117.1268,0.0,30.6,511.0,USS SCOUT,,NABW,90.0
368959000,2020-01-01T01:00:07,32.68163,-117.12677,0.0,52.4,511.0,USS SCOUT,,NABW,90.0
