MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType
368095720,2020-01-01T00:00:05,34.17789,-119.22378,0.0,360.0,511.0,VALKYRIE,IMO0000000,WDK8602,37.0
368106690,2020-01-01T00:01:06,28.62139,-80.80979,0.0,241.1,511.0,VALKYRIE,IMO0000000,WDK9789,37.0
367414180,2020-01-01T00:01:24,33.61396,-117.92499,0.0,360.0,511.0,VALKYRIE,,WDE9156,37.0
368095720,2020-01-01T00:03:04,34.17788,-119.22379,0.0,360.0,511.0,VALKYRIE,IMO0000000,WDK8602,37.0
368095720,2020-01-01T00:06:05,34.17788,-119.2238,0.0,360.0,511.0,VALKYRIE,IMO0000000,WDK8602,37.0
368106690,2020-01-01T00:07:06,28.62136,-80.80985,0.0,246.5,511.0,VALKYRIE,IMO0000000,WDK9789,37.0
367414180,2020-01-01T00:07:25,33.61396,-117.925,0.0,360.0,511.0,VALKYRIE,,WDE9156,37.0
368095720,2020-01-01T00:09:01,34.17788,-119.2238,0.0,360.0,511.0,VALKYRIE,IMO0000000,WDK8602,37.0
367414180,2020-01-01T00:10:25,33.61396,-117.925,0.0,360.0,511.0,VALKYRIE,,WDE9156,37.0
368095720,2020-01-01T00:12:05,34.17788,-119.22381,0.0,360.0,511.0,VALKYRIE,IMO0000000,WDK8602,37.0
368106690,2020-01-01T00:13:05,28.62138,-80.80986,0.0,247.2,511.0,VALKYRIE,IMO0000000,WDK9789,37.0
368095720,2020-01-01T00:15:02,34.17789,-119.22381,0.0,360.0,511.0,VALKYRIE,IMO0000000,WDK8602,37.0
367414180,2020-01-01T00:16:26,33.61396,-117.92499,0.0,360.0,511.0,VALKYRIE,,WDE9156,37.0
368095720,2020-01-01T00:18:04,34.17788,-119.22381,0.0,360.0,511.0,VALKYRIE,IMO0000000,WDK8602,37.0
368106690,2020-01-01T00:19:04,28.62138,-80.80988,0.0,258.1,511.0,VALKYRIE,IMO0000000,WDK9789,37.0
368095720,2020-01-01T00:21:02,34.17788,-119.22381,0.0,360.0,511.0,VALKYRIE,IMO0000000,WDK8602,37.0
367414180,2020-01-01T00:22:26,33.61396,-117.92499,0.0,360.0,511.0,VALKYRIE,,WDE9156,37.0
368095720,2020-01-01T00:24:05,34.17788,-119.22379,0.1,360.0,511.0,VALKYRIE,IMO0000000,WDK8602,37.0
