MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType
306258000,2020-01-01T00:00:03,47.66628,-122.39355,0.0,45.0,176.0,VICTORIA CLIPPER,IMO8520757,PJAO,60.0
306258000,2020-01-01T00:03:07,47.66629,-122.39355,0.0,20.4,177.0,VICTORIA CLIPPER,IMO8520757,PJAO,60.0
306258000,2020-01-01T00:06:03,47.66629,-122.39357,0.1,50.7,178.0,VICTORIA CLIPPER,IMO8520757,PJAO,60.0
306258000,2020-01-01T00:09:07,47.66632,-122.39355,0.0,20.0,178.0,VICTORIA CLIPPER,IMO8520757,PJAO,60.0
306258000,2020-01-01T00:12:04,47.66629,-122.39355,0.1,14.2,179.0,VICTORIA CLIPPER,IMO8520757,PJAO,60.0
306258000,2020-01-01T00:15:04,47.66629,-122.39356,0.0,349.2,177.0,VICTORIA CLIPPER,IMO8520757,PJAO,60.0
306258000,2020-01-01T00:18:07,47.66629,-122.39356,0.0,29.0,177.0,VICTORIA CLIPPER,IMO8520757,PJAO,60.0
306258000,2020-01-01T00:21:05,47.66631,-122.39356,0.1,18.8,177.0,VICTORIA CLIPPER,IMO8520757,PJAO,60.0
306258000,2020-01-01T00:24:04,47.66631,-122.39356,0.0,36.9,178.0,VICTORIA CLIPPER,IMO8520757,PJAO,60.0
306258000,2020-01-01T00:27:04,47.66631,-122.39357,0.0,87.8,178.0,VICTORIA CLIPPER,IMO8520757,PJAO,60.0
306258000,2020-01-01T00:30:03,47.66629,-122.39356,0.1,23.9,178.0,VICTORIA CLIPPER,IMO8520757,PJAO,60.0
306258000,2020-01-01T00:33:06,47.66629,-122.39354,0.0,303.1,178.0,VICTORIA CLIPPER,IMO8520757,PJAO,60.0
306258000,2020-01-01T00:36:07,47.6663,-122.39355,0.1,10.5,177.0,VICTORIA CLIPPER,IMO8520757,PJAO,60.0
306258000,2020-01-01T00:39:04,47.66633,-122.39354,0.0,357.2,177.0,VICTORIA CLIPPER,IMO8520757,PJAO,60.0
306258000,2020-01-01T00:42:04,47.66632,-122.39356,0.0,8.1,176.0,VICTORIA CLIPPER,IMO8520757,PJAO,60.0
306258000,2020-01-01T00:45:04,47.66629,-122.39353,0.0,14.8,177.0,VICTORIA CLIPPER,IMO8520757,PJAO,60.0
306258000,2020-01-01T00:48:06,47.66629,-122.39356,0.0,45.3,178.0,VICTORIA CLIPPER,IMO8520757,PJAO,60.0
306258000,2020-01-01T00:51:06,47.66627,-122.39356,0.0,341.5,176.0,VICTORIA CLIPPER,IMO8520757,PJAO,60.0
306258000,2020-01-01T00:54:03,47.6663,-122.39355,0.0,29.3,178.0,VICTORIA CLIPPER,IMO8520757,PJAO,60.0
306258000,2020-01-01T01:00:06,47.6663,-122.39354,0.0,342.6,177.0,VICTORIA CLIPPER,IMO8520757,PJAO,60.0
306258000,2020-01-01T01:03:06,47.66627,-122.3935,0.0,140.4,177.0,VICTORIA CLIPPER,IMO8520757,PJAO,60.0
306258000,2020-01-01T01:06:05,47.66626,-122.39355,0.0,347.5,177.0,VICTORIA CLIPPER,IMO8520757,PJAO,60.0
306258000,2020-01-01T01:09:06,47.6663,-122.39352,0.1,24.1,177.0,VICTORIA CLIPPER,IMO8520757,PJAO,60.0
306258000,2020-01-01T01:12:04,47.66629,-122.39354,0.1,4.1,176.0,VICTORIA CLIPPER,IMO8520757,PJAO,60.0
