MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType
366976920,2020-01-01T00:00:01,47.592,-122.36776,0.1,98.8,23.0,WEDELL FOSS,IMO8127531,WRB3696,31.0
366976920,2020-01-01T00:01:04,47.592,-122.36774,0.0,18.6,28.0,WEDELL FOSS,IMO8127531,WRB3696,31.0
366976920,2020-01-01T00:02:05,47.59203,-122.36773,0.1,350.2,28.0,WEDELL FOSS,IMO8127531,WRB3696,31.0
366976920,2020-01-01T00:03:08,47.59206,-122.36776,0.1,313.5,22.0,WEDELL FOSS,IMO8127531,WRB3696,31.0
366976920,2020-01-01T00:04:12,47.59208,-122.36782,0.1,294.9,16.0,WEDELL FOSS,IMO8127531,WRB3696,31.0
366976920,2020-01-01T00:05:14,47.5921,-122.36787,0.1,295.5,15.0,WEDELL FOSS,IMO8127531,WRB3696,31.0
366976920,2020-01-01T00:06:15,47.59211,-122.3679,0.0,293.7,16.0,WEDELL FOSS,IMO8127531,WRB3696,31.0
366976920,2020-01-01T00:07:18,47.59213,-122.36793,0.0,342.4,18.0,WEDELL FOSS,IMO8127531,WRB3696,31.0
366976920,2020-01-01T00:08:38,47.59215,-122.368,0.1,278.1,14.0,WEDELL FOSS,IMO8127531,WRB3696,31.0
366976920,2020-01-01T00:09:48,47.59215,-122.36806,0.1,280.1,10.0,WEDELL FOSS,IMO8127531,WRB3696,31.0
366976920,2020-01-01T00:10:58,47.59216,-122.36811,0.1,296.8,8.0,WEDELL FOSS,IMO8127531,WRB3696,31.0
366976920,2020-01-01T00:12:18,47.59217,-122.36816,0.1,314.5,7.0,WEDELL FOSS,IMO8127531,WRB3696,31.0
366976920,2020-01-01T00:13:22,47.59217,-122.36819,0.0,338.6,8.0,WEDELL FOSS,IMO8127531,WRB3696,31.0
366976920,2020-01-01T00:14:24,47.59216,-122.36823,0.1,255.9,7.0,WEDELL FOSS,IMO8127531,WRB3696,31.0
366976920,2020-01-01T00:15:34,47.59215,-122.36827,0.0,236.6,7.0,WEDELL FOSS,IMO8127531,WRB3696,31.0
366976920,2020-01-01T00:16:38,47.59214,-122.3683,0.0,301.5,6.0,WEDELL FOSS,IMO8127531,WRB3696,31.0
366976920,2020-01-01T00:18:01,47.59216,-122.36831,0.0,1.0,7.0,WEDELL FOSS,IMO8127531,WRB3696,31.0
366976920,2020-01-01T00:19:18,47.59219,-122.36831,0.0,8.6,6.0,WEDELL FOSS,IMO8127531,WRB3696,31.0
366976920,2020-01-01T00:20:22,47.5922,-122.36831,0.0,17.4,4.0,WEDELL FOSS,IMO8127531,WRB3696,31.0
366976920,2020-01-01T00:21:58,47.59221,-122.3683,0.0,29.4,4.0,WEDELL FOSS,IMO8127531,WRB3696,31.0
366976920,2020-01-01T00:23:01,47.59221,-122.36829,0.0,29.7,5.0,WEDELL FOSS,IMO8127531,WRB3696,31.0
366976920,2020-01-01T00:24:18,47.59221,-122.36827,0.0,62.4,6.0,WEDELL FOSS,IMO8127531,WRB3696,31.0
366976920,2020-01-01T00:26:18,47.59221,-122.36825,0.0,82.2,6.0,WEDELL FOSS,IMO8127531,WRB3696,31.0
366976920,2020-01-01T00:28:01,47.59224,-122.36823,0.0,17.4,10.0,WEDELL FOSS,IMO8127531,WRB3696,31.0
366976920,2020-01-01T00:30:01,47.59223,-122.36827,0.1,208.0,2.0,WEDELL FOSS,IMO8127531,WRB3696,31.0
366976920,2020-01-01T00:31:31,47.59218,-122.36828,0.1,160.6,1.0,WEDELL FOSS,IMO8127531,WRB3696,31.0
366976920,2020-01-01T00:32:54,47.59215,-122.36825,0.0,112.9,8.0,WEDELL FOSS,IMO8127531,WRB3696,31.0
366976920,2020-01-01T00:34:01,47.59215,-122.36822,0.0,34.2,13.0,WEDELL FOSS,IMO8127531,WRB3696,31.0
