MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType
367000620,2020-01-01T00:00:00,53.90523,-166.51183,0.0,260.3,200.0,WESTWARD WIND,IMO7743467,WCX9055,90.0
367000620,2020-01-01T00:01:12,53.90522,-166.51183,0.0,242.1,199.0,WESTWARD WIND,IMO7743467,WCX9055,90.0
367000620,2020-01-01T00:02:22,53.90523,-166.51183,0.1,248.0,201.0,WESTWARD WIND,IMO7743467,WCX9055,90.0
367000620,2020-01-01T00:03:31,53.90523,-166.51182,0.0,357.5,201.0,WESTWARD WIND,IMO7743467,WCX9055,90.0
367000620,2020-01-01T00:04:41,53.90523,-166.51182,0.0,246.4,202.0,WESTWARD WIND,IMO7743467,WCX9055,90.0
367000620,2020-01-01T00:05:51,53.90522,-166.51182,0.1,272.6,201.0,WESTWARD WIND,IMO7743467,WCX9055,90.0
367000620,2020-01-01T00:07:00,53.90523,-166.51183,0.0,326.1,199.0,WESTWARD WIND,IMO7743467,WCX9055,90.0
367000620,2020-01-01T00:08:02,53.90522,-166.51182,0.1,248.1,201.0,WESTWARD WIND,IMO7743467,WCX9055,90.0
367000620,2020-01-01T00:09:12,53.90522,-166.51183,0.0,268.5,200.0,WESTWARD WIND,IMO7743467,WCX9055,90.0
367000620,2020-01-01T00:10:20,53.90523,-166.51184,0.1,264.7,200.0,WESTWARD WIND,IMO7743467,WCX9055,90.0
367000620,2020-01-01T00:11:32,53.90524,-166.51183,0.0,43.1,200.0,WESTWARD WIND,IMO7743467,WCX9055,90.0
367000620,2020-01-01T00:12:41,53.90523,-166.51183,0.0,255.5,200.0,WESTWARD WIND,IMO7743467,WCX9055,90.0
367000620,2020-01-01T00:13:50,53.90523,-166.51184,0.0,85.0,201.0,WESTWARD WIND,IMO7743467,WCX9055,90.0
367000620,2020-01-01T00:15:02,53.90522,-166.51183,0.0,31.7,199.0,WESTWARD WIND,IMO7743467,WCX9055,90.0
367000620,2020-01-01T00:16:10,53.90523,-166.51181,0.0,240.3,200.0,WESTWARD WIND,IMO7743467,WCX9055,90.0
367000620,2020-01-01T00:17:20,53.90523,-166.51182,0.1,325.1,199.0,WESTWARD WIND,IMO7743467,WCX9055,90.0
367000620,2020-01-01T00:18:34,53.90522,-166.51182,0.1,244.0,200.0,WESTWARD WIND,IMO7743467,WCX9055,90.0
367000620,2020-01-01T00:19:40,53.90523,-166.51182,0.0,301.2,201.0,WESTWARD WIND,IMO7743467,WCX9055,90.0
367000620,2020-01-01T00:20:51,53.90523,-166.51183,0.0,188.4,200.0,WESTWARD WIND,IMO7743467,WCX9055,90.0
367000620,2020-01-01T00:22:01,53.90523,-166.51183,0.0,215.5,200.0,WESTWARD WIND,IMO7743467,WCX9055,90.0
367000620,2020-01-01T00:23:20,53.90523,-166.51183,0.0,107.3,200.0,WESTWARD WIND,IMO7743467,WCX9055,90.0
367000620,2020-01-01T00:24:26,53.90523,-166.51184,0.0,243.4,201.0,WESTWARD WIND,IMO7743467,WCX9055,90.0
367000620,2020-01-01T00:25:30,53.90523,-166.51184,0.1,226.7,200.0,WESTWARD WIND,IMO7743467,WCX9055,90.0
367000620,2020-01-01T00:26:41,53.90521,-166.51183,0.0,273.5,200.0,WESTWARD WIND,IMO7743467,WCX9055,90.0
367000620,2020-01-01T00:27:51,53.90523,-166.51183,0.0,80.4,200.0,WESTWARD WIND,IMO7743467,WCX9055,90.0
367000620,2020-01-01T00:29:01,53.90523,-166.51183,0.0,248.3,200.0,WESTWARD WIND,IMO7743467,WCX9055,90.0
367000620,2020-01-01T00:30:13,53.90523,-166.51182,0.0,98.4,201.0,WESTWARD WIND,IMO7743467,WCX9055,90.0
367000620,2020-01-01T00:32:32,53.90522,-166.51182,0.0,229.9,202.0,WESTWARD WIND,IMO7743467,WCX9055,90.0
367000620,2020-01-01T00:33:41,53.90523,-166.51182,0.0,217.7,201.0,WESTWARD WIND,IMO7743467,WCX9055,90.0
367000620,2020-01-01T00:34:42,53.90523,-166.51182,0.1,100.0,201.0,WESTWARD WIND,IMO7743467,WCX9055,90.0
367000620,2020-01-01T00:36:31,53.90523,-166.51183,0.0,95.0,202.0,WESTWARD WIND,IMO7743467,WCX9055,90.0
367000620,2020-01-01T00:37:42,53.90523,-166.51182,0.0,145.8,202.0,WESTWARD WIND,IMO7743467,WCX9055,90.0
367000620,2020-01-01T00:38:51,53.90523,-166.51183,0.1,198.6,201.0,WESTWARD WIND,IMO7743467,WCX9055,90.0
367000620,2020-01-01T00:40:02,53.90523,-166.51183,0.0,307.7,201.0,WESTWARD WIND,IMO7743467,WCX9055,90.0
367000620,2020-01-01T00:41:11,53.90523,-166.51183,0.1,239.6,201.0,WESTWARD WIND,IMO7743467,WCX9055,90.0
367000620,2020-01-01T00:42:21,53.90523,-166.51184,0.0,323.3,201.0,WESTWARD WIND,IMO7743467,WCX9055,90.0
367000620,2020-01-01T00:43:31,53.90523,-166.51185,0.0,199.5,201.0,WESTWARD WIND,IMO7743467,WCX9055,90.0
367000620,2020-01-01T00:46:20,53.90523,-166.51183,0.0,253.3,202.0,WESTWARD WIND,IMO7743467,WCX9055,90.0
367000620,2020-01-01T00:49:31,53.90523,-166.51183,0.0,177.7,201.0,WESTWARD WIND,IMO7743467,WCX9055,90.0
367000620,2020-01-01T00:50:32,53.90523,-166.51183,0.0,254.3,202.0,WESTWARD WIND,IMO7743467,WCX9055,90.0
367000620,2020-01-01T00:51:41,53.90523,-166.51182,0.1,74.8,201.0,WESTWARD WIND,IMO7743467,WCX9055,90.0
367000620,2020-01-01T00:55:22,53.90523,-166.51183,0.0,260.1,200.0,WESTWARD WIND,IMO7743467,WCX9055,90.0
367000620,2020-01-01T00:56:30,53.90523,-166.51184,0.0,71.3,202.0,WESTWARD WIND,IMO7743467,WCX9055,90.0
367000620,2020-01-01T00:57:40,53.90523,-166.51184,0.1,261.7,200.0,WESTWARD WIND,IMO7743467,WCX9055,90.0
367000620,2020-01-01T00:58:50,53.90523,-166.51184,0.1,345.7,201.0,WESTWARD WIND,IMO7743467,WCX9055,90.0
367000620,2020-01-01T01:00:01,53.90523,-166.51184,0.0,333.2,200.0,WESTWARD WIND,IMO7743467,WCX9055,90.0
367000620,2020-01-01T01:01:10,53.90523,-166.51183,0.0,220.3,201.0,WESTWARD WIND,IMO7743467,WCX9055,90.0
367000620,2020-01-01T01:02:20,53.90524,-166.51182,0.0,9.8,201.0,WESTWARD WIND,IMO7743467,WCX9055,90.0
367000620,2020-01-01T01:03:32,53.90524,-166.51182,0.0,28.8,201.0,WESTWARD WIND,IMO7743467,WCX9055,90.0
367000620,2020-01-01T01:04:42,53.90523,-166.51183,0.0,305.2,200.0,WESTWARD WIND,IMO7743467,WCX9055,90.0
367000620,2020-01-01T01:05:51,53.90523,-166.51183,0.1,307.7,200.0,WESTWARD WIND,IMO7743467,WCX9055,90.0
367000620,2020-01-01T01:07:01,53.90524,-166.51183,0.1,302.8,200.0,WESTWARD WIND,IMO7743467,WCX9055,90.0
367000620,2020-01-01T01:08:12,53.90523,-166.51183,0.1,256.8,200.0,WESTWARD WIND,IMO7743467,WCX9055,90.0
367000620,2020-01-01T01:09:21,53.90523,-166.51183,0.1,86.1,201.0,WESTWARD WIND,IMO7743467,WCX9055,90.0
367000620,2020-01-01T01:10:31,53.90523,-166.51184,0.0,51.5,201.0,WESTWARD WIND,IMO7743467,WCX9055,90.0
367000620,2020-01-01T01:11:41,53.90525,-166.51184,0.1,283.7,200.0,WESTWARD WIND,IMO7743467,WCX9055,90.0
367000620,2020-01-01T01:12:50,53.90523,-166.51182,0.0,92.0,201.0,WESTWARD WIND,IMO7743467,WCX9055,90.0
367000620,2020-01-01T01:14:03,53.90523,-166.51183,0.1,34.8,201.0,WESTWARD WIND,IMO7743467,WCX9055,90.0
367000620,2020-01-01T01:15:10,53.90523,-166.51184,0.1,1.0,200.0,WESTWARD WIND,IMO7743467,WCX9055,90.0
367000620,2020-01-01T01:16:21,53.90523,-166.51183,0.1,307.0,201.0,WESTWARD WIND,IMO7743467,WCX9055,90.0
367000620,2020-01-01T01:17:30,53.90523,-166.51183,0.0,247.3,200.0,WESTWARD WIND,IMO7743467,WCX9055,90.0
367000620,2020-01-01T01:18:41,53.90522,-166.51184,0.0,293.8,199.0,WESTWARD WIND,IMO7743467,WCX9055,90.0
367000620,2020-01-01T01:19:51,53.90522,-166.51183,0.1,109.6,200.0,WESTWARD WIND,IMO7743467,WCX9055,90.0
367000620,2020-01-01T01:21:30,53.90523,-166.51183,0.1,279.5,200.0,WESTWARD WIND,IMO7743467,WCX9055,90.0
367000620,2020-01-01T01:22:41,53.90522,-166.51184,0.0,83.7,199.0,WESTWARD WIND,IMO7743467,WCX9055,90.0
367000620,2020-01-01T01:24:31,53.90524,-166.51185,0.0,23.1,200.0,WESTWARD WIND,IMO7743467,WCX9055,90.0
367000620,2020-01-01T01:25:40,53.90523,-166.51185,0.1,211.2,198.0,WESTWARD WIND,IMO7743467,WCX9055,90.0
367000620,2020-01-01T01:26:51,53.90522,-166.51184,0.0,353.6,199.0,WESTWARD WIND,IMO7743467,WCX9055,90.0
367000620,2020-01-01T01:29:23,53.90523,-166.51184,0.0,78.9,200.0,WESTWARD WIND,IMO7743467,WCX9055,90.0
367000620,2020-01-01T01:30:31,53.90522,-166.51185,0.0,296.7,200.0,WESTWARD WIND,IMO7743467,WCX9055,90.0
367000620,2020-01-01T01:32:31,53.90523,-166.51184,0.0,261.5,200.0,WESTWARD WIND,IMO7743467,WCX9055,90.0
367000620,2020-01-01T01:33:42,53.90522,-166.51183,0.0,320.2,200.0,WESTWARD WIND,IMO7743467,WCX9055,90.0
367000620,2020-01-01T01:34:51,53.90522,-166.51183,0.0,272.3,200.0,WESTWARD WIND,IMO7743467,WCX9055,90.0
367000620,2020-01-01T01:35:52,53.90523,-166.51183,0.0,308.8,201.0,WESTWARD WIND,IMO7743467,WCX9055,90.0
367000620,2020-01-01T01:37:02,53.90523,-166.51184,0.0,266.1,201.0,WESTWARD WIND,IMO7743467,WCX9055,90.0
367000620,2020-01-01T01:38:11,53.90522,-166.51183,0.0,120.2,199.0,WESTWARD WIND,IMO7743467,WCX9055,90.0
367000620,2020-01-01T01:39:20,53.90523,-166.51183,0.1,253.5,199.0,WESTWARD WIND,IMO7743467,WCX9055,90.0
367000620,2020-01-01T01:40:21,53.90522,-166.51183,0.1,325.3,200.0,WESTWARD WIND,IMO7743467,WCX9055,90.0
367000620,2020-01-01T01:41:30,53.90522,-166.51183,0.0,258.0,201.0,WESTWARD WIND,IMO7743467,WCX9055,90.0
367000620,2020-01-01T01:42:41,53.90523,-166.51184,0.0,273.7,201.0,WESTWARD WIND,IMO7743467,WCX9055,90.0
367000620,2020-01-01T01:45:50,53.90523,-166.51183,0.0,315.7,201.0,WESTWARD WIND,IMO7743467,WCX9055,90.0
367000620,2020-01-01T01:47:02,53.90523,-166.51183,0.0,318.0,201.0,WESTWARD WIND,IMO7743467,WCX9055,90.0
367000620,2020-01-01T01:48:50,53.90523,-166.51185,0.0,193.2,200.0,WESTWARD WIND,IMO7743467,WCX9055,90.0
367000620,2020-01-01T01:49:51,53.90523,-166.51184,0.1,336.6,202.0,WESTWARD WIND,IMO7743467,WCX9055,90.0
367000620,2020-01-01T01:51:01,53.90522,-166.51184,0.0,261.8,201.0,WESTWARD WIND,IMO7743467,WCX9055,90.0
367000620,2020-01-01T01:52:12,53.90523,-166.51184,0.0,166.7,200.0,WESTWARD WIND,IMO7743467,WCX9055,90.0
367000620,2020-01-01T01:53:21,53.90523,-166.51183,0.0,214.4,201.0,WESTWARD WIND,IMO7743467,WCX9055,90.0
367000620,2020-01-01T01:54:32,53.90523,-166.51183,0.0,282.2,201.0,WESTWARD WIND,IMO7743467,WCX9055,90.0
367000620,2020-01-01T01:55:42,53.90523,-166.51182,0.0,326.4,202.0,WESTWARD WIND,IMO7743467,WCX9055,90.0
367000620,2020-01-01T01:56:51,53.90523,-166.51182,0.0,5.4,202.0,WESTWARD WIND,IMO7743467,WCX9055,90.0
367000620,2020-01-01T01:58:01,53.90523,-166.51183,0.0,109.2,201.0,WESTWARD WIND,IMO7743467,WCX9055,90.0
367000620,2020-01-01T01:59:11,53.90523,-166.51184,0.0,251.2,201.0,WESTWARD WIND,IMO7743467,WCX9055,90.0
367000620,2020-01-01T02:00:01,53.90522,-166.51184,0.1,231.9,201.0,WESTWARD WIND,IMO7743467,WCX9055,90.0
367000620,2020-01-01T02:01:11,53.90522,-166.51184,0.1,211.5,201.0,WESTWARD WIND,IMO7743467,WCX9055,90.0
367000620,2020-01-01T02:02:22,53.90522,-166.51184,0.0,239.0,200.0,WESTWARD WIND,IMO7743467,WCX9055,90.0
367000620,2020-01-01T02:03:32,53.90523,-166.51184,0.0,234.4,202.0,WESTWARD WIND,IMO7743467,WCX9055,90.0
367000620,2020-01-01T02:04:41,53.90522,-166.51184,0.1,209.9,200.0,WESTWARD WIND,IMO7743467,WCX9055,90.0
367000620,2020-01-01T02:05:52,53.90522,-166.51184,0.0,172.9,200.0,WESTWARD WIND,IMO7743467,WCX9055,90.0
367000620,2020-01-01T02:07:01,53.90523,-166.51184,0.0,218.4,201.0,WESTWARD WIND,IMO7743467,WCX9055,90.0
367000620,2020-01-01T02:08:11,53.90522,-166.51184,0.0,143.9,201.0,WESTWARD WIND,IMO7743467,WCX9055,90.0
367000620,2020-01-01T02:09:22,53.90523,-166.51184,0.1,190.9,201.0,WESTWARD WIND,IMO7743467,WCX9055,90.0
367000620,2020-01-01T02:10:32,53.90524,-166.51182,0.1,75.7,202.0,WESTWARD WIND,IMO7743467,WCX9055,90.0
367000620,2020-01-01T02:11:41,53.90523,-166.51183,0.0,34.2,201.0,WESTWARD WIND,IMO7743467,WCX9055,90.0
367000620,2020-01-01T02:12:52,53.90522,-166.51183,0.0,182.3,200.0,WESTWARD WIND,IMO7743467,WCX9055,90.0
367000620,2020-01-01T02:14:01,53.90522,-166.51183,0.0,161.2,200.0,WESTWARD WIND,IMO7743467,WCX9055,90.0
367000620,2020-01-01T02:15:11,53.90522,-166.51183,0.0,181.8,201.0,WESTWARD WIND,IMO7743467,WCX9055,90.0
367000620,2020-01-01T02:16:21,53.90523,-166.51184,0.0,223.8,201.0,WESTWARD WIND,IMO7743467,WCX9055,90.0
367000620,2020-01-01T02:17:32,53.90523,-166.51184,0.0,212.6,200.0,WESTWARD WIND,IMO7743467,WCX9055,90.0
367000620,2020-01-01T02:18:41,53.90522,-166.51184,0.1,314.9,200.0,WESTWARD WIND,IMO7743467,WCX9055,90.0
367000620,2020-01-01T02:19:51,53.90523,-166.51184,0.0,211.1,201.0,WESTWARD WIND,IMO7743467,WCX9055,90.0
367000620,2020-01-01T02:21:01,53.90521,-166.51184,0.0,257.4,201.0,WESTWARD WIND,IMO7743467,WCX9055,90.0
367000620,2020-01-01T02:22:22,53.90522,-166.51183,0.0,308.4,201.0,WESTWARD WIND,IMO7743467,WCX9055,90.0
367000620,2020-01-01T02:24:12,53.90524,-166.51183,0.0,251.5,201.0,WESTWARD WIND,IMO7743467,WCX9055,90.0
367000620,2020-01-01T02:25:31,53.90522,-166.51184,0.1,220.2,200.0,WESTWARD WIND,IMO7743467,WCX9055,90.0
367000620,2020-01-01T02:26:42,53.90521,-166.51184,0.0,298.1,200.0,WESTWARD WIND,IMO7743467,WCX9055,90.0
367000620,2020-01-01T02:27:51,53.90521,-166.51184,0.0,209.1,201.0,WESTWARD WIND,IMO7743467,WCX9055,90.0
367000620,2020-01-01T02:29:01,53.90521,-166.51184,0.1,269.2,200.0,WESTWARD WIND,IMO7743467,WCX9055,90.0
367000620,2020-01-01T02:30:11,53.90522,-166.51183,0.0,299.2,200.0,WESTWARD WIND,IMO7743467,WCX9055,90.0
367000620,2020-01-01T02:31:22,53.90521,-166.51184,0.0,175.7,199.0,WESTWARD WIND,IMO7743467,WCX9055,90.0
367000620,2020-01-01T02:32:31,53.90522,-166.51183,0.0,183.3,199.0,WESTWARD WIND,IMO7743467,WCX9055,90.0
367000620,2020-01-01T02:33:33,53.90523,-166.51183,0.0,343.7,201.0,WESTWARD WIND,IMO7743467,WCX9055,90.0
367000620,2020-01-01T02:34:42,53.90523,-166.51182,0.0,203.5,201.0,WESTWARD WIND,IMO7743467,WCX9055,90.0
367000620,2020-01-01T02:35:51,53.90523,-166.51183,0.0,78.2,201.0,WESTWARD WIND,IMO7743467,WCX9055,90.0
367000620,2020-01-01T02:37:01,53.90523,-166.51184,0.0,166.4,200.0,WESTWARD WIND,IMO7743467,WCX9055,90.0
367000620,2020-01-01T02:38:12,53.90523,-166.51185,0.0,289.8,201.0,WESTWARD WIND,IMO7743467,WCX9055,90.0
367000620,2020-01-01T02:39:22,53.90522,-166.51184,0.0,211.7,201.0,WESTWARD WIND,IMO7743467,WCX9055,90.0
367000620,2020-01-01T02:42:32,53.90522,-166.51183,0.0,313.5,201.0,WESTWARD WIND,IMO7743467,WCX9055,90.0
367000620,2020-01-01T02:43:41,53.90522,-166.51183,0.0,240.4,201.0,WESTWARD WIND,IMO7743467,WCX9055,90.0
367000620,2020-01-01T02:46:01,53.90521,-166.51183,0.0,200.4,200.0,WESTWARD WIND,IMO7743467,WCX9055,90.0
367000620,2020-01-01T02:47:11,53.90522,-166.51183,0.0,200.0,200.0,WESTWARD WIND,IMO7743467,WCX9055,90.0
367000620,2020-01-01T02:48:22,53.90522,-166.51183,0.0,208.5,200.0,WESTWARD WIND,IMO7743467,WCX9055,90.0
367000620,2020-01-01T02:49:32,53.90523,-166.51184,0.0,217.5,202.0,WESTWARD WIND,IMO7743467,WCX9055,90.0
367000620,2020-01-01T02:50:41,53.90523,-166.51184,0.0,248.0,201.0,WESTWARD WIND,IMO7743467,WCX9055,90.0
367000620,2020-01-01T02:51:53,53.90523,-166.51184,0.0,302.8,199.0,WESTWARD WIND,IMO7743467,WCX9055,90.0
367000620,2020-01-01T02:53:03,53.90523,-166.51184,0.1,230.6,201.0,WESTWARD WIND,IMO7743467,WCX9055,90.0
367000620,2020-01-01T02:54:11,53.90522,-166.51184,0.0,91.4,200.0,WESTWARD WIND,IMO7743467,WCX9055,90.0
367000620,2020-01-01T02:57:22,53.90522,-166.51185,0.1,247.0,201.0,WESTWARD WIND,IMO7743467,WCX9055,90.0
